symbol,known_at,effective_from,effective_to,sector,industry,subindustry,taxonomy_version,source,quality_flag
BIGTIMEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BILLUSDT,2026-06-28T00:00:00Z,2026-05-07T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BIOUSDT,2026-06-28T00:00:00Z,2025-01-03T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BIRBUSDT,2026-06-28T00:00:00Z,2026-01-29T06:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BLESSUSDT,2026-06-28T00:00:00Z,2025-09-23T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BNBUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BOMEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BREVUSDT,2026-06-28T00:00:00Z,2025-12-30T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BROCCOLI714USDT,2026-06-28T00:00:00Z,2025-03-21T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BRUSDT,2026-06-28T00:00:00Z,2025-03-21T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BSBUSDT,2026-06-28T00:00:00Z,2026-03-25T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BTCUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BULLAUSDT,2026-06-28T00:00:00Z,2025-07-04T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BUSDT,2026-06-28T00:00:00Z,2025-05-22T17:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CAKEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CATIUSDT,2026-06-28T00:00:00Z,2024-09-20T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CFXUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CGPTUSDT,2026-06-28T00:00:00Z,2024-12-20T20:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CHIPUSDT,2026-06-28T00:00:00Z,2026-04-16T08:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CKBUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CLOUSDT,2026-06-28T00:00:00Z,2025-10-14T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
COAIUSDT,2026-06-28T00:00:00Z,2025-09-25T08:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
COOKIEUSDT,2026-06-28T00:00:00Z,2025-01-07T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
COWUSDT,2026-06-28T00:00:00Z,2024-11-06T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CRVUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
CUSDT,2026-06-28T00:00:00Z,2025-07-15T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DASHUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DIAUSDT,2026-06-28T00:00:00Z,2024-10-02T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DOGEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DOGSUSDT,2026-06-28T00:00:00Z,2024-08-26T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DOTUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
DUSKUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
EDENUSDT,2026-06-28T00:00:00Z,2025-09-30T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
EDGEUSDT,2026-06-28T00:00:00Z,2026-03-19T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
EDUUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
EIGENUSDT,2026-06-28T00:00:00Z,2024-10-01T07:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ENAUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ENJUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ENSOUSDT,2026-06-28T00:00:00Z,2025-10-14T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ENSUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ERAUSDT,2026-06-28T00:00:00Z,2025-07-17T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
