factor_id,is_representative_candidate,representative_candidate_flag,diagnostic_tier,direction_alignment,redundancy_group_id,coverage_flag,primary_risk_flags,rankic_same_sign_1h,candidate_status,dynamic_turnover_1h,static_turnover_1h,curation_notes,turnover_flag,expected_direction,multi_horizon_consistency,recommended_research_use,static_RankIC_1h,dynamic_RankIC_1h,redundancy_role,factor_family,source_batch,dynamic_abs_rankic_1h,formula_short,registry_status
price_pos_72h,False,,TIER_3_WEAK_DIAGNOSTIC,conditional_not_scored,RG2,PASS,WEAK_SIGNAL; REDUNDANT,True,selected_for_7B,0.1804230634509743,0.1726499751458545,,NORMAL_TURNOVER,conditional,CONSISTENT_3H,REDUNDANCY_REVIEW,-0.0038974721676992,-0.0092881575801829,REDUNDANT_GROUP_MEMBER,price_position,PHASE_7B_BATCH1,,(close-LL72)/(HH72-LL72+eps),DIAGNOSTIC_PROBE
vol_zscore_20h,False,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG5,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,False,selected_for_7B,0.5690857526748908,0.5695097050993772,,HIGH_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,0.0029009828919804,-0.0047526297032684,REDUNDANT_GROUP_MEMBER,volume_liquidity,PHASE_7B_BATCH1,,(vol-SMA20)/STD20,DIAGNOSTIC_PROBE
vol_zscore_48h,False,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG5,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,False,selected_for_7B,0.5197566634302937,0.5196246000156092,,HIGH_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,0.0019289680607826,-0.0054329347012402,REDUNDANT_GROUP_MEMBER,volume_liquidity,PHASE_7B_BATCH1,,(vol-SMA48)/STD48,DIAGNOSTIC_PROBE
qvol_zscore_20h,False,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG5,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,False,selected_for_7B,0.5655003966692278,0.5675596391925771,,HIGH_TURNOVER,positive,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,0.0027859766777329,-0.0054254093388208,REDUNDANT_GROUP_MEMBER,quote_volume_liquidity,PHASE_7B_BATCH1,,(qv-SMA20)/STD20,DIAGNOSTIC_PROBE
qvol_zscore_48h,True,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG5,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,False,selected_for_7B,0.5146780036413462,0.5170048648508025,,HIGH_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,0.0020938767052475,-0.0060150420478096,REPRESENTATIVE_CANDIDATE,quote_volume_liquidity,PHASE_7B_BATCH1,,(qv-SMA48)/STD48,DIAGNOSTIC_PROBE
ma_gap_5_20,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.1173541793376504,0.1154622522033547,,NORMAL_TURNOVER,positive,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,-0.0072222122648002,-0.0129452082925602,NOT_IN_REDUNDANCY_GROUP,trend_ma,PHASE_7B_BATCH1,,(SMA5-SMA20)/SMA20,DIAGNOSTIC_PROBE
ma_gap_10_40,False,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG3,PASS,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,False,selected_for_7B,0.0634236778774404,0.0617550829633091,,LOW_TURNOVER,positive,UNSTABLE,REVIEW_DIRECTION_OR_FORMULA,0.0005645004733757,-0.007859125239953,REDUNDANT_GROUP_MEMBER,trend_ma,PHASE_7B_BATCH1,,(SMA10-SMA40)/SMA40,DIAGNOSTIC_PROBE
breakout_dist_20h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG1,PASS,DIRECTION_MISMATCH; REDUNDANT,True,selected_for_7B,0.3067425818311296,0.2999573544235093,,NORMAL_TURNOVER,positive,CONSISTENT_4H,REVIEW_DIRECTION_OR_FORMULA,-0.0165921586618322,-0.0153854682634525,REDUNDANT_GROUP_MEMBER,breakout,PHASE_7B_BATCH1,,(close-HH20)/(HH20-LL20+eps),DIAGNOSTIC_PROBE
breakout_dist_48h,True,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG2,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.214470284237726,0.2070683420484403,,NORMAL_TURNOVER,positive,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,-0.0067919275463059,-0.0114342480943953,REPRESENTATIVE_CANDIDATE,breakout,PHASE_7B_BATCH1,,(close-HH48)/(HH48-LL48+eps),DIAGNOSTIC_PROBE
candle_body,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,conditional_not_scored,,PASS,HIGH_TURNOVER,True,selected_for_7B,0.7880779036007612,0.791059389635119,,EXTREME_TURNOVER,conditional,CONSISTENT_4H,MONITOR_TURNOVER_RISK,-0.0275063998540277,-0.0217118661632971,NOT_IN_REDUNDANCY_GROUP,intraday_candle,PHASE_7B_BATCH1,,(close-open)/(high-low+eps),DIAGNOSTIC_PROBE
candle_wick_upper,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER,True,selected_for_7B,0.7832455181944118,0.7831828006793269,,EXTREME_TURNOVER,negative,CONSISTENT_4H,REVIEW_DIRECTION_OR_FORMULA,0.0106693096275417,0.007061106069349,NOT_IN_REDUNDANCY_GROUP,intraday_candle,PHASE_7B_BATCH1,,"(high-max(open,close))/(high-low+eps)",DIAGNOSTIC_PROBE
candle_wick_lower,False,,TIER_3_WEAK_DIAGNOSTIC,misaligned_both,,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,True,selected_for_7B,0.7818925523912608,0.7853417219906336,,EXTREME_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,-0.0080164262938165,-0.0018909508364652,NOT_IN_REDUNDANCY_GROUP,intraday_candle,PHASE_7B_BATCH1,,"(min(open,close)-low)/(high-low+eps)",DIAGNOSTIC_PROBE
xs_rank_ret_1h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,conditional_not_scored,,PASS,HIGH_TURNOVER,True,selected_for_7B,0.7518978042145692,0.734671711322163,,EXTREME_TURNOVER,conditional,CONSISTENT_4H,MONITOR_TURNOVER_RISK,-0.0301308249110669,-0.0294271188660994,NOT_IN_REDUNDANCY_GROUP,cross_sectional_normalized,PHASE_7B_BATCH1,,rank(ret_1h) by timestamp,DIAGNOSTIC_PROBE
xs_rank_vol,False,,TIER_1_STABLE_DIAGNOSTIC,conditional_not_scored,,PASS,NONE,True,selected_for_7B,0.0077448459975024,0.0096947610555426,,LOW_TURNOVER,conditional,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0113702864908407,-0.0220752277951292,NOT_IN_REDUNDANCY_GROUP,cross_sectional_normalized,PHASE_7B_BATCH1,,rank(vol_20h) by timestamp,DIAGNOSTIC_PROBE
ema_12_26_gap,,NO,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG_B2_1,PASS,DIRECTION_MISMATCH,True,,0.06948571415605,0.0679558437548247,,LOW_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,-0.0035188729702691,-0.0110886551922686,REDUNDANT_GROUP_MEMBER,technical_indicators,PHASE_7I_BATCH2,0.0110886551922686,,DIAGNOSTIC_PROBE
rsi_28h,,YES,TIER_1_STABLE_DIAGNOSTIC,aligned_both,RG_B2_1,PASS,NONE,True,,0.1551312994951199,0.153047138047138,,NORMAL_TURNOVER,negative,MIXED_2H,CORE_DIAGNOSTIC_CANDIDATE,-0.007113140337953,-0.0175377553362269,REPRESENTATIVE_CANDIDATE,technical_indicators,PHASE_7I_BATCH2,0.0175377553362269,,DIAGNOSTIC_PROBE
rsi_7h,,YES,TIER_1_STABLE_DIAGNOSTIC,aligned_both,RG_B2_2,PASS,NONE,True,,0.294757508224557,0.2948130106446042,,NORMAL_TURNOVER,negative,CONSISTENT_3H,CORE_DIAGNOSTIC_CANDIDATE,-0.0197993340641385,-0.0237258959795597,REPRESENTATIVE_CANDIDATE,technical_indicators,PHASE_7I_BATCH2,0.0237258959795597,,DIAGNOSTIC_PROBE
williams_r_14h,,NO,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG_B2_2,PASS,HIGH_TURNOVER; DIRECTION_MISMATCH,True,,0.354115254722235,0.3474112788746935,,HIGH_TURNOVER,negative,CONSISTENT_4H,REVIEW_DIRECTION_OR_FORMULA,0.0180518522667888,0.0164758388908091,REDUNDANT_GROUP_MEMBER,technical_indicators,PHASE_7I_BATCH2,0.0164758388908091,,DIAGNOSTIC_PROBE
downside_vol_20h,,NO,TIER_1_STABLE_DIAGNOSTIC,aligned_both,,PASS,NONE,True,,0.0681715956370179,0.0665425779432294,,LOW_TURNOVER,negative,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0121261072200176,-0.0350788328858995,NOT_IN_REDUNDANCY_GROUP,realized_skew_kurtosis,PHASE_7I_BATCH2,0.0350788328858995,,DIAGNOSTIC_PROBE
vol_of_vol_20h,,NO,TIER_1_STABLE_DIAGNOSTIC,aligned_both,,PASS,NONE,True,,0.0762029245326962,0.0701728510065724,,LOW_TURNOVER,negative,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.011945798939167,-0.0340404353787339,NOT_IN_REDUNDANCY_GROUP,realized_skew_kurtosis,PHASE_7I_BATCH2,0.0340404353787339,,DIAGNOSTIC_PROBE
mom_accel_20h,,NO,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,HIGH_TURNOVER; DIRECTION_MISMATCH,True,,0.3478466118925036,0.3385485415534333,,HIGH_TURNOVER,positive,CONSISTENT_4H,REVIEW_DIRECTION_OR_FORMULA,-0.017172243751279,-0.0220150945498603,NOT_IN_REDUNDANCY_GROUP,momentum,PHASE_7I_BATCH2,0.0220150945498603,,DIAGNOSTIC_PROBE
qvol_ma_ratio_5_20,,NO,TIER_4_UNSTABLE_OR_SIGN_FLIP,mixed_alignment,,PASS,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,False,,0.2289550931817756,0.2259905404357602,,NORMAL_TURNOVER,positive,UNSTABLE_0_1H,LOW_PRIORITY_RESEARCH,0.0005888390077772,-0.0061968153179785,NOT_IN_REDUNDANCY_GROUP,quote_volume_liquidity,PHASE_7I_BATCH2,0.0061968153179785,,DIAGNOSTIC_PROBE
ma_gap_20_80,,NO,TIER_4_UNSTABLE_OR_SIGN_FLIP,mixed_alignment,,PASS,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,False,,0.0340104947483522,0.0316977274514429,,LOW_TURNOVER,positive,UNSTABLE_0_1H,LOW_PRIORITY_RESEARCH,0.0068386895559806,-0.0026090118708671,NOT_IN_REDUNDANCY_GROUP,trend_ma,PHASE_7I_BATCH2,0.0026090118708671,,DIAGNOSTIC_PROBE
