variant_id,upper_bottleneck_symbol,lower_bottleneck_symbol
signal_v0_core_only__1h__original_no_guard,XMRUSDT,SIRENUSDT
signal_v0_core_only__1h__original_bucket0_guard,XMRUSDT,HMSTRUSDT
signal_v0_pm_full_structured__1h__original_no_guard,HMSTRUSDT,SIRENUSDT
signal_v0_family_balanced_diagnostic__1h__original_no_guard,XMRUSDT,SIRENUSDT
