component_id,component_name,included_factors,weight,direction_adjusted,pm_channel,direct_alpha_component
risk_pressure_component,Risk Pressure,"vol_5h, vol_40h, downside_vol_20h, vol_of_vol_20h",equal (25% each),True,RISK_PRESSURE,True
oscillator_exhaustion_component,Oscillator Exhaustion,"rsi_7h, rsi_28h",equal (50% each),True,TECHNICAL_REVERSION,True
raw_core_score,Raw Core Score,risk_pressure_component + oscillator_exhaustion_component,60/40,True,CORE,True
liquidity_gate,Liquidity Gate,xs_rank_vol,N/A (gate modulator),False,LIQUIDITY_GATE,False
position_timing_overlay,Position Timing Overlay,"range_1h, range_4h, price_pos_24h",equal (33% each),True,RANGE_POSITION,False
position_overlay_multiplier,Position Overlay Multiplier,position_timing_overlay,"1 + 0.15 * overlay, clipped [0.85, 1.15]",True,RANGE_POSITION,False
