check_name,status
9_eligible_variants_evaluated,PASS
turnover_computed,PASS
cost_grid_12_scenarios_per_variant,PASS
net_spread_summary_9_rows,PASS
capacity_needs_liquidity_data,PASS
guarded_bucket0_exposure_zero,PASS
no_alpha_tradeable_live_deploy,PASS
no_final_model_selected,PASS
no_weight_optimization,PASS
no_phase12,PASS
no_phase13,PASS
