symbol,side_label,signal_rank,signal_value,notional_volume,candidate_id
1000RATSUSDT,EXCLUDED_NO_LIQUIDITY,-1,1.043154620999638,0.0,signal_v0_core_only__1h__original_no_guard
DUSKUSDT,EXCLUDED_NO_LIQUIDITY,-1,1.0388779425360481,0.0,signal_v0_core_only__1h__original_no_guard
ETCUSDT,EXCLUDED_NO_LIQUIDITY,-1,1.004610389151218,0.0,signal_v0_core_only__1h__original_no_guard
MOVEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9809337990215413,0.0,signal_v0_core_only__1h__original_no_guard
2ZUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9783724326092398,0.0,signal_v0_core_only__1h__original_no_guard
POPCATUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9775868161717572,0.0,signal_v0_core_only__1h__original_no_guard
KERNELUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9754265907603111,0.0,signal_v0_core_only__1h__original_no_guard
NOMUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.958329113371878,0.0,signal_v0_core_only__1h__original_no_guard
UNIUSDT,UPPER_SIDE,3,0.9521249928017904,3703058.465,signal_v0_core_only__1h__original_no_guard
GUNUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.940031676646134,0.0,signal_v0_core_only__1h__original_no_guard
ZENUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.938513012611628,0.0,signal_v0_core_only__1h__original_no_guard
ASTERUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9324740716648211,0.0,signal_v0_core_only__1h__original_no_guard
NMRUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.9320452117111083,0.0,signal_v0_core_only__1h__original_no_guard
XLMUSDT,UPPER_SIDE,4,0.9278586653613172,2240101.3058,signal_v0_core_only__1h__original_no_guard
WLDUSDT,UPPER_SIDE,5,0.9058043042290497,6385964.86935,signal_v0_core_only__1h__original_no_guard
BIRBUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.897078386517408,0.0,signal_v0_core_only__1h__original_no_guard
1MBABYDOGEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.8807586770679271,0.0,signal_v0_core_only__1h__original_no_guard
MAGICUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.868893205050959,0.0,signal_v0_core_only__1h__original_no_guard
RIVERUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.8606408837245283,0.0,signal_v0_core_only__1h__original_no_guard
STOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.8498891882090734,0.0,signal_v0_core_only__1h__original_no_guard
STXUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.8390515664085194,0.0,signal_v0_core_only__1h__original_no_guard
EIGENUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.831612647694197,0.0,signal_v0_core_only__1h__original_no_guard
MEMEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.8240824554836181,0.0,signal_v0_core_only__1h__original_no_guard
JASMYUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7947240555441673,0.0,signal_v0_core_only__1h__original_no_guard
BNBUSDT,UPPER_SIDE,6,0.7919236536686802,15482456.0625,signal_v0_core_only__1h__original_no_guard
ARKUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.790518246524062,0.0,signal_v0_core_only__1h__original_no_guard
ALPINEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.785514948497312,0.0,signal_v0_core_only__1h__original_no_guard
0GUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7793644698921967,0.0,signal_v0_core_only__1h__original_no_guard
AVNTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7722294050733588,0.0,signal_v0_core_only__1h__original_no_guard
PIPPINUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7718128448259358,0.0,signal_v0_core_only__1h__original_no_guard
SAHARAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7688393686505334,0.0,signal_v0_core_only__1h__original_no_guard
ZILUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7474640655110596,0.0,signal_v0_core_only__1h__original_no_guard
DIAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7474593616935213,0.0,signal_v0_core_only__1h__original_no_guard
TRXUSDT,UPPER_SIDE,7,0.7469556015100988,3025274.835105,signal_v0_core_only__1h__original_no_guard
SANDUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7298768118909186,0.0,signal_v0_core_only__1h__original_no_guard
LIGHTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7297268906064032,0.0,signal_v0_core_only__1h__original_no_guard
BULLAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7296564869437071,0.0,signal_v0_core_only__1h__original_no_guard
AVAXUSDT,UPPER_SIDE,8,0.7291854403669725,8403326.524,signal_v0_core_only__1h__original_no_guard
AGLDUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7218530190920273,0.0,signal_v0_core_only__1h__original_no_guard
REDUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.7210896960437722,0.0,signal_v0_core_only__1h__original_no_guard
BOMEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6924074293877671,0.0,signal_v0_core_only__1h__original_no_guard
BREVUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6874632735492823,0.0,signal_v0_core_only__1h__original_no_guard
ALGOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6692879103589721,0.0,signal_v0_core_only__1h__original_no_guard
TRUTHUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6583186843126787,0.0,signal_v0_core_only__1h__original_no_guard
IPUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6520595308301363,0.0,signal_v0_core_only__1h__original_no_guard
RAREUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.648663668276671,0.0,signal_v0_core_only__1h__original_no_guard
STRKUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.64074710169594,0.0,signal_v0_core_only__1h__original_no_guard
REZUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6329753243430711,0.0,signal_v0_core_only__1h__original_no_guard
SUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6324183631886562,0.0,signal_v0_core_only__1h__original_no_guard
ONDOUSDT,NEUTRAL,9,0.6248264675917558,3356903.7216100004,signal_v0_core_only__1h__original_no_guard
NEARUSDT,NEUTRAL,10,0.6103900524699297,4633702.9605,signal_v0_core_only__1h__original_no_guard
XRPUSDT,NEUTRAL,11,0.6042245427395473,39719210.576189995,signal_v0_core_only__1h__original_no_guard
SENTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.6003339210213757,0.0,signal_v0_core_only__1h__original_no_guard
PROMPTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5981519076821672,0.0,signal_v0_core_only__1h__original_no_guard
BTCUSDT,NEUTRAL,12,0.5910463413011745,447335430.52586,signal_v0_core_only__1h__original_no_guard
WCTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5894466527669323,0.0,signal_v0_core_only__1h__original_no_guard
TNSRUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.569455929195059,0.0,signal_v0_core_only__1h__original_no_guard
GALAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5687749586420329,0.0,signal_v0_core_only__1h__original_no_guard
OPENUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5670660633716935,0.0,signal_v0_core_only__1h__original_no_guard
JELLYJELLYUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5589038677674382,0.0,signal_v0_core_only__1h__original_no_guard
FILUSDT,NEUTRAL,13,0.5586424476154008,4440258.2806,signal_v0_core_only__1h__original_no_guard
SPKUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5558059939510954,0.0,signal_v0_core_only__1h__original_no_guard
ERAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5531109717945265,0.0,signal_v0_core_only__1h__original_no_guard
ETHUSDT,NEUTRAL,14,0.5462938299663304,342464645.859345,signal_v0_core_only__1h__original_no_guard
AAVEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.5317179953252283,0.0,signal_v0_core_only__1h__original_no_guard
TONUSDT,NEUTRAL,15,0.5266256158169261,2354534.7161499998,signal_v0_core_only__1h__original_no_guard
ZECUSDT,NEUTRAL,16,0.5226125702500947,1164074.396625,signal_v0_core_only__1h__original_no_guard
SUIUSDT,NEUTRAL,17,0.5146535984566338,17544456.633585,signal_v0_core_only__1h__original_no_guard
CFXUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.48762059595327656,0.0,signal_v0_core_only__1h__original_no_guard
BIGTIMEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.48560929174014894,0.0,signal_v0_core_only__1h__original_no_guard
MASKUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.48488372312790473,0.0,signal_v0_core_only__1h__original_no_guard
1000PEPEUSDT,NEUTRAL,18,0.48451615834613654,24783875.606340647,signal_v0_core_only__1h__original_no_guard
SOLUSDT,NEUTRAL,19,0.4778852713085604,99999178.4543,signal_v0_core_only__1h__original_no_guard
PROVEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4682051769149682,0.0,signal_v0_core_only__1h__original_no_guard
1000BONKUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4673720466604897,0.0,signal_v0_core_only__1h__original_no_guard
LISTAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.46422589776047074,0.0,signal_v0_core_only__1h__original_no_guard
TAOUSDT,NEUTRAL,20,0.43746293771923506,4410702.29314,signal_v0_core_only__1h__original_no_guard
AXSUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4370355806840938,0.0,signal_v0_core_only__1h__original_no_guard
RESOLVUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4352592316605151,0.0,signal_v0_core_only__1h__original_no_guard
AUCTIONUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.43417389305995313,0.0,signal_v0_core_only__1h__original_no_guard
XPINUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4329990384312056,0.0,signal_v0_core_only__1h__original_no_guard
GIGGLEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.41929947419861835,0.0,signal_v0_core_only__1h__original_no_guard
AIOTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.41562334627437925,0.0,signal_v0_core_only__1h__original_no_guard
STBLUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.4123859425054356,0.0,signal_v0_core_only__1h__original_no_guard
ZORAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.40861592826748866,0.0,signal_v0_core_only__1h__original_no_guard
API3USDT,EXCLUDED_NO_LIQUIDITY,-1,0.4042706113491561,0.0,signal_v0_core_only__1h__original_no_guard
RUNEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3971360245266358,0.0,signal_v0_core_only__1h__original_no_guard
COOKIEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.39486785380897454,0.0,signal_v0_core_only__1h__original_no_guard
DOGEUSDT,NEUTRAL,21,0.38672085414806656,29839230.067475,signal_v0_core_only__1h__original_no_guard
PAXGUSDT,NEUTRAL,22,0.3722258116251038,2414255.12119,signal_v0_core_only__1h__original_no_guard
ADAUSDT,NEUTRAL,23,0.3709829582682365,10721341.84485,signal_v0_core_only__1h__original_no_guard
LAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3676968762632842,0.0,signal_v0_core_only__1h__original_no_guard
GASUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.36106215098858596,0.0,signal_v0_core_only__1h__original_no_guard
AIGENSYNUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3556794844349265,0.0,signal_v0_core_only__1h__original_no_guard
TURBOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.35351878514606316,0.0,signal_v0_core_only__1h__original_no_guard
XAUTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.35207375285722153,0.0,signal_v0_core_only__1h__original_no_guard
WLFIUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3514524233763146,0.0,signal_v0_core_only__1h__original_no_guard
SOONUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.34758116593937405,0.0,signal_v0_core_only__1h__original_no_guard
UMAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3470369384037086,0.0,signal_v0_core_only__1h__original_no_guard
AERGOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3417546686300293,0.0,signal_v0_core_only__1h__original_no_guard
MEWUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3372973975281044,0.0,signal_v0_core_only__1h__original_no_guard
ANIMEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.33636642313015575,0.0,signal_v0_core_only__1h__original_no_guard
ALCHUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.33058730976679507,0.0,signal_v0_core_only__1h__original_no_guard
OPNUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.33040979016485006,0.0,signal_v0_core_only__1h__original_no_guard
HYPEUSDT,NEUTRAL,24,0.3292551749382767,13318961.264145,signal_v0_core_only__1h__original_no_guard
KATUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.32867998648100366,0.0,signal_v0_core_only__1h__original_no_guard
TRUSTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.32628520164160496,0.0,signal_v0_core_only__1h__original_no_guard
KAITOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3253765621775885,0.0,signal_v0_core_only__1h__original_no_guard
APEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.321299091583071,0.0,signal_v0_core_only__1h__original_no_guard
1000SHIBUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.31833960590488375,0.0,signal_v0_core_only__1h__original_no_guard
PENGUUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.31583560109090403,0.0,signal_v0_core_only__1h__original_no_guard
LINKUSDT,NEUTRAL,25,0.3154039469891447,8119095.958905,signal_v0_core_only__1h__original_no_guard
TREEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3111376330994004,0.0,signal_v0_core_only__1h__original_no_guard
BSBUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.3066258788843438,0.0,signal_v0_core_only__1h__original_no_guard
WIFUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.30602271556556565,0.0,signal_v0_core_only__1h__original_no_guard
COWUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.30198538435258626,0.0,signal_v0_core_only__1h__original_no_guard
BBUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.30071443036191886,0.0,signal_v0_core_only__1h__original_no_guard
DOGSUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.2945279003482722,0.0,signal_v0_core_only__1h__original_no_guard
LTCUSDT,NEUTRAL,26,0.285626473130428,5718149.229885001,signal_v0_core_only__1h__original_no_guard
BLESSUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.2744133676663606,0.0,signal_v0_core_only__1h__original_no_guard
APTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.2660064697260948,0.0,signal_v0_core_only__1h__original_no_guard
SIGNUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.26179490643260905,0.0,signal_v0_core_only__1h__original_no_guard
GOATUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.25728584287685485,0.0,signal_v0_core_only__1h__original_no_guard
TIAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.25609008459255167,0.0,signal_v0_core_only__1h__original_no_guard
INITUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.24837186458060861,0.0,signal_v0_core_only__1h__original_no_guard
KGENUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.2481979338974037,0.0,signal_v0_core_only__1h__original_no_guard
EVAAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.24145484975397505,0.0,signal_v0_core_only__1h__original_no_guard
MUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.238879618446534,0.0,signal_v0_core_only__1h__original_no_guard
DOTUSDT,NEUTRAL,27,0.23703267609457132,4194016.9442999996,signal_v0_core_only__1h__original_no_guard
1000FLOKIUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.22829659280016582,0.0,signal_v0_core_only__1h__original_no_guard
CRVUSDT,NEUTRAL,28,0.2273252639442476,3544356.9551999997,signal_v0_core_only__1h__original_no_guard
BUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.21721482875860074,0.0,signal_v0_core_only__1h__original_no_guard
SOMIUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.20347236292717788,0.0,signal_v0_core_only__1h__original_no_guard
BERAUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.19788291500076233,0.0,signal_v0_core_only__1h__original_no_guard
PEOPLEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.19745250338337303,0.0,signal_v0_core_only__1h__original_no_guard
PENDLEUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.18416267562575397,0.0,signal_v0_core_only__1h__original_no_guard
MOODENGUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.18400029864266418,0.0,signal_v0_core_only__1h__original_no_guard
1000SATSUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.17321234913871464,0.0,signal_v0_core_only__1h__original_no_guard
AEVOUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.15522738391560198,0.0,signal_v0_core_only__1h__original_no_guard
SPXUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.14827341955625298,0.0,signal_v0_core_only__1h__original_no_guard
4USDT,EXCLUDED_NO_LIQUIDITY,-1,0.1322102107881985,0.0,signal_v0_core_only__1h__original_no_guard
VVVUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.11428609524688708,0.0,signal_v0_core_only__1h__original_no_guard
PNUTUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.11268193072178352,0.0,signal_v0_core_only__1h__original_no_guard
ENAUSDT,NEUTRAL,29,0.10281179094026181,8379222.2644,signal_v0_core_only__1h__original_no_guard
LUNA2USDT,EXCLUDED_NO_LIQUIDITY,-1,0.09901259694337064,0.0,signal_v0_core_only__1h__original_no_guard
NEIROUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.08796003708393205,0.0,signal_v0_core_only__1h__original_no_guard
SKLUSDT,EXCLUDED_NO_LIQUIDITY,-1,0.08720196719976046,0.0,signal_v0_core_only__1h__original_no_guard
