factor_id,factor_family,expected_direction,status
taker_buy_ratio_20h,taker_imbalance,positive,selected_for_7M
taker_buy_zscore_20h,taker_imbalance,positive,selected_for_7M
taker_buy_delta_5h,taker_imbalance,positive,selected_for_7M
funding_rate_level_20h,funding_rate,negative,selected_for_7M
funding_rate_zscore_80h,funding_rate,negative,selected_for_7M
funding_rate_change_24h,funding_rate,negative,selected_for_7M
