month,horizon,selected_rows,missing_rows,missing_rate
2024-06,1,35950,0,0.0
2024-07,1,37200,0,0.0
2024-08,1,37200,0,0.0
2024-09,1,36000,0,0.0
2024-10,1,37200,0,0.0
2024-11,1,36000,0,0.0
2024-12,1,37200,0,0.0
2025-01,1,37200,0,0.0
2025-02,1,33600,0,0.0
2025-03,1,37200,0,0.0
2025-04,1,36000,0,0.0
2025-05,1,37200,0,0.0
2025-06,1,36000,0,0.0
2025-07,1,37200,0,0.0
2025-08,1,37200,0,0.0
2025-09,1,36000,0,0.0
2025-10,1,37200,0,0.0
2025-11,1,36000,0,0.0
2025-12,1,37200,0,0.0
2026-01,1,37200,0,0.0
2026-02,1,33600,0,0.0
2026-03,1,37200,0,0.0
2026-04,1,36000,0,0.0
2026-05,1,37200,0,0.0
2026-06,1,14450,50,0.00346
2024-06,4,35950,0,0.0
2024-07,4,37200,0,0.0
2024-08,4,37200,0,0.0
2024-09,4,36000,0,0.0
2024-10,4,37200,0,0.0
2024-11,4,36000,0,0.0
2024-12,4,37200,0,0.0
2025-01,4,37200,0,0.0
2025-02,4,33600,0,0.0
2025-03,4,37200,0,0.0
2025-04,4,36000,0,0.0
2025-05,4,37200,0,0.0
2025-06,4,36000,0,0.0
2025-07,4,37200,0,0.0
2025-08,4,37200,0,0.0
2025-09,4,36000,0,0.0
2025-10,4,37200,0,0.0
2025-11,4,36000,0,0.0
2025-12,4,37200,0,0.0
2026-01,4,37200,0,0.0
2026-02,4,33600,0,0.0
2026-03,4,37200,0,0.0
2026-04,4,36000,0,0.0
2026-05,4,37200,0,0.0
2026-06,4,14450,200,0.013841
2024-06,24,35950,0,0.0
2024-07,24,37200,0,0.0
2024-08,24,37200,0,0.0
2024-09,24,36000,0,0.0
2024-10,24,37200,0,0.0
2024-11,24,36000,0,0.0
2024-12,24,37200,0,0.0
2025-01,24,37200,0,0.0
2025-02,24,33600,0,0.0
2025-03,24,37200,0,0.0
2025-04,24,36000,0,0.0
2025-05,24,37200,0,0.0
2025-06,24,36000,0,0.0
2025-07,24,37200,0,0.0
2025-08,24,37200,0,0.0
2025-09,24,36000,0,0.0
2025-10,24,37200,0,0.0
2025-11,24,36000,0,0.0
2025-12,24,37200,0,0.0
2026-01,24,37200,0,0.0
2026-02,24,33600,0,0.0
2026-03,24,37200,0,0.0
2026-04,24,36000,0,0.0
2026-05,24,37200,0,0.0
2026-06,24,14450,1200,0.083045
2024-06,72,35950,0,0.0
2024-07,72,37200,0,0.0
2024-08,72,37200,0,0.0
2024-09,72,36000,0,0.0
2024-10,72,37200,0,0.0
2024-11,72,36000,0,0.0
2024-12,72,37200,0,0.0
2025-01,72,37200,0,0.0
2025-02,72,33600,0,0.0
2025-03,72,37200,0,0.0
2025-04,72,36000,0,0.0
2025-05,72,37200,0,0.0
2025-06,72,36000,0,0.0
2025-07,72,37200,0,0.0
2025-08,72,37200,0,0.0
2025-09,72,36000,0,0.0
2025-10,72,37200,0,0.0
2025-11,72,36000,0,0.0
2025-12,72,37200,0,0.0
2026-01,72,37200,0,0.0
2026-02,72,33600,0,0.0
2026-03,72,37200,0,0.0
2026-04,72,36000,0,0.0
2026-05,72,37200,0,0.0
2026-06,72,14450,3600,0.249135
