factor_id,factor_family,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,phase8_queue_category,phase8_notes
mom_5h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
mom_10h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
mom_40h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
rev_3h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
rev_10h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
rev_24h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
vol_5h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,REDUNDANCY_REVIEW_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
vol_40h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,DIAGNOSTIC_BASELINE_ONLY,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
vol_ratio_5_20,volatility,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NOT_IN_REDUNDANCY_GROUP,WEAK_SIGNAL,REDUNDANCY_REVIEW_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
range_1h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,REDUNDANCY_REVIEW_FIRST,diagnostic-only; no CANDIDATE_REVIEW; no alpha promotion
