signal_id,horizon,n_buckets,bucket_id,bucket_rank_order,mean_forward_return,median_forward_return,n_timestamps,n_observations
signal_v0_pm_full_structured,1h,5,2,2,1.211e-05,9.446e-05,17520,17520
signal_v0_pm_full_structured,1h,5,3,3,-4.23e-06,0.00011683,17520,17520
signal_v0_pm_full_structured,1h,5,4,4,-9.67e-06,0.00017847,17520,17520
signal_v0_pm_full_structured,1h,10,0,0,0.00039201,1.82e-05,17520,17520
signal_v0_pm_full_structured,1h,10,1,1,0.00014407,-4.601e-05,17520,17520
signal_v0_pm_full_structured,1h,10,2,2,1.034e-05,-1.74e-06,17520,17520
signal_v0_pm_full_structured,1h,10,3,3,2.762e-05,3.99e-05,17520,17520
signal_v0_pm_full_structured,1h,10,4,4,-1.561e-05,7.501e-05,17520,17520
signal_v0_pm_full_structured,1h,10,5,5,3.351e-05,0.00012918,17520,17520
signal_v0_pm_full_structured,1h,10,6,6,-3.608e-05,6.894e-05,17520,17520
signal_v0_pm_full_structured,1h,10,7,7,2.584e-05,0.00012966,17520,17520
signal_v0_pm_full_structured,1h,10,8,8,1.341e-05,0.00014555,17520,17520
signal_v0_pm_full_structured,1h,10,9,9,-2.677e-05,0.00016619,17520,17520
signal_v0_pm_full_structured,4h,5,0,0,0.00095988,0.00059086,17520,17520
signal_v0_pm_full_structured,4h,5,1,1,0.0002027,0.00028568,17520,17520
signal_v0_pm_full_structured,4h,5,2,2,0.00010859,0.00032386,17520,17520
signal_v0_pm_full_structured,4h,5,3,3,2.339e-05,0.00025589,17520,17520
signal_v0_pm_full_structured,4h,5,4,4,-0.00013175,0.00030138,17520,17520
signal_v0_pm_full_structured,4h,10,0,0,0.00138916,0.0001465,17520,17520
signal_v0_pm_full_structured,4h,10,1,1,0.00048138,9.434e-05,17520,17520
signal_v0_pm_full_structured,4h,10,2,2,0.00024959,2.218e-05,17520,17520
signal_v0_pm_full_structured,4h,10,3,3,0.0001516,0.00015977,17520,17520
signal_v0_pm_full_structured,4h,10,4,4,-1.45e-06,5.269e-05,17520,17520
signal_v0_pm_full_structured,4h,10,5,5,0.00020273,0.00033053,17520,17520
signal_v0_pm_full_structured,4h,10,6,6,4.084e-05,0.00021869,17520,17520
signal_v0_pm_full_structured,4h,10,7,7,5.25e-06,0.00029649,17520,17520
signal_v0_pm_full_structured,4h,10,8,8,-1.637e-05,0.00027841,17520,17520
signal_v0_pm_full_structured,4h,10,9,9,-0.00023543,0.00028339,17520,17520
signal_v0_pm_full_structured,24h,5,0,0,0.00602118,0.00236936,17508,17508
signal_v0_pm_full_structured,24h,5,1,1,0.00115403,0.00138627,17508,17508
signal_v0_pm_full_structured,24h,5,2,2,0.00042612,0.00073732,17508,17508
signal_v0_pm_full_structured,24h,5,3,3,0.00021677,0.00076064,17508,17508
signal_v0_pm_full_structured,24h,5,4,4,-0.00034948,0.0004299,17508,17508
signal_v0_pm_full_structured,24h,10,0,0,0.0080265,0.00068458,17508,17508
signal_v0_pm_full_structured,24h,10,1,1,0.00382105,0.00077899,17508,17508
signal_v0_pm_full_structured,24h,10,2,2,0.00198851,0.00077481,17508,17508
signal_v0_pm_full_structured,24h,10,3,3,0.00030007,0.00042657,17508,17508
signal_v0_pm_full_structured,24h,10,4,4,0.00038093,0.00054337,17508,17508
signal_v0_pm_full_structured,24h,10,5,5,0.0004713,0.00037948,17508,17508
signal_v0_pm_full_structured,24h,10,6,6,0.00030611,0.00066528,17508,17508
signal_v0_pm_full_structured,24h,10,7,7,0.00012751,0.0003588,17508,17508
signal_v0_pm_full_structured,24h,10,8,8,-4.887e-05,0.00037446,17508,17508
signal_v0_pm_full_structured,24h,10,9,9,-0.00063718,0.00010044,17508,17508
signal_v0_pm_full_structured,72h,5,0,0,0.01572574,0.00492471,17460,17460
signal_v0_pm_full_structured,72h,5,1,1,0.00453057,0.00274993,17460,17460
signal_v0_pm_full_structured,72h,5,2,2,0.001394,0.00072165,17460,17460
signal_v0_pm_full_structured,72h,5,3,3,0.00019022,0.00021935,17460,17460
signal_v0_pm_full_structured,72h,5,4,4,-0.00036208,0.00038375,17460,17460
signal_v0_pm_full_structured,72h,10,0,0,0.01943394,0.00152337,17460,17460
signal_v0_pm_full_structured,72h,10,1,1,0.01156751,0.0029738,17460,17460
signal_v0_pm_full_structured,72h,10,2,2,0.00624304,0.00248861,17460,17460
signal_v0_pm_full_structured,72h,10,3,3,0.00283592,0.0004073,17460,17460
signal_v0_pm_full_structured,72h,10,4,4,0.00174692,-4.747e-05,17460,17460
signal_v0_pm_full_structured,72h,10,5,5,0.00113089,-0.00068294,17460,17460
signal_v0_pm_full_structured,72h,10,6,6,0.0003062,-0.000335,17460,17460
signal_v0_pm_full_structured,72h,10,7,7,7.298e-05,-0.00099532,17460,17460
signal_v0_pm_full_structured,72h,10,8,8,0.00027469,-0.00053293,17460,17460
signal_v0_pm_full_structured,72h,10,9,9,-0.00095428,-0.00048425,17460,17460
signal_v0_family_balanced_diagnostic,1h,5,0,0,0.00027127,9.624e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,5,1,1,9.4e-06,5.754e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,5,2,2,2.512e-05,0.00011782,17520,17520
signal_v0_family_balanced_diagnostic,1h,5,3,3,-3.8e-06,0.00013977,17520,17520
signal_v0_family_balanced_diagnostic,1h,5,4,4,-7.15e-06,0.00018602,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,0,0,0.00038389,-5.232e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,1,1,0.00014222,5.008e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,2,2,-1.968e-05,1.232e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,3,3,3.616e-05,4.028e-05,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,4,4,3.89e-06,0.00010318,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,5,5,4.208e-05,0.00011159,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,6,6,2.89e-06,0.00012612,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,7,7,-1.188e-05,0.00012034,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,8,8,3.815e-05,0.00015495,17520,17520
signal_v0_family_balanced_diagnostic,1h,10,9,9,-4.21e-05,0.0001543,17520,17520
signal_v0_family_balanced_diagnostic,4h,5,0,0,0.00096907,0.00057045,17520,17520
signal_v0_family_balanced_diagnostic,4h,5,1,1,0.00016653,0.00021711,17520,17520
signal_v0_family_balanced_diagnostic,4h,5,2,2,0.00010414,0.00026305,17520,17520
signal_v0_family_balanced_diagnostic,4h,5,3,3,1.289e-05,0.00032346,17520,17520
signal_v0_family_balanced_diagnostic,4h,5,4,4,-9.143e-05,0.00036486,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,0,0,0.00135771,0.00016617,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,1,1,0.00051799,0.00013668,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,2,2,0.00013642,4.274e-05,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,3,3,0.00018839,7.681e-05,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,4,4,9.142e-05,0.0001245,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,5,5,0.00011607,0.00019643,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,6,6,4.084e-05,0.0002533,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,7,7,-1.81e-05,0.0002873,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,8,8,5.648e-05,0.00026311,17520,17520
signal_v0_family_balanced_diagnostic,4h,10,9,9,-0.00021524,0.00030124,17520,17520
signal_v0_family_balanced_diagnostic,24h,5,0,0,0.00587555,0.00246176,17508,17508
signal_v0_family_balanced_diagnostic,24h,5,1,1,0.00095009,0.00053278,17508,17508
signal_v0_family_balanced_diagnostic,24h,5,2,2,0.00058731,0.00070625,17508,17508
signal_v0_family_balanced_diagnostic,24h,5,3,3,0.0002799,0.00062687,17508,17508
signal_v0_family_balanced_diagnostic,24h,5,4,4,-0.00024031,0.00048824,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,0,0,0.00797943,0.00111735,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,1,1,0.0034897,0.00088836,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,2,2,0.00150733,8.725e-05,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,3,3,0.00040033,1.09e-06,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,4,4,0.00081208,0.00041126,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,5,5,0.00042204,0.000291,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,6,6,0.00024261,2.704e-05,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,7,7,0.0003155,0.0002189,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,8,8,0.00036114,0.00033814,17508,17508
signal_v0_family_balanced_diagnostic,24h,10,9,9,-0.00080645,0.00032618,17508,17508
signal_v0_family_balanced_diagnostic,72h,5,0,0,0.01525214,0.00534912,17460,17460
signal_v0_family_balanced_diagnostic,72h,5,1,1,0.00379887,0.00240075,17460,17460
signal_v0_family_balanced_diagnostic,72h,5,2,2,0.00172626,9.476e-05,17460,17460
signal_v0_family_balanced_diagnostic,72h,5,3,3,0.00082138,0.00047533,17460,17460
signal_v0_family_balanced_diagnostic,72h,5,4,4,-0.00015367,0.00103982,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,0,0,0.0204486,0.00324719,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,1,1,0.009314,0.00232232,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,2,2,0.00507247,0.00097816,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,3,3,0.00252828,-6.083e-05,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,4,4,0.00212465,-0.00072005,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,5,5,0.00144573,-0.00060828,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,6,6,0.00071522,-0.001369,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,7,7,0.0009195,-0.00050622,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,8,8,0.00062354,-0.00028851,17460,17460
signal_v0_family_balanced_diagnostic,72h,10,9,9,-0.0009463,0.00037262,17460,17460
