factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,RankIC_sign_consistent,static_RankICIR,dynamic_RankICIR,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,static_coverage,dynamic_coverage,static_turnover,dynamic_turnover,direction_source
taker_buy_ratio_20h,taker_imbalance,ret_fwd_1h,positive,-0.0123899953427671,-0.004357967654553,True,-0.0810227798069176,-0.038453794872139,-0.0001121337571723,4.5549150944145096e-05,0.7548611111111111,0.9357182934966704,0.1469410361281526,0.1517487899687947,candidate_csv
taker_buy_zscore_20h,taker_imbalance,ret_fwd_1h,positive,-0.0083792192146691,-0.0103871102181816,True,-0.0524582233286794,-0.0915337983034906,-3.72620957293993e-05,-5.125236851927643e-05,0.7548611111111111,0.9357182934966704,0.7712576687116565,0.7797266488291823,candidate_csv
taker_buy_delta_5h,taker_imbalance,ret_fwd_1h,positive,-0.006148641198475,-0.0078572696022227,True,-0.0398597252912021,-0.0718876136868051,6.122495081698813e-05,-4.7948130889594094e-05,0.7581018518518519,0.937524398025881,0.7595856241091428,0.769935893662635,candidate_csv
funding_rate_level_20h,funding_rate,ret_fwd_1h,negative,-0.0050234759131971,0.0109149641720132,False,-0.028413044070491,0.0874157411273641,-0.0002919593208707,2.4825136340951736e-05,0.7391534391534391,0.8774487810616147,0.0404516019086571,0.0365419845866755,candidate_csv
funding_rate_zscore_80h,funding_rate,ret_fwd_1h,negative,0.000130669567061,0.0032985605969244,True,0.000779017874679,0.0264376463953873,3.288749771600123e-05,6.2140327541980974e-06,0.6665532879818594,0.7737127991913648,0.1155611359126984,0.1140517594780174,candidate_csv
funding_rate_change_24h,funding_rate,ret_fwd_1h,negative,-0.0002647712147673,0.0021455433956843,False,-0.0016548178820599,0.0185831093910083,7.117896315529519e-05,1.4538880825498692e-05,0.7382558578987151,0.8772457894862856,0.1253507424475166,0.120442324993428,candidate_csv
