group_id,source_batch,factors,families,n_factors,max_abs_corr_static,max_abs_corr_dynamic,representative_candidate,recommended_review,notes
RG1,PHASE_7B_BATCH1,breakout_dist_20h; price_pos_24h,breakout; price_position,2,0.9665,0.9507,price_pos_24h,REVIEW_LOOKBACK_REDUNDANCY,
RG2,PHASE_7B_BATCH1,breakout_dist_48h; price_pos_72h,breakout; price_position,2,0.9119,0.8912,breakout_dist_48h,REVIEW_LOOKBACK_REDUNDANCY,
RG3,PHASE_7B_BATCH1,ma_gap_10_40; rev_24h,reversal; trend_ma,2,0.8503,0.859,rev_24h,REVIEW_LOOKBACK_REDUNDANCY,
RG4,PHASE_7B_BATCH1,mom_10h; rev_10h,momentum; reversal,2,1.0,1.0,rev_10h,REVIEW_LOOKBACK_REDUNDANCY,
RG5,PHASE_7B_BATCH1,qvol_zscore_20h; qvol_zscore_48h; vol_zscore_20h; vol_zscore_48h,quote_volume_liquidity; volume_liquidity,4,0.9983,0.9982,qvol_zscore_48h,REVIEW_LOOKBACK_REDUNDANCY,
RG6,PHASE_7B_BATCH1,range_24h; vol_40h,range_position; volatility,2,0.8591,0.818,vol_40h,REVIEW_LOOKBACK_REDUNDANCY,
RG_B2_1,PHASE_7I_BATCH2,ema_12_26_gap; rsi_28h,technical_indicators,2,0.889012,0.898608,rsi_28h,REVIEW_CROSS_FAMILY_EQUIVALENCE,
RG_B2_2,PHASE_7I_BATCH2,rsi_7h; williams_r_14h,technical_indicators,2,0.917576,0.913441,rsi_7h,REVIEW_CROSS_FAMILY_EQUIVALENCE,
