signal_id,horizon,mean_spread,std_spread,t_stat,hit_rate,cumulative_spread_return,max_drawdown,n_timestamps
signal_v0_core_only,1h,-0.000306,0.009063,-4.4632,0.5083,-5.354051,-5.645773,17520
signal_v0_core_only,4h,-0.001232,0.018411,-8.8548,0.4985,-21.578581,-22.882993,17520
signal_v0_core_only,24h,-0.006742,0.046108,-19.3469,0.489,-118.03287,-121.463121,17508
signal_v0_core_only,72h,-0.016623,0.078809,-27.8719,0.475,-290.245688,-303.825909,17460
signal_v0_pm_full_structured,1h,-0.000316,0.008929,-4.684,0.5072,-5.536141,-5.757112,17520
signal_v0_pm_full_structured,4h,-0.001182,0.018069,-8.6602,0.4982,-20.712072,-22.004846,17520
signal_v0_pm_full_structured,24h,-0.006594,0.045416,-19.2106,0.4821,-115.442833,-118.437125,17508
signal_v0_pm_full_structured,72h,-0.016746,0.077893,-28.408,0.4704,-292.388027,-307.179567,17460
signal_v0_family_balanced_diagnostic,1h,-0.000318,0.008893,-4.7342,0.5029,-5.572572,-5.820745,17520
signal_v0_family_balanced_diagnostic,4h,-0.001161,0.017937,-8.5668,0.4978,-20.339328,-21.448264,17520
signal_v0_family_balanced_diagnostic,24h,-0.006617,0.044852,-19.5208,0.4837,-115.85079,-117.95615,17508
signal_v0_family_balanced_diagnostic,72h,-0.016461,0.077053,-28.2283,0.4699,-287.405729,-296.656197,17460
