factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,RankIC_sign_consistent,static_RankICIR,dynamic_RankICIR,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,static_coverage,dynamic_coverage,static_turnover,dynamic_turnover,direction_source
taker_buy_ratio_20h,taker_imbalance,ret_fwd_1h,positive,-0.0123899953427671,-0.004357967654553,True,-0.0810227798069176,-0.038453794872139,-0.0001121337571723,4.5549150944145096e-05,0.7548611111111111,0.9357182934966704,0.1469410361281526,0.1517487899687947,candidate_csv
taker_buy_ratio_20h,taker_imbalance,ret_fwd_4h,positive,-0.0178182977198901,-0.0031214863916645,True,-0.11468733064199,-0.0271771997180132,-0.0004654888247655,0.0002041820634006,0.7548611111111111,0.9357182934966704,0.1469410361281526,0.1517487899687947,candidate_csv
taker_buy_ratio_20h,taker_imbalance,ret_fwd_24h,positive,-0.0217083289086466,0.0011513030882479,False,-0.1337664409344106,0.0097301124172948,-0.0023442090350867,0.0009123535810889,0.7548611111111111,0.9357182934966704,0.1469410361281526,0.1517487899687947,candidate_csv
taker_buy_ratio_20h,taker_imbalance,ret_fwd_72h,positive,0.0012336618977205,0.0076803653439251,True,0.0076492199722724,0.0639646439699647,0.0018914046219916,0.0019887007951642,0.7548611111111111,0.9357182934966704,0.1469410361281526,0.1517487899687947,candidate_csv
taker_buy_zscore_20h,taker_imbalance,ret_fwd_1h,positive,-0.0083792192146691,-0.0103871102181816,True,-0.0524582233286794,-0.0915337983034906,-3.72620957293993e-05,-5.125236851927643e-05,0.7548611111111111,0.9357182934966704,0.7712576687116565,0.7797266488291823,candidate_csv
taker_buy_zscore_20h,taker_imbalance,ret_fwd_4h,positive,-0.0074742259155584,-0.0077845009763796,True,-0.0461299446594662,-0.068560766374872,-1.1196289940355844e-05,-0.0001073582975359,0.7548611111111111,0.9357182934966704,0.7712576687116565,0.7797266488291823,candidate_csv
taker_buy_zscore_20h,taker_imbalance,ret_fwd_24h,positive,-0.0035884133854717,-0.0023065041213782,True,-0.0228176290574694,-0.0204071307275712,-0.0004824137545339,-5.263846057208046e-05,0.7548611111111111,0.9357182934966704,0.7712576687116565,0.7797266488291823,candidate_csv
taker_buy_zscore_20h,taker_imbalance,ret_fwd_72h,positive,-0.0021248406420756,-0.0008071928527321,True,-0.0137546715268665,-0.0071483995108272,-0.0005139827424791,7.191181574814905e-05,0.7548611111111111,0.9357182934966704,0.7712576687116565,0.7797266488291823,candidate_csv
taker_buy_delta_5h,taker_imbalance,ret_fwd_1h,positive,-0.006148641198475,-0.0078572696022227,True,-0.0398597252912021,-0.0718876136868051,6.122495081698813e-05,-4.7948130889594094e-05,0.7581018518518519,0.937524398025881,0.7595856241091428,0.769935893662635,candidate_csv
taker_buy_delta_5h,taker_imbalance,ret_fwd_4h,positive,-0.0072119111488828,-0.005189979195925,True,-0.047227505717067,-0.0473778509469902,2.0486434873575332e-05,-7.342748166276757e-05,0.7581018518518519,0.937524398025881,0.7595856241091428,0.769935893662635,candidate_csv
taker_buy_delta_5h,taker_imbalance,ret_fwd_24h,positive,-0.004053515300822,-0.0014679794274379,True,-0.0266447135455814,-0.0133830553600885,-0.0003086032995316,-4.386390368639033e-05,0.7581018518518519,0.937524398025881,0.7595856241091428,0.769935893662635,candidate_csv
taker_buy_delta_5h,taker_imbalance,ret_fwd_72h,positive,-0.0034510868826375,-0.000606925634614,True,-0.0227769485596576,-0.0055945314325528,-0.0005773212223873,4.7039865639203806e-05,0.7581018518518519,0.937524398025881,0.7595856241091428,0.769935893662635,candidate_csv
