factor_id,family,expected_direction,static_RankIC_1h,dynamic_RankIC_1h,delta_RankIC_1h,rankic_same_sign_1h,stability_bucket_1h,static_IC_1h,dynamic_IC_1h,static_turnover_1h,dynamic_turnover_1h,max_turnover_1h,static_coverage_1h,dynamic_coverage_1h,min_coverage_1h,direction_alignment,turnover_flag,coverage_flag,multi_horizon_consistency,diagnostic_tier,recommended_next_action,notes
vol_zscore_20h,volume_liquidity,positive,0.0029009828919804,-0.0047526297032684,0.00765361,False,SIGN_FLIP,0.0068458952481555,-0.0060485552325535,0.5695097050993772,0.5690857526748908,0.5695097050993772,0.995601851851852,0.9989330637915544,0.995601851851852,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
vol_zscore_48h,volume_liquidity,positive,0.0019289680607826,-0.0054329347012402,0.0073619,False,SIGN_FLIP,0.008214881372478,-0.0069516209159158,0.5196246000156092,0.5197566634302937,0.5197566634302937,0.9891203703703704,0.9973607367475292,0.9891203703703704,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
qvol_zscore_20h,quote_volume_liquidity,positive,0.0027859766777329,-0.0054254093388208,0.00821139,False,SIGN_FLIP,0.0075390901981316,-0.0061243893642571,0.5675596391925771,0.5655003966692278,0.5675596391925771,0.995601851851852,0.9989330637915544,0.995601851851852,aligned_static_only,HIGH_TURNOVER,PASS,CONSISTENT_3H,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
qvol_zscore_48h,quote_volume_liquidity,positive,0.0020938767052475,-0.0060150420478096,0.00810892,False,SIGN_FLIP,0.0089798249037673,-0.006703413096462,0.5170048648508025,0.5146780036413462,0.5170048648508025,0.9891203703703704,0.9973607367475292,0.9891203703703704,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
ma_gap_5_20,trend_ma,positive,-0.0072222122648002,-0.0129452082925602,0.005723,True,DYNAMIC_ONLY,0.0111541746699555,-0.0005818511810862,0.1154622522033547,0.1173541793376504,0.1173541793376504,0.995601851851852,0.9989330637915544,0.995601851851852,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
ma_gap_10_40,trend_ma,positive,0.0005645004733757,-0.007859125239953,0.00842363,False,SIGN_FLIP,0.0076306225969692,0.0004775177230634,0.0617550829633091,0.0634236778774404,0.0634236778774404,0.9909722222222224,0.997809973045822,0.9909722222222224,aligned_static_only,LOW_TURNOVER,PASS,UNSTABLE,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; direction: aligned_static_only
breakout_dist_20h,breakout,positive,-0.0165921586618322,-0.0153854682634525,-0.00120669,True,STABLE_NEGATIVE,0.002556311676568,-0.0024017019831523,0.2999573544235093,0.3067425818311296,0.3067425818311296,0.995601851851852,0.9989330637915544,0.995601851851852,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_4H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
breakout_dist_48h,breakout,positive,-0.0067919275463059,-0.0114342480943953,0.00464232,True,DYNAMIC_ONLY,0.0077376341240373,-0.0005526012354237,0.2070683420484403,0.214470284237726,0.214470284237726,0.9891203703703704,0.9973607367475292,0.9891203703703704,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
candle_body,intraday_candle,conditional,-0.0275063998540277,-0.0217118661632971,-0.00579453,True,STABLE_NEGATIVE,-0.0060931157000457,-0.0100086785145104,0.791059389635119,0.7880779036007612,0.791059389635119,1.0,1.0,1.0,conditional_not_scored,EXTREME_TURNOVER,PASS,CONSISTENT_4H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_HIGH_TURNOVER,high turnover risk (extreme_turnover)
candle_wick_upper,intraday_candle,negative,0.0106693096275417,0.007061106069349,0.0036082,True,STATIC_ONLY,0.0098097385411243,0.0047593525308858,0.7831828006793269,0.7832455181944118,0.7832455181944118,1.0,1.0,1.0,misaligned_both,EXTREME_TURNOVER,PASS,CONSISTENT_4H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_FORMULA_OR_DIRECTION,high turnover risk (extreme_turnover); direction: misaligned_both
candle_wick_lower,intraday_candle,positive,-0.0080164262938165,-0.0018909508364652,-0.00612548,True,WEAK_BOTH,-0.0067643411778587,-0.0016479797509124,0.7853417219906336,0.7818925523912608,0.7853417219906336,1.0,1.0,1.0,misaligned_both,EXTREME_TURNOVER,PASS,MIXED_2H,TIER_3_WEAK_DIAGNOSTIC,LOW_PRIORITY_DIAGNOSTIC,high turnover risk (extreme_turnover); direction: misaligned_both
xs_rank_ret_1h,cross_sectional_normalized,conditional,-0.0301308249110669,-0.0294271188660994,-0.00070371,True,STABLE_NEGATIVE,-0.0056545990350778,-0.0115285956338834,0.734671711322163,0.7518978042145692,0.7518978042145692,0.9997685185185186,0.9999438454627134,0.9997685185185186,conditional_not_scored,EXTREME_TURNOVER,PASS,CONSISTENT_4H,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_HIGH_TURNOVER,high turnover risk (extreme_turnover)
xs_rank_vol,cross_sectional_normalized,conditional,-0.0113702864908407,-0.0220752277951292,0.01070494,True,STABLE_NEGATIVE,-0.0007599784203113,-0.0110452097477574,0.0096947610555426,0.0077448459975024,0.0096947610555426,0.995601851851852,0.9989330637915544,0.995601851851852,conditional_not_scored,LOW_TURNOVER,PASS,CONSISTENT_4H,TIER_1_STABLE_DIAGNOSTIC,KEEP_FOR_OBSERVATION,
