check,status,detail
label_columns_present,PASS,"Found: ['ret_fwd_1h', 'ret_fwd_4h', 'ret_fwd_24h', 'ret_fwd_72h']"
signal_columns_present,PASS,"Found: ['signal_v0_core_only', 'signal_v0_pm_full_structured', 'signal_v0_family_balanced_diagnostic']"
join_keys,PASS,timestamp + symbol
no_duplicate_timestamp_symbol_rows,PASS,0 duplicates found
no_missing_horizon_labels_above_threshold,PASS,"Missing rates: ret_fwd_1h=0.0000, ret_fwd_4h=0.0000, ret_fwd_24h=0.0008, ret_fwd_72h=0.0041"
no_row_based_shift_in_script,PASS,Calendar join only; no shift(-h)
no_shift_minus_in_script,PASS,Verified: no shift(- in run_phase10a_signal_backtest.py
no_future_factor_columns,PASS,No forward return columns used as signal inputs
timestamp_range_overlap,PASS,Signals: 2024-06-01 08:00:00+00:00 to 2026-06-13 00:00:00+00:00; Labels: 2024-06-13 01:00:00+00:00 to 2026-06-13 13:00:00+00:00; Joined: 2024-06-13 01:00:00+00:00 to 2026-06-13 00:00:00+00:00
joined_row_count,PASS,"626,438"
