factor_id,family,rows,coverage,missing_rate,gate
ema_12_26_gap,technical_indicators,3316259,100.0,0.0,PASS
rsi_28h,technical_indicators,3316259,99.775,0.225,PASS
rsi_7h,technical_indicators,3316259,99.944,0.056,PASS
williams_r_14h,technical_indicators,3316259,99.896,0.104,PASS
downside_vol_20h,realized_skew_kurtosis,3316259,99.84,0.16,PASS
vol_of_vol_20h,realized_skew_kurtosis,3316259,99.807,0.193,PASS
mom_accel_20h,momentum,3316259,99.799,0.201,PASS
qvol_ma_ratio_5_20,quote_volume_liquidity,3316259,99.58,0.42,PASS
ma_gap_20_80,trend_ma,3316259,99.366,0.634,PASS
