factor_id,factor_family,formula_short,expected_direction,registry_status,candidate_status,diagnostic_tier,recommended_research_use,direction_alignment,turnover_flag,coverage_flag,multi_horizon_consistency,static_RankIC_1h,dynamic_RankIC_1h,rankic_same_sign_1h,static_turnover_1h,dynamic_turnover_1h,redundancy_group_id,is_representative_candidate,redundancy_role,primary_risk_flags,curation_notes
vol_zscore_20h,volume_liquidity,(vol-SMA20)/STD20,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,0.0029009828919804,-0.0047526297032684,False,0.5695097050993772,0.5690857526748908,RG5,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
vol_zscore_48h,volume_liquidity,(vol-SMA48)/STD48,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,0.0019289680607826,-0.0054329347012402,False,0.5196246000156092,0.5197566634302937,RG5,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
qvol_zscore_20h,quote_volume_liquidity,(qv-SMA20)/STD20,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,aligned_static_only,HIGH_TURNOVER,PASS,CONSISTENT_3H,0.0027859766777329,-0.0054254093388208,False,0.5675596391925771,0.5655003966692278,RG5,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
qvol_zscore_48h,quote_volume_liquidity,(qv-SMA48)/STD48,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,aligned_static_only,HIGH_TURNOVER,PASS,MIXED_2H,0.0020938767052475,-0.0060150420478096,False,0.5170048648508025,0.5146780036413462,RG5,True,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,
ma_gap_5_20,trend_ma,(SMA5-SMA20)/SMA20,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,-0.0072222122648002,-0.0129452082925602,True,0.1154622522033547,0.1173541793376504,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
ma_gap_10_40,trend_ma,(SMA10-SMA40)/SMA40,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,aligned_static_only,LOW_TURNOVER,PASS,UNSTABLE,0.0005645004733757,-0.007859125239953,False,0.0617550829633091,0.0634236778774404,RG3,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
breakout_dist_20h,breakout,(close-HH20)/(HH20-LL20+eps),positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_4H,-0.0165921586618322,-0.0153854682634525,True,0.2999573544235093,0.3067425818311296,RG1,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,
breakout_dist_48h,breakout,(close-HH48)/(HH48-LL48+eps),positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,-0.0067919275463059,-0.0114342480943953,True,0.2070683420484403,0.214470284237726,RG2,True,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
candle_body,intraday_candle,(close-open)/(high-low+eps),conditional,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,conditional_not_scored,EXTREME_TURNOVER,PASS,CONSISTENT_4H,-0.0275063998540277,-0.0217118661632971,True,0.791059389635119,0.7880779036007612,,False,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,
candle_wick_upper,intraday_candle,"(high-max(open,close))/(high-low+eps)",negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,EXTREME_TURNOVER,PASS,CONSISTENT_4H,0.0106693096275417,0.007061106069349,True,0.7831828006793269,0.7832455181944118,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER,
candle_wick_lower,intraday_candle,"(min(open,close)-low)/(high-low+eps)",positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,EXTREME_TURNOVER,PASS,MIXED_2H,-0.0080164262938165,-0.0018909508364652,True,0.7853417219906336,0.7818925523912608,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,
xs_rank_ret_1h,cross_sectional_normalized,rank(ret_1h) by timestamp,conditional,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,conditional_not_scored,EXTREME_TURNOVER,PASS,CONSISTENT_4H,-0.0301308249110669,-0.0294271188660994,True,0.734671711322163,0.7518978042145692,,False,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,
xs_rank_vol,cross_sectional_normalized,rank(vol_20h) by timestamp,conditional,DIAGNOSTIC_PROBE,selected_for_7B,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,conditional_not_scored,LOW_TURNOVER,PASS,CONSISTENT_4H,-0.0113702864908407,-0.0220752277951292,True,0.0096947610555426,0.0077448459975024,,False,NOT_IN_REDUNDANCY_GROUP,NONE,
