variant_id,fee_bps,slippage_bps,total_cost_bps,participation_rate,notional_usd,gross_median_spread,estimated_cost_per_rebalance,net_median_spread,median_capacity_usd,capacity_ok,survives_both
signal_v0_core_only__1h__original_no_guard,2,1,3,0.001,1000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.001,5000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.001,10000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.001,50000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.001,100000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,2,1,3,0.005,1000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.005,5000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.005,10000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.005,50000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.005,100000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.01,1000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.01,5000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.01,10000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.01,50000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.01,100000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.02,1000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.02,5000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.02,10000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.02,50000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.02,100000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.05,1000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,3302449.2574532256,True,True
