variant_id,fee_bps,slippage_bps,total_cost_bps,participation_rate,notional_usd,gross_median_spread,estimated_cost_per_rebalance,net_median_spread,median_capacity_usd,capacity_ok,survives_both
signal_v0_core_only__1h__original_no_guard,2,1,3,0.05,5000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.05,10000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.05,50000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,1,3,0.05,100000,0.00015278108346727937,5.6399999999999995e-05,9.638108346727938e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.001,1000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.001,5000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.001,10000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.001,50000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.001,100000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,2,5,7,0.005,1000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.005,5000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.005,10000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.005,50000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.005,100000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.01,1000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.01,5000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.01,10000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.01,50000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.01,100000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.02,1000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.02,5000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.02,10000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.02,50000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.02,100000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.05,1000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.05,5000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.05,10000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.05,50000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,5,7,0.05,100000,0.00015278108346727937,0.0001316,2.1181083467279366e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,2,10,12,0.001,1000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.001,5000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.001,10000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.001,50000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.001,100000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.005,1000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.005,5000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.005,10000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.005,50000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.005,100000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.01,1000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.01,5000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.01,10000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.01,50000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.01,100000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.02,1000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.02,5000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.02,10000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.02,50000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.02,100000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.05,1000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.05,5000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.05,10000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.05,50000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,10,12,0.05,100000,0.00015278108346727937,0.00022559999999999998,-7.281891653272062e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.001,1000,0.00015278108346727937,0.0005076,-0.0003548189165327206,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.001,5000,0.00015278108346727937,0.0005076,-0.0003548189165327206,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.001,10000,0.00015278108346727937,0.0005076,-0.0003548189165327206,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.001,50000,0.00015278108346727937,0.0005076,-0.0003548189165327206,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.001,100000,0.00015278108346727937,0.0005076,-0.0003548189165327206,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.005,1000,0.00015278108346727937,0.0005076,-0.0003548189165327206,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.005,5000,0.00015278108346727937,0.0005076,-0.0003548189165327206,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.005,10000,0.00015278108346727937,0.0005076,-0.0003548189165327206,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.005,50000,0.00015278108346727937,0.0005076,-0.0003548189165327206,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.005,100000,0.00015278108346727937,0.0005076,-0.0003548189165327206,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.01,1000,0.00015278108346727937,0.0005076,-0.0003548189165327206,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.01,5000,0.00015278108346727937,0.0005076,-0.0003548189165327206,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.01,10000,0.00015278108346727937,0.0005076,-0.0003548189165327206,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.01,50000,0.00015278108346727937,0.0005076,-0.0003548189165327206,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.01,100000,0.00015278108346727937,0.0005076,-0.0003548189165327206,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.02,1000,0.00015278108346727937,0.0005076,-0.0003548189165327206,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.02,5000,0.00015278108346727937,0.0005076,-0.0003548189165327206,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.02,10000,0.00015278108346727937,0.0005076,-0.0003548189165327206,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.02,50000,0.00015278108346727937,0.0005076,-0.0003548189165327206,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.02,100000,0.00015278108346727937,0.0005076,-0.0003548189165327206,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.05,1000,0.00015278108346727937,0.0005076,-0.0003548189165327206,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.05,5000,0.00015278108346727937,0.0005076,-0.0003548189165327206,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.05,10000,0.00015278108346727937,0.0005076,-0.0003548189165327206,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.05,50000,0.00015278108346727937,0.0005076,-0.0003548189165327206,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,2,25,27,0.05,100000,0.00015278108346727937,0.0005076,-0.0003548189165327206,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,1,6,0.001,1000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.001,5000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.001,10000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.001,50000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,66048.98514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.001,100000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,5,1,6,0.005,1000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.005,5000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.005,10000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.005,50000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.005,100000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,330244.92574532254,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.01,1000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.01,5000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.01,10000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.01,50000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.01,100000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,660489.8514906451,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.02,1000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.02,5000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.02,10000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.02,50000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.02,100000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,1320979.7029812902,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.05,1000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.05,5000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.05,10000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.05,50000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,5,1,6,0.05,100000,0.00015278108346727937,0.00011279999999999999,3.9981083467279375e-05,3302449.2574532256,True,True
signal_v0_core_only__1h__original_no_guard,5,5,10,0.001,1000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.001,5000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.001,10000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.001,50000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.001,100000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.005,1000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.005,5000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.005,10000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.005,50000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.005,100000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.01,1000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.01,5000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.01,10000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.01,50000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.01,100000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.02,1000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.02,5000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.02,10000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.02,50000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.02,100000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.05,1000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.05,5000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.05,10000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.05,50000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,5,10,0.05,100000,0.00015278108346727937,0.00018800000000000002,-3.521891653272065e-05,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.001,1000,0.00015278108346727937,0.000282,-0.00012921891653272066,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.001,5000,0.00015278108346727937,0.000282,-0.00012921891653272066,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.001,10000,0.00015278108346727937,0.000282,-0.00012921891653272066,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.001,50000,0.00015278108346727937,0.000282,-0.00012921891653272066,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.001,100000,0.00015278108346727937,0.000282,-0.00012921891653272066,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.005,1000,0.00015278108346727937,0.000282,-0.00012921891653272066,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.005,5000,0.00015278108346727937,0.000282,-0.00012921891653272066,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.005,10000,0.00015278108346727937,0.000282,-0.00012921891653272066,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.005,50000,0.00015278108346727937,0.000282,-0.00012921891653272066,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.005,100000,0.00015278108346727937,0.000282,-0.00012921891653272066,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.01,1000,0.00015278108346727937,0.000282,-0.00012921891653272066,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.01,5000,0.00015278108346727937,0.000282,-0.00012921891653272066,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.01,10000,0.00015278108346727937,0.000282,-0.00012921891653272066,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.01,50000,0.00015278108346727937,0.000282,-0.00012921891653272066,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.01,100000,0.00015278108346727937,0.000282,-0.00012921891653272066,660489.8514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.02,1000,0.00015278108346727937,0.000282,-0.00012921891653272066,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.02,5000,0.00015278108346727937,0.000282,-0.00012921891653272066,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.02,10000,0.00015278108346727937,0.000282,-0.00012921891653272066,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.02,50000,0.00015278108346727937,0.000282,-0.00012921891653272066,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.02,100000,0.00015278108346727937,0.000282,-0.00012921891653272066,1320979.7029812902,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.05,1000,0.00015278108346727937,0.000282,-0.00012921891653272066,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.05,5000,0.00015278108346727937,0.000282,-0.00012921891653272066,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.05,10000,0.00015278108346727937,0.000282,-0.00012921891653272066,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.05,50000,0.00015278108346727937,0.000282,-0.00012921891653272066,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,10,15,0.05,100000,0.00015278108346727937,0.000282,-0.00012921891653272066,3302449.2574532256,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.001,1000,0.00015278108346727937,0.000564,-0.0004112189165327207,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.001,5000,0.00015278108346727937,0.000564,-0.0004112189165327207,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.001,10000,0.00015278108346727937,0.000564,-0.0004112189165327207,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.001,50000,0.00015278108346727937,0.000564,-0.0004112189165327207,66048.98514906451,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.001,100000,0.00015278108346727937,0.000564,-0.0004112189165327207,66048.98514906451,False,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.005,1000,0.00015278108346727937,0.000564,-0.0004112189165327207,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.005,5000,0.00015278108346727937,0.000564,-0.0004112189165327207,330244.92574532254,True,False
signal_v0_core_only__1h__original_no_guard,5,25,30,0.005,10000,0.00015278108346727937,0.000564,-0.0004112189165327207,330244.92574532254,True,False
