timestamp,upper_side_return,lower_side_return,gross_paper_spread,one_way_turnover,low_cost_drag,mid_cost_drag,low_cost_net_spread,mid_cost_net_spread,n_upper_with_label,n_lower_with_label,label_status,cum_gross_spread,cum_low_cost_net,cum_mid_cost_net
2026-05-14 00:00:00+00:00,4.554809066226878e-05,-0.0034246810108835013,0.00347022910154577,0.0,0.0,0.0,0.00347022910154577,0.00347022910154577,8,8,AVAILABLE,0.00347022910154577,0.00347022910154577,0.00347022910154577
2026-05-14 01:00:00+00:00,0.00037829167025622834,0.003545287100058865,-0.0031669954298026368,0.125,8.75e-05,0.0001875,-0.0032544954298026367,-0.003354495429802637,8,8,AVAILABLE,0.0003032336717431333,0.0002157336717431334,0.00011573367174313315
2026-05-14 02:00:00+00:00,-0.0018554394746789007,0.006013923347824857,-0.007869362822503757,0.125,8.75e-05,0.0001875,-0.007956862822503758,-0.008056862822503758,8,8,AVAILABLE,-0.007566129150760624,-0.007741129150760625,-0.007941129150760624
2026-05-14 03:00:00+00:00,-0.0033621814452831703,0.020844673623608367,-0.024206855068891538,0.0625,4.375e-05,9.375e-05,-0.024250605068891536,-0.024300605068891538,8,8,AVAILABLE,-0.03177298421965216,-0.03199173421965216,-0.032241734219652166
2026-05-14 04:00:00+00:00,0.00473572123814292,0.009564228361795643,-0.004828507123652723,0.0625,4.375e-05,9.375e-05,-0.004872257123652723,-0.004922257123652723,8,8,AVAILABLE,-0.036601491343304884,-0.03686399134330488,-0.03716399134330489
2026-05-14 05:00:00+00:00,0.00328258607072926,0.005101795700047915,-0.001819209629318655,0.25,0.000175,0.000375,-0.0019942096293186547,-0.002194209629318655,8,8,AVAILABLE,-0.03842070097262354,-0.03885820097262354,-0.03935820097262355
2026-05-14 06:00:00+00:00,0.000165783975539395,0.002029313715260321,-0.001863529739720926,0.25,0.000175,0.000375,-0.002038529739720926,-0.002238529739720926,8,8,AVAILABLE,-0.040284230712344465,-0.04089673071234447,-0.041596730712344474
2026-05-14 07:00:00+00:00,-0.0010959432869601382,0.02312777650421731,-0.024223719791177448,0.3125,0.00021875,0.00046875,-0.024442469791177448,-0.024692469791177448,8,8,AVAILABLE,-0.06450795050352191,-0.06533920050352192,-0.06628920050352193
2026-05-14 08:00:00+00:00,0.002711960351155035,-0.004850286600475151,0.007562246951630186,0.25,0.000175,0.000375,0.007387246951630186,0.007187246951630186,8,8,AVAILABLE,-0.05694570355189173,-0.057951953551891734,-0.05910195355189174
2026-05-14 09:00:00+00:00,-0.00028788433240745787,-0.0011133327188716513,0.0008254483864641934,0.25,0.000175,0.000375,0.0006504483864641934,0.00045044838646419343,8,8,AVAILABLE,-0.056120255165427534,-0.05730150516542754,-0.058651505165427546
2026-05-14 10:00:00+00:00,0.0015130501113142514,-0.006499647711618484,0.008012697822932735,0.125,8.75e-05,0.0001875,0.007925197822932734,0.007825197822932735,8,8,AVAILABLE,-0.0481075573424948,-0.049376307342494805,-0.05082630734249481
2026-05-14 11:00:00+00:00,-0.002036015059523652,0.0014493036249141125,-0.0034853186844377645,0.25,0.000175,0.000375,-0.0036603186844377644,-0.0038603186844377644,8,8,AVAILABLE,-0.05159287602693256,-0.05303662602693257,-0.054686626026932576
2026-05-14 12:00:00+00:00,0.0031651090031386206,-0.002815978906451841,0.0059810879095904615,0.0625,4.375e-05,9.375e-05,0.005937337909590461,0.005887337909590461,8,8,AVAILABLE,-0.0456117881173421,-0.04709928811734211,-0.04879928811734212
2026-05-14 13:00:00+00:00,0.0006214588918438541,-0.012382601257775079,0.013004060149618933,0.1875,0.00013125,0.00028125000000000003,0.012872810149618934,0.012722810149618933,8,8,AVAILABLE,-0.03260772796772317,-0.03422647796772318,-0.03607647796772319
