variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_spread,bucket0_lower_leg_exposure_fraction,rankic_pass,median_spread_pass,bucket0_guard_pass,overall_pass,pass_status
signal_v0_family_balanced_diagnostic__1h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,1h,inverted,bucket0_guard,-0.0302513341555248,-7.232655562232175e-05,0.1083635355031355,False,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__4h__original_no_guard,signal_v0_family_balanced_diagnostic,4h,original,no_guard,0.0352065338259063,-7.308732689836417e-05,0.0,True,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,4h,original,bucket0_guard,0.0352065338259063,9.55932841149032e-05,0.1083635355031355,True,True,True,True,PASS
signal_v0_family_balanced_diagnostic__4h__inverted_no_guard,signal_v0_family_balanced_diagnostic,4h,inverted,no_guard,-0.0352065338259063,7.308732689836417e-05,0.0,False,True,True,False,FAIL
signal_v0_family_balanced_diagnostic__4h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,4h,inverted,bucket0_guard,-0.0352065338259063,-6.592615172209042e-05,0.1083635355031355,False,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__24h__original_no_guard,signal_v0_family_balanced_diagnostic,24h,original,no_guard,0.033955248935282,-0.0012112188194005,0.0,True,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__24h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,24h,original,bucket0_guard,0.033955248935282,-0.0004346378001337,0.1082838923046647,True,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__24h__inverted_no_guard,signal_v0_family_balanced_diagnostic,24h,inverted,no_guard,-0.033955248935282,0.0012112188194005,0.0,False,True,True,False,FAIL
signal_v0_family_balanced_diagnostic__24h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,24h,inverted,bucket0_guard,-0.033955248935282,0.0009090683858516,0.1082838923046647,False,True,True,False,FAIL
signal_v0_family_balanced_diagnostic__72h__original_no_guard,signal_v0_family_balanced_diagnostic,72h,original,no_guard,0.0246281559546861,-0.0040930294483943,0.0,True,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__72h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,72h,original,bucket0_guard,0.0246281559546861,-0.0020684116241855,0.1079653195107813,True,False,True,False,FAIL
signal_v0_family_balanced_diagnostic__72h__inverted_no_guard,signal_v0_family_balanced_diagnostic,72h,inverted,no_guard,-0.0246281559546861,0.0040930294483943,0.0,False,True,True,False,FAIL
signal_v0_family_balanced_diagnostic__72h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,72h,inverted,bucket0_guard,-0.0246281559546861,0.0040718003768369,0.1079653195107813,False,True,True,False,FAIL
