factor_id,family,expected_direction,diagnostic_tier,recommended_research_use,direction_alignment,static_RankIC_1h,dynamic_RankIC_1h,rankic_same_sign_1h,dynamic_abs_rankic_1h,turnover_flag,coverage_flag,multi_horizon_consistency,primary_risk_flags,classification_reason
ema_12_26_gap,technical_indicators,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,-0.003519,-0.011089,True,0.011089,LOW_TURNOVER,PASS,MIXED_2H,DIRECTION_MISMATCH,direction misaligned both datasets |RankIC|=0.0111 multi-horizon=MIXED_2H
rsi_28h,technical_indicators,negative,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,-0.007113,-0.017538,True,0.017538,NORMAL_TURNOVER,PASS,MIXED_2H,NONE,direction aligned static+dynamic |RankIC|=0.0175 multi-horizon=MIXED_2H
rsi_7h,technical_indicators,negative,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,-0.019799,-0.023726,True,0.023726,NORMAL_TURNOVER,PASS,CONSISTENT_3H,NONE,direction aligned static+dynamic |RankIC|=0.0237 multi-horizon=CONSISTENT_3H
williams_r_14h,technical_indicators,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,0.018052,0.016476,True,0.016476,HIGH_TURNOVER,PASS,CONSISTENT_4H,HIGH_TURNOVER; DIRECTION_MISMATCH,direction misaligned both datasets |RankIC|=0.0165 turnover=0.354 multi-horizon=CONSISTENT_4H
downside_vol_20h,realized_skew_kurtosis,negative,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,-0.012126,-0.035079,True,0.035079,LOW_TURNOVER,PASS,CONSISTENT_4H,NONE,direction aligned static+dynamic |RankIC|=0.0351 multi-horizon=CONSISTENT_4H
vol_of_vol_20h,realized_skew_kurtosis,negative,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,-0.011946,-0.03404,True,0.03404,LOW_TURNOVER,PASS,CONSISTENT_4H,NONE,direction aligned static+dynamic |RankIC|=0.0340 multi-horizon=CONSISTENT_4H
mom_accel_20h,momentum,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,-0.017172,-0.022015,True,0.022015,HIGH_TURNOVER,PASS,CONSISTENT_4H,HIGH_TURNOVER; DIRECTION_MISMATCH,direction misaligned both datasets |RankIC|=0.0220 turnover=0.348 multi-horizon=CONSISTENT_4H
qvol_ma_ratio_5_20,quote_volume_liquidity,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,mixed_alignment,0.000589,-0.006197,False,0.006197,NORMAL_TURNOVER,PASS,UNSTABLE_0_1H,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,mixed direction alignment |RankIC|=0.0062 multi-horizon=UNSTABLE_0_1H
ma_gap_20_80,trend_ma,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,mixed_alignment,0.006839,-0.002609,False,0.002609,LOW_TURNOVER,PASS,UNSTABLE_0_1H,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,mixed direction alignment |RankIC|=0.0026 multi-horizon=UNSTABLE_0_1H
