variant_id,signal_id,horizon,guard_variant,turnover_mean,turnover_median,turnover_p95,turnover_max,n_rebalance_timestamps,convention
signal_v0_core_only__1h__original_bucket0_guard,signal_v0_core_only,1h,original_bucket0_guard,0.27910296032334964,0.2857142857142857,0.5,0.9,17519,one_way
signal_v0_pm_full_structured__1h__original_bucket0_guard,signal_v0_pm_full_structured,1h,original_bucket0_guard,0.27629825033501043,0.2857142857142857,0.5,0.8571428571428572,17519,one_way
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,1h,original_bucket0_guard,0.32523763315475174,0.30000000000000004,0.5714285714285714,0.9,17519,one_way
signal_v0_core_only__4h__original_bucket0_guard,signal_v0_core_only,4h,original_bucket0_guard,0.4731353103013299,0.5,0.7,0.9285714285714286,4379,one_way
signal_v0_pm_full_structured__4h__original_bucket0_guard,signal_v0_pm_full_structured,4h,original_bucket0_guard,0.47122576365554214,0.5,0.7,0.9166666666666667,4379,one_way
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,4h,original_bucket0_guard,0.5195505605759089,0.5,0.75,1.0,4379,one_way
signal_v0_core_only__1h__original_no_guard,signal_v0_core_only,1h,original_no_guard,0.1869942565758537,0.1875,0.3571428571428571,0.7142857142857142,17519,one_way
signal_v0_pm_full_structured__1h__original_no_guard,signal_v0_pm_full_structured,1h,original_no_guard,0.18617059301601796,0.1875,0.3571428571428571,0.7857142857142857,17519,one_way
signal_v0_family_balanced_diagnostic__1h__original_no_guard,signal_v0_family_balanced_diagnostic,1h,original_no_guard,0.21967527093033687,0.2,0.41666666666666663,0.75,17519,one_way
