factor_id,month,selected_rows,missing_rows,missing_rate
tech_atr,2024-08,37200,0,0.0
tech_atr,2024-09,36000,0,0.0
tech_atr,2024-10,37200,0,0.0
tech_atr,2024-11,36000,0,0.0
tech_atr,2024-12,37200,0,0.0
tech_atr,2025-01,37200,0,0.0
tech_atr,2025-02,33600,0,0.0
tech_atr,2025-03,37200,0,0.0
tech_atr,2025-04,36000,0,0.0
tech_atr,2025-05,37200,0,0.0
tech_atr,2025-06,36000,0,0.0
tech_atr,2025-07,37200,0,0.0
tech_atr,2025-08,37200,0,0.0
tech_atr,2025-09,36000,0,0.0
tech_atr,2025-10,37200,0,0.0
tech_atr,2025-11,36000,0,0.0
tech_atr,2025-12,37200,0,0.0
tech_atr,2026-01,37200,0,0.0
tech_atr,2026-02,33600,0,0.0
tech_atr,2026-03,37200,0,0.0
tech_atr,2026-04,36000,0,0.0
tech_atr,2026-05,37200,0,0.0
tech_atr,2026-06,14450,0,0.0
tech_macd,2024-06,35950,0,0.0
tech_macd,2024-07,37200,0,0.0
tech_macd,2024-08,37200,0,0.0
tech_macd,2024-09,36000,0,0.0
tech_macd,2024-10,37200,0,0.0
tech_macd,2024-11,36000,0,0.0
tech_macd,2024-12,37200,0,0.0
tech_macd,2025-01,37200,0,0.0
tech_macd,2025-02,33600,0,0.0
tech_macd,2025-03,37200,0,0.0
tech_macd,2025-04,36000,0,0.0
tech_macd,2025-05,37200,0,0.0
tech_macd,2025-06,36000,0,0.0
tech_macd,2025-07,37200,0,0.0
tech_macd,2025-08,37200,0,0.0
tech_macd,2025-09,36000,0,0.0
tech_macd,2025-10,37200,0,0.0
tech_macd,2025-11,36000,0,0.0
tech_macd,2025-12,37200,0,0.0
tech_macd,2026-01,37200,0,0.0
tech_macd,2026-02,33600,0,0.0
tech_macd,2026-03,37200,0,0.0
tech_macd,2026-04,36000,0,0.0
tech_macd,2026-05,37200,0,0.0
tech_macd,2026-06,14450,0,0.0
volatility_20h,2024-06,35950,1000,0.027816
volatility_20h,2024-07,37200,0,0.0
volatility_20h,2024-08,37200,0,0.0
volatility_20h,2024-09,36000,0,0.0
volatility_20h,2024-10,37200,0,0.0
volatility_20h,2024-11,36000,0,0.0
volatility_20h,2024-12,37200,0,0.0
volatility_20h,2025-01,37200,0,0.0
volatility_20h,2025-02,33600,0,0.0
volatility_20h,2025-03,37200,0,0.0
volatility_20h,2025-04,36000,0,0.0
volatility_20h,2025-05,37200,0,0.0
volatility_20h,2025-06,36000,0,0.0
volatility_20h,2025-07,37200,0,0.0
volatility_20h,2025-08,37200,0,0.0
volatility_20h,2025-09,36000,0,0.0
volatility_20h,2025-10,37200,0,0.0
volatility_20h,2025-11,36000,0,0.0
volatility_20h,2025-12,37200,0,0.0
volatility_20h,2026-01,37200,0,0.0
volatility_20h,2026-02,33600,0,0.0
volatility_20h,2026-03,37200,0,0.0
volatility_20h,2026-04,36000,0,0.0
volatility_20h,2026-05,37200,0,0.0
volatility_20h,2026-06,14450,0,0.0
wq101_alpha101,2024-06,35950,0,0.0
wq101_alpha101,2024-07,37200,0,0.0
wq101_alpha101,2024-08,37200,0,0.0
wq101_alpha101,2024-09,36000,0,0.0
wq101_alpha101,2024-10,37200,0,0.0
wq101_alpha101,2024-11,36000,0,0.0
wq101_alpha101,2024-12,37200,0,0.0
wq101_alpha101,2025-01,37200,0,0.0
wq101_alpha101,2025-02,33600,0,0.0
wq101_alpha101,2025-03,37200,0,0.0
wq101_alpha101,2025-04,36000,0,0.0
wq101_alpha101,2025-05,37200,0,0.0
wq101_alpha101,2025-06,36000,0,0.0
wq101_alpha101,2025-07,37200,0,0.0
wq101_alpha101,2025-08,37200,0,0.0
wq101_alpha101,2025-09,36000,0,0.0
wq101_alpha101,2025-10,37200,0,0.0
wq101_alpha101,2025-11,36000,0,0.0
wq101_alpha101,2025-12,37200,0,0.0
wq101_alpha101,2026-01,37200,0,0.0
wq101_alpha101,2026-02,33600,0,0.0
wq101_alpha101,2026-03,37200,0,0.0
wq101_alpha101,2026-04,36000,0,0.0
wq101_alpha101,2026-05,37200,0,0.0
wq101_alpha101,2026-06,14450,0,0.0
wq101_alpha12,2024-06,35950,50,0.001391
wq101_alpha12,2024-07,37200,0,0.0
wq101_alpha12,2024-08,37200,0,0.0
wq101_alpha12,2024-09,36000,0,0.0
wq101_alpha12,2024-10,37200,0,0.0
wq101_alpha12,2024-11,36000,0,0.0
wq101_alpha12,2024-12,37200,0,0.0
wq101_alpha12,2025-01,37200,0,0.0
wq101_alpha12,2025-02,33600,0,0.0
wq101_alpha12,2025-03,37200,0,0.0
wq101_alpha12,2025-04,36000,0,0.0
wq101_alpha12,2025-05,37200,0,0.0
wq101_alpha12,2025-06,36000,0,0.0
wq101_alpha12,2025-07,37200,0,0.0
wq101_alpha12,2025-08,37200,0,0.0
wq101_alpha12,2025-09,36000,0,0.0
wq101_alpha12,2025-10,37200,0,0.0
wq101_alpha12,2025-11,36000,0,0.0
wq101_alpha12,2025-12,37200,0,0.0
wq101_alpha12,2026-01,37200,0,0.0
wq101_alpha12,2026-02,33600,0,0.0
wq101_alpha12,2026-03,37200,0,0.0
wq101_alpha12,2026-04,36000,0,0.0
wq101_alpha12,2026-05,37200,0,0.0
wq101_alpha12,2026-06,14450,0,0.0
wq101_alpha53,2024-06,35950,450,0.012517
wq101_alpha53,2024-07,37200,0,0.0
wq101_alpha53,2024-08,37200,0,0.0
wq101_alpha53,2024-09,36000,0,0.0
wq101_alpha53,2024-10,37200,0,0.0
wq101_alpha53,2024-11,36000,0,0.0
wq101_alpha53,2024-12,37200,0,0.0
wq101_alpha53,2025-01,37200,0,0.0
wq101_alpha53,2025-02,33600,0,0.0
wq101_alpha53,2025-03,37200,0,0.0
wq101_alpha53,2025-04,36000,0,0.0
wq101_alpha53,2025-05,37200,0,0.0
wq101_alpha53,2025-06,36000,0,0.0
wq101_alpha53,2025-07,37200,0,0.0
wq101_alpha53,2025-08,37200,0,0.0
wq101_alpha53,2025-09,36000,0,0.0
wq101_alpha53,2025-10,37200,0,0.0
wq101_alpha53,2025-11,36000,0,0.0
wq101_alpha53,2025-12,37200,0,0.0
wq101_alpha53,2026-01,37200,0,0.0
wq101_alpha53,2026-02,33600,0,0.0
wq101_alpha53,2026-03,37200,0,0.0
wq101_alpha53,2026-04,36000,0,0.0
wq101_alpha53,2026-05,37200,0,0.0
wq101_alpha53,2026-06,14450,0,0.0
