check_name,status
liquidity_panel_built,PASS
liquidity_panel_nonempty,PASS
symbol_coverage_above_70pct,PASS
timestamp_overlap_with_signal_panel,PASS
no_duplicate_timestamp_symbol,PASS
capacity_computed,PASS
cost_capacity_matrix_built,PASS
participation_rates_complete,PASS
notional_assumptions_complete,PASS
no_final_model,PASS
no_phase12,PASS
no_phase13,PASS
