factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,delta_RankIC,rankic_same_sign,static_IC_mean,dynamic_IC_mean,delta_IC,stability_bucket
vol_40h,volatility,ret_fwd_72h,negative,-0.0096056751384588,-0.1215305674553758,0.11192489,True,0.0547385561035656,-0.0647684013272377,0.11950696,DYNAMIC_ONLY
vol_ratio_5_20,volatility,ret_fwd_1h,conditional,-0.0039283188372882,-0.0064046170528635,0.0024763,True,-0.0002909416665318,-0.0053464316925436,0.00505549,WEAK_BOTH
vol_ratio_5_20,volatility,ret_fwd_4h,conditional,-0.0022070069309639,-0.0040015412736166,0.00179453,True,0.0009759600160671,-0.005374845653945,0.00635081,WEAK_BOTH
vol_ratio_5_20,volatility,ret_fwd_24h,conditional,0.0037692401488528,-0.0044343036514208,0.00820354,False,0.0102994844534414,-0.0055850424575259,0.01588453,SIGN_FLIP
vol_ratio_5_20,volatility,ret_fwd_72h,conditional,0.006323274563723,-0.0029538927817703,0.00927717,False,0.0042674385974468,-0.0040369245043073,0.00830436,SIGN_FLIP
range_1h,range_position,ret_fwd_1h,conditional,-0.0160947517975154,-0.0412547604368507,0.02516001,True,0.0065109748119915,-0.0194257847535785,0.02593676,STABLE_NEGATIVE
range_1h,range_position,ret_fwd_4h,conditional,-0.0234370979709024,-0.0588866375053821,0.03544954,True,0.0112414082970992,-0.0301906531281798,0.04143206,STABLE_NEGATIVE
range_1h,range_position,ret_fwd_24h,conditional,-0.0172224319069178,-0.0901439159797635,0.07292148,True,0.0275781191785082,-0.0438417120147406,0.07141983,STABLE_NEGATIVE
range_1h,range_position,ret_fwd_72h,conditional,-0.0085911062517275,-0.1117410741248051,0.10314997,True,0.0564369556233218,-0.0569385260024358,0.11337548,DYNAMIC_ONLY
range_4h,range_position,ret_fwd_1h,conditional,-0.0161097112231219,-0.0405979536397422,0.02448824,True,0.0056427139077268,-0.0174832080261312,0.02312592,STABLE_NEGATIVE
range_4h,range_position,ret_fwd_4h,conditional,-0.0227961497372626,-0.0583048874324026,0.03550874,True,0.0097945773884624,-0.0291913049078004,0.03898588,STABLE_NEGATIVE
range_4h,range_position,ret_fwd_24h,conditional,-0.0172211442020154,-0.0904013864397245,0.07318024,True,0.0269330815540675,-0.0443242436194079,0.07125733,STABLE_NEGATIVE
range_4h,range_position,ret_fwd_72h,conditional,-0.0076666542479473,-0.1114301167748882,0.10376346,True,0.0563792064405334,-0.0575606689074945,0.11393988,DYNAMIC_ONLY
range_24h,range_position,ret_fwd_1h,conditional,-0.0139527872065644,-0.037090732780936,0.02313795,True,0.0056459807930409,-0.0149111254887096,0.02055711,STABLE_NEGATIVE
range_24h,range_position,ret_fwd_4h,conditional,-0.0182465894319534,-0.0536579983195155,0.03541141,True,0.015801382795855,-0.0248119367253642,0.04061332,STABLE_NEGATIVE
range_24h,range_position,ret_fwd_24h,conditional,-0.0175642096308012,-0.0883442505031427,0.07078004,True,0.0297267231885106,-0.0403951319644685,0.07012186,STABLE_NEGATIVE
range_24h,range_position,ret_fwd_72h,conditional,-0.0129798148530844,-0.1124548165352872,0.099475,True,0.0567135657152031,-0.0556620765995503,0.11237564,STABLE_NEGATIVE
price_pos_24h,price_position,ret_fwd_1h,conditional,-0.015548051123665,-0.0153370615498985,-0.00021099,True,0.0032182209454446,-0.0020695538643602,0.00528777,STABLE_NEGATIVE
price_pos_24h,price_position,ret_fwd_4h,conditional,-0.0161835256962063,-0.0147827820974942,-0.00140074,True,0.0034408566200122,-0.0019588890478844,0.00539975,STABLE_NEGATIVE
price_pos_24h,price_position,ret_fwd_24h,conditional,-0.0030305509781287,-0.0031540605585782,0.00012351,True,0.012333206529931,0.001999962631057,0.01033324,WEAK_BOTH
price_pos_24h,price_position,ret_fwd_72h,conditional,0.0112693163086145,0.0071243377614452,0.00414498,True,0.0082260579041474,0.0062379736637378,0.00198808,STATIC_ONLY
price_pos_72h,price_position,ret_fwd_1h,conditional,-0.0038974721676992,-0.0092881575801829,0.00539069,True,0.0095722648677576,0.0002461514174426,0.00932611,WEAK_BOTH
price_pos_72h,price_position,ret_fwd_4h,conditional,-0.0039654519281292,-0.0111495167705009,0.00718406,True,0.0129019194864646,-0.0012654333034241,0.01416735,DYNAMIC_ONLY
price_pos_72h,price_position,ret_fwd_24h,conditional,0.0063409403366257,-0.0058679127729892,0.01220885,False,0.0235963420149996,-0.0021246312834139,0.02572097,SIGN_FLIP
price_pos_72h,price_position,ret_fwd_72h,conditional,0.0276973500034835,0.0079165098052583,0.01978084,True,0.0316137771769296,0.0071537789430508,0.02446,STATIC_ONLY
vol_zscore_20h,volume_liquidity,ret_fwd_1h,positive,0.0029009828919804,-0.0047526297032684,0.00765361,False,0.0068458952481555,-0.0060485552325535,0.01289445,SIGN_FLIP
vol_zscore_20h,volume_liquidity,ret_fwd_4h,positive,-0.0029463693361281,-0.0066110690146157,0.0036647,True,0.00374821325724,-0.0109840912146161,0.0147323,WEAK_BOTH
vol_zscore_20h,volume_liquidity,ret_fwd_24h,positive,-0.0048729640476874,-0.0020986751838737,-0.00277429,True,0.0114684034141255,-0.0081467148484671,0.01961512,WEAK_BOTH
vol_zscore_20h,volume_liquidity,ret_fwd_72h,positive,-0.0012186120675359,0.0007381998466417,-0.00195681,False,0.0075884935910338,-0.0052693341315246,0.01285783,SIGN_FLIP
vol_zscore_48h,volume_liquidity,ret_fwd_1h,positive,0.0019289680607826,-0.0054329347012402,0.0073619,False,0.008214881372478,-0.0069516209159158,0.0151665,SIGN_FLIP
