factor_1,factor_2,family_1,family_2,same_family,spearman_corr,abs_corr
funding_rate_change_24h,funding_rate_level_20h,funding_rate,funding_rate,True,0.05269715268197543,0.05269715268197543
funding_rate_change_24h,funding_rate_zscore_80h,funding_rate,funding_rate,True,0.6677150775343116,0.6677150775343116
funding_rate_change_24h,taker_buy_delta_5h,funding_rate,taker_imbalance,False,-0.002142788494574665,0.002142788494574665
funding_rate_change_24h,taker_buy_ratio_20h,funding_rate,taker_imbalance,False,0.05303475578287861,0.05303475578287861
funding_rate_change_24h,taker_buy_zscore_20h,funding_rate,taker_imbalance,False,-0.0028995490890041694,0.0028995490890041694
funding_rate_level_20h,funding_rate_zscore_80h,funding_rate,funding_rate,True,0.09079812246299722,0.09079812246299722
funding_rate_level_20h,taker_buy_delta_5h,funding_rate,taker_imbalance,False,-0.0023243793322723864,0.0023243793322723864
funding_rate_level_20h,taker_buy_ratio_20h,funding_rate,taker_imbalance,False,-0.0708953701921246,0.0708953701921246
funding_rate_level_20h,taker_buy_zscore_20h,funding_rate,taker_imbalance,False,-0.008051098130259213,0.008051098130259213
funding_rate_zscore_80h,taker_buy_delta_5h,funding_rate,taker_imbalance,False,-0.004587196939533681,0.004587196939533681
funding_rate_zscore_80h,taker_buy_ratio_20h,funding_rate,taker_imbalance,False,0.09084635974191908,0.09084635974191908
funding_rate_zscore_80h,taker_buy_zscore_20h,funding_rate,taker_imbalance,False,-0.007682260777639554,0.007682260777639554
taker_buy_delta_5h,taker_buy_ratio_20h,taker_imbalance,taker_imbalance,True,-0.008087126793888066,0.008087126793888066
taker_buy_delta_5h,taker_buy_zscore_20h,taker_imbalance,taker_imbalance,True,0.6940990374559755,0.6940990374559755
taker_buy_ratio_20h,taker_buy_zscore_20h,taker_imbalance,taker_imbalance,True,-0.009028317544546907,0.009028317544546907
