family,n_factors,tier_distribution,review_flags,notes
funding_rate,3,TIER_3_WEAK_DIAGNOSTIC;TIER_4_UNSTABLE_OR_SIGN_FLIP,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT;STATIC_DYNAMIC_SIGN_MISMATCH;WEAK_SIGNAL,diagnostic-only
taker_imbalance,3,TIER_2_PROMISING_BUT_NEEDS_REVIEW;TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,diagnostic-only
