factor_id,family,dataset_id,rows,n_symbols,timestamp_min,timestamp_max,coverage,missing_rate,gate,notes
taker_buy_ratio_20h,taker_imbalance,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.753791,0.246209,PASS,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R can"
taker_buy_zscore_20h,taker_imbalance,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.753791,0.246209,PASS,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical"
taker_buy_delta_5h,taker_imbalance,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.757046,0.242954,PASS,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R c"
funding_rate_level_20h,funding_rate,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.738325,0.261675,PASS,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requir"
funding_rate_zscore_80h,funding_rate,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.6641,0.3359,PASS,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,crypto_top50_usdt_perp_1h_crypto_native_v1,215061,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,0.737419,0.262581,PASS,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Re"
