factor_id,symbol,selected_rows,missing_rows,missing_rate
bb_zscore_20h,UMAUSDT,719,19,0.026426
bb_zscore_20h,EDUUSDT,719,19,0.026426
bb_zscore_20h,JTOUSDT,719,19,0.026426
bb_zscore_20h,ARUSDT,719,19,0.026426
bb_zscore_20h,REZUSDT,1439,19,0.013204
bb_zscore_20h,PYTHUSDT,1439,19,0.013204
bb_zscore_20h,AEVOUSDT,1463,19,0.012987
bb_zscore_20h,WUSDT,1463,19,0.012987
bb_zscore_20h,BBUSDT,1463,19,0.012987
bb_zscore_20h,ETHFIUSDT,2927,19,0.006491
bb_zscore_20h,JASMYUSDT,2927,19,0.006491
bb_zscore_20h,GALAUSDT,3599,19,0.005279
bb_zscore_20h,LDOUSDT,3671,19,0.005176
bb_zscore_20h,ENSUSDT,3695,19,0.005142
bb_zscore_20h,NOTUSDT,4391,19,0.004327
bb_zscore_20h,TONUSDT,4680,19,0.00406
bb_zscore_20h,BOMEUSDT,5135,19,0.0037
bb_zscore_20h,TRBUSDT,5135,19,0.0037
bb_zscore_20h,1000SATSUSDT,5135,19,0.0037
bb_zscore_20h,1000FLOKIUSDT,5135,19,0.0037
bb_zscore_20h,ETCUSDT,5159,19,0.003683
bb_zscore_20h,PEOPLEUSDT,5855,19,0.003245
bb_zscore_20h,OPUSDT,7343,19,0.002587
bb_zscore_20h,FETUSDT,8063,19,0.002356
bb_zscore_20h,ORDIUSDT,8087,19,0.002349
bb_zscore_20h,ARBUSDT,8831,19,0.002152
bb_zscore_20h,ONDOUSDT,9048,19,0.0021
bb_zscore_20h,TIAUSDT,9479,19,0.002004
bb_zscore_20h,1000SHIBUSDT,10943,19,0.001736
bb_zscore_20h,1000BONKUSDT,11615,19,0.001636
bb_zscore_20h,UNIUSDT,12648,19,0.001502
bb_zscore_20h,BCHUSDT,14904,19,0.001275
bb_zscore_20h,FILUSDT,15624,19,0.001216
bb_zscore_20h,WIFUSDT,16031,19,0.001185
bb_zscore_20h,DOTUSDT,16344,19,0.001163
bb_zscore_20h,SUIUSDT,17064,19,0.001113
bb_zscore_20h,LTCUSDT,17064,19,0.001113
bb_zscore_20h,WLDUSDT,17064,19,0.001113
bb_zscore_20h,NEARUSDT,17136,19,0.001109
bb_zscore_20h,BNBUSDT,17808,19,0.001067
bb_zscore_20h,AVAXUSDT,17808,19,0.001067
bb_zscore_20h,BTCUSDT,17808,19,0.001067
bb_zscore_20h,ENAUSDT,17808,19,0.001067
bb_zscore_20h,LINKUSDT,17808,19,0.001067
bb_zscore_20h,XRPUSDT,17808,19,0.001067
bb_zscore_20h,SOLUSDT,17808,19,0.001067
bb_zscore_20h,ETHUSDT,17808,19,0.001067
bb_zscore_20h,ADAUSDT,17808,19,0.001067
bb_zscore_20h,1000PEPEUSDT,17808,19,0.001067
bb_zscore_20h,DOGEUSDT,17808,19,0.001067
bb_zscore_20h,PROVEUSDT,720,0,0.0
bb_zscore_20h,PROMPTUSDT,744,0,0.0
bb_zscore_20h,POWERUSDT,2208,0,0.0
bb_zscore_20h,MONUSDT,1488,0,0.0
bb_zscore_20h,PUMPBTCUSDT,744,0,0.0
bb_zscore_20h,PUMPUSDT,6552,0,0.0
bb_zscore_20h,RAREUSDT,2928,0,0.0
bb_zscore_20h,REDUSDT,1464,0,0.0
bb_zscore_20h,MMTUSDT,744,0,0.0
bb_zscore_20h,RESOLVUSDT,1488,0,0.0
bb_zscore_20h,MEWUSDT,2184,0,0.0
bb_zscore_20h,MEUSDT,744,0,0.0
bb_zscore_20h,RAVEUSDT,1488,0,0.0
bb_zscore_20h,NILUSDT,289,0,0.0
bb_zscore_20h,NMRUSDT,1464,0,0.0
bb_zscore_20h,NOMUSDT,744,0,0.0
bb_zscore_20h,NIGHTUSDT,744,0,0.0
bb_zscore_20h,NXPCUSDT,1464,0,0.0
bb_zscore_20h,NEIROUSDT,7296,0,0.0
bb_zscore_20h,MYXUSDT,1464,0,0.0
bb_zscore_20h,ONTUSDT,720,0,0.0
bb_zscore_20h,MUSDT,1488,0,0.0
bb_zscore_20h,OPENUSDT,744,0,0.0
bb_zscore_20h,OPNUSDT,720,0,0.0
bb_zscore_20h,ORCAUSDT,2208,0,0.0
bb_zscore_20h,MOODENGUSDT,4416,0,0.0
bb_zscore_20h,PAXGUSDT,5377,0,0.0
bb_zscore_20h,MUBARAKUSDT,2184,0,0.0
bb_zscore_20h,PENDLEUSDT,1464,0,0.0
bb_zscore_20h,PENGUUSDT,8257,0,0.0
bb_zscore_20h,MOVEUSDT,2136,0,0.0
bb_zscore_20h,PHAUSDT,720,0,0.0
bb_zscore_20h,PIEVERSEUSDT,2232,0,0.0
bb_zscore_20h,PIPPINUSDT,4368,0,0.0
bb_zscore_20h,PIXELUSDT,720,0,0.0
bb_zscore_20h,PLAYUSDT,289,0,0.0
bb_zscore_20h,PNUTUSDT,6576,0,0.0
bb_zscore_20h,POPCATUSDT,4368,0,0.0
bb_zscore_20h,RIVERUSDT,3624,0,0.0
bb_zscore_20h,ZKUSDT,2232,0,0.0
bb_zscore_20h,ZORAUSDT,720,0,0.0
bb_zscore_20h,TRUMPUSDT,10513,0,0.0
bb_zscore_20h,4USDT,720,0,0.0
bb_zscore_20h,AAVEUSDT,15601,0,0.0
bb_zscore_20h,ACHUSDT,744,0,0.0
bb_zscore_20h,ACTUSDT,3648,0,0.0
bb_zscore_20h,AERGOUSDT,744,0,0.0
bb_zscore_20h,AIGENSYNUSDT,289,0,0.0
bb_zscore_20h,AIOTUSDT,744,0,0.0
bb_zscore_20h,AIXBTUSDT,672,0,0.0
bb_zscore_20h,ALCHUSDT,1464,0,0.0
bb_zscore_20h,ALGOUSDT,744,0,0.0
bb_zscore_20h,TURBOUSDT,4440,0,0.0
bb_zscore_20h,ALPINEUSDT,744,0,0.0
bb_zscore_20h,ANIMEUSDT,744,0,0.0
bb_zscore_20h,APEUSDT,2208,0,0.0
bb_zscore_20h,API3USDT,1440,0,0.0
bb_zscore_20h,APTUSDT,5136,0,0.0
bb_zscore_20h,ARCUSDT,2208,0,0.0
bb_zscore_20h,ARIAUSDT,744,0,0.0
bb_zscore_20h,ARKUSDT,720,0,0.0
bb_zscore_20h,ASTERUSDT,5377,0,0.0
bb_zscore_20h,ATUSDT,744,0,0.0
bb_zscore_20h,AUCTIONUSDT,720,0,0.0
bb_zscore_20h,AVNTUSDT,1464,0,0.0
bb_zscore_20h,AXSUSDT,1416,0,0.0
bb_zscore_20h,AZTECUSDT,744,0,0.0
bb_zscore_20h,ALLOUSDT,289,0,0.0
bb_zscore_20h,ROBOUSDT,720,0,0.0
bb_zscore_20h,RUNEUSDT,1416,0,0.0
bb_zscore_20h,RVNUSDT,744,0,0.0
bb_zscore_20h,SAGAUSDT,3217,0,0.0
bb_zscore_20h,SAHARAUSDT,2208,0,0.0
bb_zscore_20h,SANDUSDT,1488,0,0.0
bb_zscore_20h,TRUSTUSDT,744,0,0.0
