factor_id,family,rows,coverage,missing_rate,gate
ema_12_26_gap,technical_indicators,215061,100.0,0.0,PASS
rsi_28h,technical_indicators,215061,99.349,0.651,PASS
rsi_7h,technical_indicators,215061,99.837,0.163,PASS
williams_r_14h,technical_indicators,215061,99.698,0.302,PASS
downside_vol_20h,realized_skew_kurtosis,215061,99.535,0.465,PASS
vol_of_vol_20h,realized_skew_kurtosis,215061,99.442,0.558,PASS
mom_accel_20h,momentum,215061,99.419,0.581,PASS
qvol_ma_ratio_5_20,quote_volume_liquidity,215061,99.558,0.442,PASS
ma_gap_20_80,trend_ma,215061,98.163,1.837,PASS
