dataset_variant,source_taker_bars_path,source_funding_aligned_path,combined_bars_path,source_rows,combined_rows,row_count_match,n_symbols,timestamp_min,timestamp_max,has_taker_buy_quote_volume,taker_buy_quote_volume_coverage,has_funding_rate,funding_rate_coverage,schema_status,notes
static,/root/clawd/jerry/momentum/data/cache/crypto_top50_usdt_perp_1h_taker_enriched/bars_1h.parquet,/root/clawd/jerry/momentum/data/cache/crypto_funding_rate_1h_contract_v1/funding_rate_1h_aligned_static.parquet,/root/clawd/jerry/momentum/data/cache/crypto_top50_usdt_perp_1h_crypto_native_v1/bars_1h.parquet,215061,215061,True,50,2025-12-15 09:00:00+00:00,2026-06-13 08:00:00+00:00,True,0.758208,True,0.742919,PASS,Combined: taker 75.8% + funding 74.3%
dynamic,/root/clawd/jerry/momentum/data/cache/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_taker_enriched/bars_1h.parquet,/root/clawd/jerry/momentum/data/cache/crypto_funding_rate_1h_contract_v1/funding_rate_1h_aligned_dynamic.parquet,/root/clawd/jerry/momentum/data/cache/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1/bars_1h.parquet,3316259,3316259,True,266,2024-06-01 01:00:00+00:00,2026-06-13 00:00:00+00:00,True,0.917268,True,0.880263,PASS,Combined: taker 91.7% + funding 88.0%
