factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_klen_open,alpha158_kbar,conditional,1h,-0.03741554,-0.03741554,0.20537318,0.20537318,-0.182183,-0.182183,-0.182183,-24.3097,0.419,0.419,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,open|high|low,1,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,8.923e-05,-1.719e-05,0.00010642,2.2155,0.5041,0.00028947,0.98523431,0.00100274,-0.00122495,0.68,25,per_bar_mean_x_bars_per_year
q158_klen_open,alpha158_kbar,conditional,4h,-0.05314157,-0.05314157,0.20116296,0.20116296,-0.264172,-0.264172,-0.264172,-35.2479,0.384,0.384,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,open|high|low,1,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,0.00030015,-7.656e-05,0.00037671,4.0338,0.5007,0.00109501,0.85871295,0.00379323,-0.0045898,0.72,25,per_bar_mean_x_bars_per_year
q158_klen_open,alpha158_kbar,conditional,24h,-0.08076809,-0.08076809,0.19990446,0.19990446,-0.404033,-0.404033,-0.404033,-53.879,0.3254,0.3254,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,open|high|low,1,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,0.00157388,-0.00026109,0.00183497,7.6641,0.484,0.00571127,0.70520335,0.01978443,-0.0219908,0.6,25,per_bar_mean_x_bars_per_year
q158_klen_open,alpha158_kbar,conditional,72h,-0.09091469,-0.09091469,0.19440028,0.19440028,-0.467667,-0.467667,-0.467667,-62.2806,0.3063,0.3063,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,open|high|low,1,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,0.00431776,-0.00093055,0.00524831,11.77,0.493,0.01776481,0.67041229,0.06153912,-0.05647865,0.64,25,per_bar_mean_x_bars_per_year
q158_kup_open,alpha158_kbar,negative,1h,-0.01175742,0.01175742,0.15471752,0.15471752,-0.075993,0.075993,-0.075993,-10.1401,0.4635,0.5365,17805,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",open|high|close,1,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",-0.00010345,0.00014335,-0.00024679,-6.4137,0.4843,0.00030735,-2.20426294,0.00106468,-0.00596878,0.24,25,per_bar_mean_x_bars_per_year
q158_kup_open,alpha158_kbar,negative,4h,-0.02620998,0.02620998,0.1511804,0.1511804,-0.173369,0.173369,-0.173369,-23.1322,0.4204,0.5796,17803,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",open|high|close,1,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",-0.00017138,0.00029505,-0.00046644,-6.0778,0.4948,0.00077508,-1.01788222,0.00268495,-0.01222433,0.32,25,per_bar_mean_x_bars_per_year
q158_kup_open,alpha158_kbar,negative,24h,-0.04897581,0.04897581,0.15205013,0.15205013,-0.322103,0.322103,-0.322103,-42.9534,0.3594,0.6406,17783,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",open|high|close,1,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",-0.00030827,0.00126858,-0.00157684,-7.9352,0.5095,0.00401415,-0.61862442,0.01390541,-0.05115161,0.4,25,per_bar_mean_x_bars_per_year
q158_kup_open,alpha158_kbar,negative,72h,-0.05649645,0.05649645,0.14748114,0.14748114,-0.383076,0.383076,-0.383076,-51.0153,0.335,0.665,17735,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",open|high|close,1,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",-0.00060347,0.00371307,-0.00431654,-11.2563,0.5047,0.01227713,-0.56420448,0.04252921,-0.13610726,0.36,25,per_bar_mean_x_bars_per_year
q158_klow_open,alpha158_kbar,positive,1h,-0.02763004,-0.02763004,0.15208762,0.15208762,-0.181672,-0.181672,-0.181672,-24.2414,0.422,0.422,17805,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",open|low|close,1,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",-1.4e-05,3.128e-05,-4.528e-05,-1.1838,0.4849,0.00017646,-0.42516194,0.00061128,-0.00141019,0.32,25,per_bar_mean_x_bars_per_year
q158_klow_open,alpha158_kbar,positive,4h,-0.03278308,-0.03278308,0.14970092,0.14970092,-0.218991,-0.218991,-0.218991,-29.2194,0.4062,0.4062,17803,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",open|low|close,1,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",0.00011058,1.239e-05,9.818e-05,1.299,0.4881,0.00063989,0.22023594,0.00221665,-0.00343666,0.6,25,per_bar_mean_x_bars_per_year
q158_klow_open,alpha158_kbar,positive,24h,-0.04701037,-0.04701037,0.15005138,0.15005138,-0.313295,-0.313295,-0.313295,-41.7788,0.3606,0.3606,17783,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",open|low|close,1,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",0.00099317,-0.0001019,0.00109507,5.5992,0.4823,0.00366396,0.41397579,0.01269232,-0.01403787,0.6,25,per_bar_mean_x_bars_per_year
