factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
q158_high_close_0h,alpha158_price,conditional,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block,high|close,1,EXISTS,3316259,0.0,72h,-0.06067135,-0.373884,72h,0.00403451,10.1727,0.5059,UNSTABLE (1/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"q158_ksft_range (|ρ|=0.743, MODERATE_REDUNDANCY); q158_ksft_open (|ρ|=0.721, MODERATE_REDUNDANCY); range_1h (|ρ|=0.616, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
q158_low_close_0h,alpha158_price,conditional,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block,low|close,1,EXISTS,3316259,0.0,72h,0.06283117,0.402975,72h,-0.00395687,-10.1663,0.6739,STABLE (24/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"q158_ksft_range (|ρ|=0.728, MODERATE_REDUNDANCY); q158_ksft_open (|ρ|=0.688, LOW_REDUNDANCY); q158_min_20h (|ρ|=0.622, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
q158_open_close_1h,alpha158_price,conditional,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block",open|close,2,EXISTS,3315993,8e-05,1h,0.03611963,0.223778,72h,-0.00198281,-5.4823,0.6019,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,NEAR_DUPLICATE,"rev_2h (|ρ|=0.996, NEAR_DUPLICATE); q158_high_close_1h (|ρ|=0.784, MODERATE_REDUNDANCY); q158_low_close_1h (|ρ|=0.784, MODERATE_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: NEAR_DUPLICATE. Consider dropping one factor.
q158_high_close_1h,alpha158_price,conditional,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block",high|close,2,EXISTS,3315993,8e-05,72h,-0.02993574,-0.191914,72h,0.00086956,2.3071,0.5541,UNSTABLE (2/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"rev_2h (|ρ|=0.816, MODERATE_REDUNDANCY); q158_open_close_1h (|ρ|=0.784, MODERATE_REDUNDANCY); rev_1h (|ρ|=0.771, MODERATE_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
q158_low_close_1h,alpha158_price,conditional,"Alpha158 LOW1: Ref(low,1) / close; previous low normalized by current close from Alpha158 price feature block",low|close,2,EXISTS,3315993,8e-05,1h,0.04776262,0.298978,72h,-0.00334292,-8.8711,0.6366,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"q158_open_close_1h (|ρ|=0.784, MODERATE_REDUNDANCY); rev_2h (|ρ|=0.783, MODERATE_REDUNDANCY); rev_1h (|ρ|=0.758, MODERATE_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
