factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_roc_20h,alpha158_rolling_price,conditional,1h,LONG_SHORT,Long-Short,-0.00010971,,,17787,DIRECTION_UNKNOWN,-2.787e-05,8.184e-05,-0.00010971,-2.6574,0.4935,0.00023567,-1.09766732,0.00081639,-0.0032792,0.32,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,4h,LONG_SHORT,Long-Short,-0.0004994,,,17784,DIRECTION_UNKNOWN,-0.0001672,0.0003322,-0.0004994,-6.0699,0.4867,0.00092299,-1.23083626,0.00319735,-0.01380316,0.28,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,24h,LONG_SHORT,Long-Short,-0.00117392,,,17764,DIRECTION_UNKNOWN,-0.00018308,0.00099084,-0.00117392,-5.6795,0.4879,0.00446476,-0.58336666,0.01546637,-0.03845488,0.44,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,72h,LONG_SHORT,Long-Short,-0.00460474,,,17716,DIRECTION_UNKNOWN,-0.00105943,0.00354531,-0.00460474,-12.1875,0.4769,0.01023285,-0.57355899,0.03544763,-0.11973818,0.36,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,1h,LONG_SHORT,Long-Short,-5.438e-05,,,17788,DIRECTION_UNKNOWN,6.88e-06,6.126e-05,-5.438e-05,-1.2835,0.5011,0.00019009,-0.51604778,0.00065848,-0.00173295,0.36,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,4h,LONG_SHORT,Long-Short,-0.00035134,,,17785,DIRECTION_UNKNOWN,-7.349e-05,0.00027785,-0.00035134,-4.1866,0.4927,0.00068228,-0.80082364,0.0023635,-0.00914071,0.28,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,24h,LONG_SHORT,Long-Short,-0.00119258,,,17765,DIRECTION_UNKNOWN,-0.0001711,0.00102147,-0.00119258,-5.7684,0.4923,0.00372365,-0.5642591,0.0128991,-0.03685541,0.32,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,72h,LONG_SHORT,Long-Short,-0.00418317,,,17717,DIRECTION_UNKNOWN,-0.00086024,0.00332294,-0.00418317,-11.1272,0.4746,0.00887401,-0.52381367,0.03074049,-0.10574498,0.36,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,1h,LONG_SHORT,Long-Short,-7.236e-05,,,17788,COMPUTED,-1.531e-05,5.705e-05,-7.236e-05,-1.6484,0.5011,0.00028799,-0.69971061,0.00099761,-0.00349308,0.48,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,4h,LONG_SHORT,Long-Short,-0.00027837,,,17785,COMPUTED,-6.408e-05,0.00021429,-0.00027837,-3.1674,0.501,0.00107348,-0.66571568,0.00371864,-0.0131082,0.4,25,per_bar_mean_x_bars_per_year
