factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_median,long_short_spread_t_stat,long_short_win_rate,top_bucket_top1pct_abs_share,bottom_bucket_top1pct_abs_share,bucket_tail_diagnosis,after_funding_top_bucket_mean_return,after_funding_bottom_bucket_mean_return,after_funding_long_short_spread_mean,after_funding_long_short_spread_median,after_funding_long_short_spread_t_stat,after_funding_long_short_win_rate,after_funding_coverage_rate,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
volatility_20h,volatility,negative,72h,LONG_SHORT,Long-Short,-0.00529095,,,17716,COMPUTED,-0.00096568,0.00432527,-0.00529095,0.00128864,-11.6192,0.5106,0.050776,0.047444,MEAN_SPREAD_OUTLIER_DOMINATED,-0.00095021,0.00589885,-0.00684907,-0.00030515,-14.9318,0.4973,1.0,ROBUST_SPREAD_NEGATIVE,False,0.01856009,-0.70247649,0.06429403,-0.18700632,0.4,25,per_bar_mean_x_bars_per_year
rsi_14h,technical,negative,1h,LONG_SHORT,Long-Short,-7.912e-05,,,17793,COMPUTED,-1.539e-05,6.373e-05,-7.912e-05,-2.8e-06,-2.094,0.4996,0.070815,0.06507,ROBUST_SPREAD_NEGATIVE,-7.34e-06,8.4e-05,-9.134e-05,-1.385e-05,-2.4159,0.4985,1.0,ROBUST_SPREAD_NEGATIVE,False,0.0002194,-0.7420326,0.00076004,-0.0022254,0.28,25,per_bar_mean_x_bars_per_year
rsi_14h,technical,negative,4h,LONG_SHORT,Long-Short,-0.00039401,,,17790,COMPUTED,-0.00016169,0.00023232,-0.00039401,-0.00019224,-5.2114,0.4903,0.06779,0.062139,ROBUST_SPREAD_NEGATIVE,-0.00012821,0.00030994,-0.00043815,-0.00023248,-5.7903,0.4885,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00084026,-0.92984609,0.00291076,-0.01097409,0.28,25,per_bar_mean_x_bars_per_year
rsi_14h,technical,negative,24h,LONG_SHORT,Long-Short,-0.00177836,,,17770,COMPUTED,-0.00067882,0.00109953,-0.00177836,-0.00087393,-9.2251,0.4834,0.052402,0.055569,ROBUST_SPREAD_NEGATIVE,-0.00048202,0.00150394,-0.00198595,-0.00102218,-10.2651,0.4799,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00461314,-0.76414668,0.01598038,-0.0514794,0.4,25,per_bar_mean_x_bars_per_year
rsi_14h,technical,negative,72h,LONG_SHORT,Long-Short,-0.00572026,,,17722,COMPUTED,-0.0020751,0.00364516,-0.00572026,-0.00296022,-16.2301,0.4627,0.046935,0.052449,ROBUST_SPREAD_NEGATIVE,-0.00152452,0.00464773,-0.00617225,-0.00324339,-17.3629,0.4605,1.0,ROBUST_SPREAD_NEGATIVE,False,0.01061642,-0.70158325,0.03677637,-0.14412157,0.32,25,per_bar_mean_x_bars_per_year
bb_zscore_20h,technical,negative,1h,LONG_SHORT,Long-Short,-2.987e-05,,,17788,COMPUTED,1.344e-05,4.331e-05,-2.987e-05,5.202e-05,-0.82,0.5061,0.069781,0.066193,MEAN_SPREAD_OUTLIER_DOMINATED,2.13e-05,6.017e-05,-3.887e-05,4.515e-05,-1.0664,0.5051,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.00021817,-0.29500906,0.00075577,-0.00184596,0.32,25,per_bar_mean_x_bars_per_year
bb_zscore_20h,technical,negative,4h,LONG_SHORT,Long-Short,-0.00028289,,,17785,COMPUTED,-0.00011807,0.00016482,-0.00028289,-9.325e-05,-3.9148,0.4957,0.067219,0.062723,ROBUST_SPREAD_NEGATIVE,-8.425e-05,0.00022944,-0.00031368,-0.00011528,-4.3373,0.4937,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00068646,-0.65489417,0.00237796,-0.00833524,0.36,25,per_bar_mean_x_bars_per_year
bb_zscore_20h,technical,negative,24h,LONG_SHORT,Long-Short,-0.00142885,,,17765,COMPUTED,-0.0006371,0.00079175,-0.00142885,-0.00047699,-7.8793,0.4904,0.053095,0.05611,ROBUST_SPREAD_NEGATIVE,-0.00043855,0.00112824,-0.00156679,-0.00055171,-8.6049,0.4882,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00349281,-0.64845068,0.01209946,-0.04294962,0.36,25,per_bar_mean_x_bars_per_year
bb_zscore_20h,technical,negative,72h,LONG_SHORT,Long-Short,-0.00400635,,,17717,COMPUTED,-0.00141394,0.00259241,-0.00400635,-0.00180906,-11.7047,0.4769,0.047163,0.05213,ROBUST_SPREAD_NEGATIVE,-0.00086496,0.00342607,-0.00429103,-0.00193326,-12.4321,0.4755,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00766079,-0.53390072,0.02653774,-0.10739376,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha101,wq101,conditional,1h,LONG_SHORT,Long-Short,-8.689e-05,,,17807,DIRECTION_UNKNOWN,-3.969e-05,4.72e-05,-8.689e-05,-0.0001783,-2.7264,0.4805,0.068173,0.068547,ROBUST_SPREAD_NEGATIVE,-2.523e-05,5.642e-05,-8.165e-05,-0.0001714,-2.5603,0.4806,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00023398,-0.77222104,0.00081053,-0.00250195,0.44,25,per_bar_mean_x_bars_per_year
