factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
funding_rate_level_20h,funding_rate,negative,1h,LONG_SHORT,Long-Short,-0.00012915,,,16757,COMPUTED,-6.841e-05,6.074e-05,-0.00012915,-4.2718,0.4882
funding_rate_level_20h,funding_rate,negative,4h,LONG_SHORT,Long-Short,-0.00049023,,,16757,COMPUTED,-0.00025738,0.00023285,-0.00049023,-7.9619,0.4768
funding_rate_level_20h,funding_rate,negative,24h,LONG_SHORT,Long-Short,-0.00258462,,,16757,COMPUTED,-0.00132626,0.00125836,-0.00258462,-15.6814,0.4525
funding_rate_level_20h,funding_rate,negative,72h,LONG_SHORT,Long-Short,-0.01042094,,,16757,COMPUTED,-0.00453524,0.0058857,-0.01042094,-30.8535,0.4112
funding_rate_zscore_80h,funding_rate,negative,1h,LONG_SHORT,Long-Short,-8.75e-06,,,16697,COMPUTED,-1.328e-05,-4.53e-06,-8.75e-06,-0.2892,0.4985
funding_rate_zscore_80h,funding_rate,negative,4h,LONG_SHORT,Long-Short,-0.00013691,,,16697,COMPUTED,-8.193e-05,5.497e-05,-0.00013691,-2.2255,0.4889
funding_rate_zscore_80h,funding_rate,negative,24h,LONG_SHORT,Long-Short,4.38e-06,,,16697,COMPUTED,-2.401e-05,-2.839e-05,4.38e-06,0.0275,0.4848
funding_rate_zscore_80h,funding_rate,negative,72h,LONG_SHORT,Long-Short,0.00147419,,,16697,COMPUTED,0.00108031,-0.00039389,0.00147419,4.4969,0.5019
funding_rate_change_24h,funding_rate,negative,1h,LONG_SHORT,Long-Short,-1.608e-05,,,16752,COMPUTED,3.7e-07,1.646e-05,-1.608e-05,-0.568,0.4986
funding_rate_change_24h,funding_rate,negative,4h,LONG_SHORT,Long-Short,-0.00011276,,,16752,COMPUTED,-5.31e-05,5.965e-05,-0.00011276,-1.9471,0.4952
funding_rate_change_24h,funding_rate,negative,24h,LONG_SHORT,Long-Short,-4.503e-05,,,16752,COMPUTED,-0.00010558,-6.055e-05,-4.503e-05,-0.3016,0.4803
funding_rate_change_24h,funding_rate,negative,72h,LONG_SHORT,Long-Short,0.0003896,,,16752,COMPUTED,0.00041944,2.985e-05,0.0003896,1.2797,0.4964
