factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28","-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28",False,COMPUTED
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28","rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28",False,DIAGNOSTIC_ONLY
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30","rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30",False,DIAGNOSTIC_ONLY
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21","rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21",False,DIAGNOSTIC_ONLY
