factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
rev_2h,reversal,positive,factor_registry,1h,0.03607475,0.03607475,29.8245,17804,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal
rev_2h,reversal,positive,factor_registry,4h,0.03122618,0.03122618,26.1597,17802,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal
rev_2h,reversal,positive,factor_registry,24h,0.01526466,0.01526466,13.0997,17782,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal
rev_2h,reversal,positive,factor_registry,72h,0.00669909,0.00669909,6.0318,17734,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal
mom_vol_adjusted_20h,momentum,positive,factor_registry,1h,-0.02083523,-0.02083523,-20.4668,17786,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol"
mom_vol_adjusted_20h,momentum,positive,factor_registry,4h,-0.02642087,-0.02642087,-25.0203,17784,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol"
mom_vol_adjusted_20h,momentum,positive,factor_registry,24h,-0.02188231,-0.02188231,-20.4706,17764,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol"
mom_vol_adjusted_20h,momentum,positive,factor_registry,72h,-0.01299133,-0.01299133,-13.0742,17716,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol"
range_breakout_vol_confirm_20h,breakout,positive,factor_registry,1h,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout"
range_breakout_vol_confirm_20h,breakout,positive,factor_registry,4h,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout"
range_breakout_vol_confirm_20h,breakout,positive,factor_registry,24h,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout"
range_breakout_vol_confirm_20h,breakout,positive,factor_registry,72h,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout"
volume_pressure_20h,volume_price,positive,factor_registry,1h,-0.01106776,-0.01106776,-11.3086,17786,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure"
volume_pressure_20h,volume_price,positive,factor_registry,4h,-0.01456372,-0.01456372,-14.6592,17784,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure"
volume_pressure_20h,volume_price,positive,factor_registry,24h,-0.01636181,-0.01636181,-16.275,17764,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure"
volume_pressure_20h,volume_price,positive,factor_registry,72h,-0.01227236,-0.01227236,-12.4567,17716,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure"
xs_rank_mom_accel,cross_sectional_normalized,positive,factor_registry,1h,-0.02394564,-0.02394564,-20.511,17781,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller"
xs_rank_mom_accel,cross_sectional_normalized,positive,factor_registry,4h,-0.02441933,-0.02441933,-21.0051,17779,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller"
xs_rank_mom_accel,cross_sectional_normalized,positive,factor_registry,24h,-0.01858248,-0.01858248,-15.7569,17759,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller"
xs_rank_mom_accel,cross_sectional_normalized,positive,factor_registry,72h,-0.01079622,-0.01079622,-9.5026,17711,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller"
