factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
wq101_alpha29,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01168478
wq101_alpha31,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.0064566
wq101_alpha36,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.01785821
wq101_alpha39,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01844399
wq101_alpha57,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.02079647
wq101_alpha62,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00647054
wq101_alpha64,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.00332117
wq101_alpha66,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01133343
wq101_alpha71,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00569254
wq101_alpha72,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00815909
