factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
rsi_14h,technical,negative,1h,3,Q4,-9.48e-06,0.0001952,3312266,17793,COMPUTED
rsi_14h,technical,negative,1h,4,Q5,-1.539e-05,0.00016888,3312266,17793,COMPUTED
rsi_14h,technical,negative,4h,0,Q1,0.00023232,0.00071942,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,1,Q2,-0.00017568,0.00044918,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,2,Q3,-6.377e-05,0.0005719,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,3,Q4,-8.554e-05,0.00058869,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,4,Q5,-0.00016169,0.00046343,3311459,17790,COMPUTED
rsi_14h,technical,negative,24h,0,Q1,0.00109953,0.00137777,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,1,Q2,-0.00070037,0.00115633,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,2,Q3,-0.00052429,0.00135205,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,3,Q4,-0.00051158,0.00134694,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,4,Q5,-0.00067882,6.408e-05,3306116,17770,COMPUTED
rsi_14h,technical,negative,72h,0,Q1,0.00364516,0.00289069,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,1,Q2,-0.00183333,-0.00027294,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,2,Q3,-0.00193522,-0.00115262,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,3,Q4,-0.00207678,-0.00147403,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,4,Q5,-0.0020751,-0.00048768,3293348,17722,COMPUTED
bb_zscore_20h,technical,negative,1h,0,Q1,4.331e-05,0.00018563,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,1h,1,Q2,-7.394e-05,0.00017326,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,1h,2,Q3,-3.755e-05,0.00016317,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,1h,3,Q4,-1.086e-05,0.00015025,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,1h,4,Q5,1.344e-05,0.00026688,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,4h,0,Q1,0.00016482,0.00072072,3301271,17785,COMPUTED
bb_zscore_20h,technical,negative,4h,1,Q2,-0.00010855,0.00054279,3301271,17785,COMPUTED
bb_zscore_20h,technical,negative,4h,2,Q3,-0.00012354,0.00044092,3301271,17785,COMPUTED
bb_zscore_20h,technical,negative,4h,3,Q4,-9.489e-05,0.00058495,3301271,17785,COMPUTED
bb_zscore_20h,technical,negative,4h,4,Q5,-0.00011807,0.0004247,3301271,17785,COMPUTED
bb_zscore_20h,technical,negative,24h,0,Q1,0.00079175,0.00115891,3295951,17765,COMPUTED
bb_zscore_20h,technical,negative,24h,1,Q2,-0.0005462,0.0013604,3295951,17765,COMPUTED
bb_zscore_20h,technical,negative,24h,2,Q3,-0.00059557,0.00091345,3295951,17765,COMPUTED
bb_zscore_20h,technical,negative,24h,3,Q4,-0.00046149,0.00084765,3295951,17765,COMPUTED
bb_zscore_20h,technical,negative,24h,4,Q5,-0.0006371,0.00045843,3295951,17765,COMPUTED
bb_zscore_20h,technical,negative,72h,0,Q1,0.00259241,0.00213344,3283183,17717,COMPUTED
bb_zscore_20h,technical,negative,72h,1,Q2,-0.00204401,-0.00066533,3283183,17717,COMPUTED
bb_zscore_20h,technical,negative,72h,2,Q3,-0.00212727,-0.00089377,3283183,17717,COMPUTED
bb_zscore_20h,technical,negative,72h,3,Q4,-0.00184002,-0.00139781,3283183,17717,COMPUTED
bb_zscore_20h,technical,negative,72h,4,Q5,-0.00141394,-0.00011567,3283183,17717,COMPUTED
wq101_alpha101,wq101,conditional,1h,0,Q1,4.713e-05,0.00026776,3315990,17807,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,1h,1,Q2,2.093e-05,0.00025186,3315990,17807,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,1h,2,Q3,-3.575e-05,0.00018345,3315990,17807,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,1h,3,Q4,-4.111e-05,0.00015637,3315990,17807,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,1h,4,Q5,-3.995e-05,0.00010558,3315990,17807,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,4h,0,Q1,-2.058e-05,0.00062569,3315183,17804,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,4h,1,Q2,-4.92e-06,0.00071481,3315183,17804,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,4h,2,Q3,-9.112e-05,0.0005566,3315183,17804,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,4h,3,Q4,-0.00012337,0.00043878,3315183,17804,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,4h,4,Q5,2.256e-05,0.00061231,3315183,17804,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,24h,0,Q1,-4.3e-05,0.00076467,3309840,17784,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,24h,1,Q2,-0.00050654,0.00090595,3309840,17784,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,24h,2,Q3,-0.00048513,0.00099241,3309840,17784,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,24h,3,Q4,-0.00035038,0.00090131,3309840,17784,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,24h,4,Q5,0.00025534,0.001418,3309840,17784,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,72h,0,Q1,-0.00068315,-0.00024089,3297072,17736,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,72h,1,Q2,-0.00146661,-0.00121039,3297072,17736,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,72h,2,Q3,-0.00129957,-0.00088657,3297072,17736,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,72h,3,Q4,-0.00100081,-0.00010218,3297072,17736,DIRECTION_UNKNOWN
wq101_alpha101,wq101,conditional,72h,4,Q5,0.00054364,0.0009606,3297072,17736,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,1h,0,Q1,-1.474e-05,0.00018788,3315724,17806,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,1h,1,Q2,-1.789e-05,0.00017411,3315724,17806,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,1h,2,Q3,-4.1e-06,0.00023612,3315724,17806,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,1h,3,Q4,-1.953e-05,0.00018991,3315724,17806,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,1h,4,Q5,5.78e-06,0.00017804,3315724,17806,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,4h,0,Q1,3.168e-05,0.00054078,3314917,17803,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,4h,1,Q2,-7.214e-05,0.00055944,3314917,17803,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,4h,2,Q3,-6.847e-05,0.00052858,3314917,17803,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,4h,3,Q4,-5.21e-05,0.00067749,3314917,17803,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,4h,4,Q5,-6.459e-05,0.00051134,3314917,17803,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,24h,0,Q1,8.313e-05,0.00113738,3309574,17783,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,24h,1,Q2,-0.00028148,0.00122735,3309574,17783,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,24h,2,Q3,-0.00031295,0.00094869,3309574,17783,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,24h,3,Q4,-0.00041141,0.00106884,3309574,17783,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,24h,4,Q5,-0.00022578,0.00094069,3309574,17783,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,72h,0,Q1,0.00028485,0.00029806,3296806,17735,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,72h,1,Q2,-0.00136443,-0.00031944,3296806,17735,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,72h,2,Q3,-0.00100219,-0.00095483,3296806,17735,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,72h,3,Q4,-0.00132276,-0.00049207,3296806,17735,DIRECTION_UNKNOWN
wq101_alpha12,wq101,conditional,72h,4,Q5,-0.00053929,0.00036987,3296806,17735,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,1h,0,Q1,-3.199e-05,0.00011132,3313596,17798,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,1h,1,Q2,-4.534e-05,0.00016521,3313596,17798,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,1h,2,Q3,-8.37e-06,0.00018636,3313596,17798,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,1h,3,Q4,6.8e-07,0.00018367,3313596,17798,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,1h,4,Q5,2.991e-05,0.00022132,3313596,17798,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,4h,0,Q1,-6.463e-05,0.00048681,3312789,17795,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,4h,1,Q2,-0.00013564,0.00055945,3312789,17795,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,4h,2,Q3,-4.186e-05,0.00060283,3312789,17795,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,4h,3,Q4,-2.717e-05,0.00063414,3312789,17795,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,4h,4,Q5,3.493e-05,0.00065988,3312789,17795,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,24h,0,Q1,-7.057e-05,0.00106605,3307446,17775,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,24h,1,Q2,-0.00043458,0.00096678,3307446,17775,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,24h,2,Q3,-0.00031751,0.00112891,3307446,17775,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,24h,3,Q4,-0.00049555,0.00090632,3307446,17775,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,24h,4,Q5,7.691e-05,0.00103018,3307446,17775,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,72h,0,Q1,-0.00023567,0.00076805,3294678,17727,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,72h,1,Q2,-0.00136291,-0.00043322,3294678,17727,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,72h,2,Q3,-0.00099711,-0.0011785,3294678,17727,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,72h,3,Q4,-0.00148668,-0.00068073,3294678,17727,DIRECTION_UNKNOWN
wq101_alpha53,wq101,conditional,72h,4,Q5,-4.763e-05,0.00030441,3294678,17727,DIRECTION_UNKNOWN
q158_high_low_range,alpha158,conditional,1h,0,Q1,-1.817e-05,0.00015277,3315990,17807,DIRECTION_UNKNOWN
q158_high_low_range,alpha158,conditional,1h,1,Q2,-4.132e-05,0.00012946,3315990,17807,DIRECTION_UNKNOWN
