factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha73,wq101,conditional,1h,-0.00146792,-0.00146792,0.11726155,0.11726155,-0.012518,-0.012518,-0.012518,-1.6693,0.4956,0.4956,17781,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",open|low|volume|quote_volume,26,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",-1.11e-06,1.718e-05,-1.828e-05,-0.627,0.4915,0.00015642,-0.17666504,0.00054184,-0.00099914,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha73,wq101,conditional,4h,0.00158514,0.00158514,0.11878129,0.11878129,0.013345,0.013345,0.013345,1.7794,0.5073,0.5073,17779,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",open|low|volume|quote_volume,26,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",-4.214e-05,7.502e-05,-0.00011716,-2.0107,0.4906,0.0005398,-0.33091336,0.00186992,-0.00439805,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha73,wq101,conditional,24h,-0.00226918,-0.00226918,0.12320209,0.12320209,-0.018418,-0.018418,-0.018418,-2.4545,0.4927,0.4927,17759,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",open|low|volume|quote_volume,26,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",-0.00032805,0.00061064,-0.00093869,-6.0807,0.4764,0.00274199,-0.42826785,0.00949852,-0.03061921,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha73,wq101,conditional,72h,-0.00596438,-0.00596438,0.1198807,0.1198807,-0.049753,-0.049753,-0.049753,-6.6212,0.4803,0.4803,17711,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",open|low|volume|quote_volume,26,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))",-0.00134809,0.00169167,-0.00303976,-10.1883,0.4659,0.00664681,-0.3913456,0.02302523,-0.08023061,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha81,wq101,conditional,1h,0.00783354,0.00783354,0.102743,0.102743,0.076244,0.076244,0.076244,10.1511,0.5315,0.5315,17726,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,volume|quote_volume,82,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,4e-08,-5.588e-05,5.592e-05,2.2331,0.5119,0.00013442,0.50621575,0.00046566,-0.00040917,0.72,25,per_bar_mean_x_bars_per_year
wq101_alpha81,wq101,conditional,4h,0.01092935,0.01092935,0.10276983,0.10276983,0.106348,0.106348,0.106348,14.1582,0.545,0.545,17724,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,volume|quote_volume,82,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,-5.697e-05,-0.00017533,0.00011836,2.3243,0.5159,0.00041618,0.25137267,0.00144169,-0.00078966,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha81,wq101,conditional,24h,0.0148676,0.0148676,0.10263096,0.10263096,0.144865,0.144865,0.144865,19.2752,0.5567,0.5567,17704,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,volume|quote_volume,82,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,-0.00058093,-0.00082621,0.00024528,1.8899,0.5132,0.00226753,0.06853817,0.00785496,-0.01126908,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha81,wq101,conditional,72h,0.0143561,0.0143561,0.10155079,0.10155079,0.141369,0.141369,0.141369,18.7845,0.5588,0.5588,17656,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,volume|quote_volume,82,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation,-0.00189084,-0.00129106,-0.00059979,-2.1874,0.5082,0.00761984,-0.06780724,0.02639589,-0.05494428,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha84,wq101,conditional,1h,0.01474601,0.01474601,0.11690004,0.11690004,0.126142,0.126142,0.126142,16.8157,0.5512,0.5512,17771,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))",close|volume|quote_volume,35,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))",-5.61e-06,1.32e-06,-6.93e-06,-0.228,0.5017,0.00016409,-0.12563089,0.00056843,-0.00099862,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha84,wq101,conditional,4h,0.01695108,0.01695108,0.11893959,0.11893959,0.142518,0.142518,0.142518,18.9978,0.5611,0.5611,17769,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))",close|volume|quote_volume,35,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))",-6.957e-05,3.498e-05,-0.00010455,-1.7302,0.5004,0.00053462,-0.26787186,0.00185199,-0.00407769,0.48,25,per_bar_mean_x_bars_per_year
