factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_cntp_30h,alpha158_rolling_direction,positive,1h,LONG_SHORT,Long-Short,5.916e-05,,,17777,COMPUTED,3.407e-05,-2.509e-05,5.916e-05,1.9679,0.5064,0.00017985,0.55900691,0.00062301,-0.00035761,0.56,25,per_bar_mean_x_bars_per_year
q158_cntp_30h,alpha158_rolling_direction,positive,4h,LONG_SHORT,Long-Short,0.00029733,,,17774,COMPUTED,0.00015691,-0.00014042,0.00029733,4.9046,0.514,0.00068199,0.73656381,0.0023625,-0.00101578,0.64,25,per_bar_mean_x_bars_per_year
q158_cntp_30h,alpha158_rolling_direction,positive,24h,LONG_SHORT,Long-Short,0.00144365,,,17754,COMPUTED,0.00079533,-0.00064832,0.00144365,9.0275,0.5263,0.00363871,0.61564648,0.01260487,-0.00747832,0.68,25,per_bar_mean_x_bars_per_year
q158_cntp_30h,alpha158_rolling_direction,positive,72h,LONG_SHORT,Long-Short,0.00396212,,,17706,COMPUTED,0.00269608,-0.00126604,0.00396212,12.8144,0.5307,0.00914237,0.4874792,0.0316701,-0.01406128,0.56,25,per_bar_mean_x_bars_per_year
q158_cntn_30h,alpha158_rolling_direction,negative,1h,LONG_SHORT,Long-Short,4.357e-05,,,17777,COMPUTED,3.5e-05,-8.58e-06,4.357e-05,1.4298,0.5031,0.00017992,0.43669652,0.00062326,-0.00043194,0.56,25,per_bar_mean_x_bars_per_year
q158_cntn_30h,alpha158_rolling_direction,negative,4h,LONG_SHORT,Long-Short,0.00022433,,,17774,COMPUTED,0.00012952,-9.481e-05,0.00022433,3.666,0.5066,0.00070693,0.57806723,0.00244887,-0.00134116,0.6,25,per_bar_mean_x_bars_per_year
q158_cntn_30h,alpha158_rolling_direction,negative,24h,LONG_SHORT,Long-Short,0.00138613,,,17754,COMPUTED,0.00079842,-0.00058771,0.00138613,8.7764,0.5242,0.00354956,0.58500384,0.01229602,-0.00557342,0.72,25,per_bar_mean_x_bars_per_year
q158_cntn_30h,alpha158_rolling_direction,negative,72h,LONG_SHORT,Long-Short,0.00457535,,,17706,COMPUTED,0.00303704,-0.00153832,0.00457535,15.0929,0.539,0.00862216,0.55013337,0.02986802,-0.01260592,0.76,25,per_bar_mean_x_bars_per_year
q158_sumd_30h,alpha158_rolling_direction,positive,1h,LONG_SHORT,Long-Short,9.178e-05,,,17777,COMPUTED,3.75e-05,-5.428e-05,9.178e-05,2.4734,0.5066,0.0002135,0.93217669,0.0007396,-0.00050285,0.64,25,per_bar_mean_x_bars_per_year
q158_sumd_30h,alpha158_rolling_direction,positive,4h,LONG_SHORT,Long-Short,0.00028161,,,17774,COMPUTED,0.00011852,-0.00016309,0.00028161,3.7665,0.5062,0.00089177,0.76484865,0.00308917,-0.00116019,0.68,25,per_bar_mean_x_bars_per_year
q158_sumd_30h,alpha158_rolling_direction,positive,24h,LONG_SHORT,Long-Short,0.00158472,,,17754,COMPUTED,0.00103582,-0.0005489,0.00158472,8.3944,0.5098,0.00520108,0.7165877,0.01801705,-0.0115982,0.64,25,per_bar_mean_x_bars_per_year
q158_sumd_30h,alpha158_rolling_direction,positive,72h,LONG_SHORT,Long-Short,0.00547025,,,17706,COMPUTED,0.00354367,-0.00192658,0.00547025,15.9225,0.5389,0.01071543,0.67372552,0.03711933,-0.02227158,0.64,25,per_bar_mean_x_bars_per_year
q158_cntd_30h,alpha158_rolling_direction,positive,1h,LONG_SHORT,Long-Short,4.924e-05,,,17777,COMPUTED,3.852e-05,-1.071e-05,4.924e-05,1.6026,0.5027,0.00017952,0.47542185,0.00062186,-0.00041581,0.52,25,per_bar_mean_x_bars_per_year
q158_cntd_30h,alpha158_rolling_direction,positive,4h,LONG_SHORT,Long-Short,0.00025043,,,17774,COMPUTED,0.00015316,-9.727e-05,0.00025043,4.0472,0.5063,0.00071274,0.64088051,0.002469,-0.00127639,0.68,25,per_bar_mean_x_bars_per_year
q158_cntd_30h,alpha158_rolling_direction,positive,24h,LONG_SHORT,Long-Short,0.00146229,,,17754,COMPUTED,0.00085932,-0.00060297,0.00146229,9.1979,0.5248,0.00352545,0.61650692,0.01221251,-0.00597266,0.72,25,per_bar_mean_x_bars_per_year
q158_cntd_30h,alpha158_rolling_direction,positive,72h,LONG_SHORT,Long-Short,0.0043521,,,17706,COMPUTED,0.00286403,-0.00148807,0.0043521,14.2795,0.5333,0.00857693,0.52638094,0.02971135,-0.0137951,0.68,25,per_bar_mean_x_bars_per_year
