factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,DIRECTION_UNKNOWN,False,volume|cap,159,72h,0.0581733,72h,0.448638,72h,0.00127529,4.3328,0.6842,2912863,0.500325,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,conditional,DIRECTION_UNKNOWN,False,volume|cap,139,72h,0.05747455,72h,0.423168,72h,0.00221817,7.752,0.6694,2916655,0.499675,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
