factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
wq101_alpha1,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01331451
wq101_alpha2,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01494027
wq101_alpha3,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.01016261
wq101_alpha4,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01106855
wq101_alpha5,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.02051444
wq101_alpha7,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.00221838
wq101_alpha8,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.01030839
wq101_alpha10,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.01190215
wq101_alpha11,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.00709056
wq101_alpha13,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.01724056
