factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
q158_klen_open,alpha158_kbar,conditional,DIRECTION_UNKNOWN,False,open|high|low,1,72h,-0.09091469,72h,-0.467667,72h,0.00524831,11.77,0.419,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
q158_kup_open,alpha158_kbar,negative,COMPUTED,False,open|high|close,1,72h,0.05649645,72h,0.383076,72h,-0.00431654,-11.2563,0.665,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_klow_open,alpha158_kbar,positive,COMPUTED,False,open|low|close,1,72h,-0.05492423,72h,-0.372867,72h,0.00289624,7.7311,0.422,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_ksft_open,alpha158_kbar,positive,COMPUTED,False,open|high|low|close,1,1h,-0.03887002,1h,-0.246409,72h,0.00072864,2.0187,0.5008,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_ksft_range,alpha158_kbar,positive,COMPUTED,False,high|low|close,1,1h,-0.03340933,1h,-0.272846,72h,0.00025599,0.8361,0.5014,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_rsv_20h,alpha158_rolling,conditional,DIRECTION_UNKNOWN,False,high|low|close,20,1h,-0.02172221,1h,-0.161736,72h,0.0035096,10.2881,0.5015,3311205,0.001524,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
