factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
wq101_alpha23,wq101,conditional,1h,2025-02,4,Q5,-0.00034705,-0.00040018,672,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-03,0,Q1,-0.00034054,0.00012898,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-03,1,Q2,-0.00018611,0.0002677,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-03,2,Q3,-0.00030755,0.00018833,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-03,3,Q4,-0.00026278,0.00014244,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-03,4,Q5,-0.00043032,-0.00010787,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-04,0,Q1,2.257e-05,0.00033216,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-04,1,Q2,0.00030243,0.00032527,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-04,2,Q3,0.00034015,0.00046982,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-04,3,Q4,0.0002873,0.00017904,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-04,4,Q5,0.00027101,0.00020239,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-05,0,Q1,0.00018131,0.000203,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-05,1,Q2,9.381e-05,0.00022591,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-05,2,Q3,0.00011197,-0.00017934,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-05,3,Q4,-2.491e-05,-4.938e-05,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-05,4,Q5,-3.495e-05,0.0002075,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-06,0,Q1,-6.338e-05,-4.321e-05,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-06,1,Q2,-0.00013811,2.646e-05,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-06,2,Q3,-9.48e-05,-0.00018439,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-06,3,Q4,-0.00013173,0.00010784,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-06,4,Q5,-0.00016209,-8.894e-05,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-07,0,Q1,0.00022486,0.00034033,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-07,1,Q2,0.00019696,0.00040733,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-07,2,Q3,0.00028216,0.00026524,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-07,3,Q4,0.00033596,0.00028386,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-07,4,Q5,0.00017101,0.00038407,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-08,0,Q1,0.00012869,0.00025844,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-08,1,Q2,0.00012294,0.00031553,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2025-08,2,Q3,0.00010855,0.0001139,744,,DIRECTION_UNKNOWN
