factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
wq101_alpha6,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.02346183
wq101_alpha9,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.01638734
wq101_alpha21,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.00783107
wq101_alpha41,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.00349351
wq101_alpha54,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.02872677
