factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
taker_buy_ratio_20h,taker_imbalance,positive,COMPUTED,False,taker_buy_quote_volume|quote_volume,20,1h,-0.00499486,1h,-0.051434,72h,0.00380067,14.3423,0.5146,3025443,0.087694,KNOWN,DIVERGENT,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,RankIC-longshort divergence detected. Check quantile monotonicity and tail behavior.
taker_buy_zscore_20h,taker_imbalance,positive,COMPUTED,False,taker_buy_quote_volume|quote_volume,20,1h,-0.01137205,1h,-0.115856,72h,0.00038477,1.5197,0.4974,3025443,0.087694,KNOWN,DIVERGENT,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,RankIC-longshort divergence detected. Check quantile monotonicity and tail behavior.
taker_buy_delta_5h,taker_imbalance,positive,COMPUTED,False,taker_buy_quote_volume|quote_volume,6,1h,-0.00809259,1h,-0.086773,72h,0.00035491,1.534,0.4991,3031391,0.0859,KNOWN,DIVERGENT,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,RankIC-longshort divergence detected. Check quantile monotonicity and tail behavior.
