factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
wq101_alpha14,wq101,conditional,DIRECTION_UNKNOWN,False,open|close|volume,10,24h,0.01672902,24h,0.146851,72h,-0.00095465,-3.2369,0.5669,3304941,0.003332,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha15,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,5,72h,0.004495,72h,0.050698,72h,0.00080534,3.7416,0.5162,2668015,0.195409,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha16,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,5,24h,0.02371484,24h,0.270668,72h,-0.0029967,-10.2524,0.6086,3315183,0.000243,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
wq101_alpha17,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,24,1h,0.02133886,1h,0.181528,72h,0.00056779,1.9276,0.5835,3301205,0.004459,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
wq101_alpha18,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,10,24h,-0.00855298,24h,-0.071356,72h,-0.00140789,-4.8618,0.501,3304938,0.003333,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha19,wq101,conditional,DIRECTION_UNKNOWN,False,close,251,4h,0.01692581,4h,0.12338,72h,-0.00272637,-8.143,0.558,3249009,0.020199,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha20,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|close,2,72h,0.01809815,72h,0.181094,72h,0.00118967,4.6076,0.5836,3315990,0.0,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha22,wq101,conditional,DIRECTION_UNKNOWN,False,high|close|volume,20,24h,0.00424363,24h,0.041277,24h,0.00012551,0.916,0.5197,3302027,0.004211,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
wq101_alpha26,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,11,24h,0.02642808,24h,0.25073,72h,-0.00238534,-8.1746,0.6049,3013600,0.091191,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
wq101_alpha27,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,7,24h,0.02407085,24h,0.153241,72h,-0.00173954,-3.0224,0.5754,1336190,0.597046,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
