factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,False,COMPUTED,4,4,72h,0.06835423
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.05671747
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.06247263
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.05851328
