factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha73,wq101,conditional,factor_registry,1h,-0.00146792,-0.00146792,-1.6693,17781,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))"
wq101_alpha73,wq101,conditional,factor_registry,4h,0.00158514,0.00158514,1.7794,17779,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))"
wq101_alpha73,wq101,conditional,factor_registry,24h,-0.00226918,-0.00226918,-2.4545,17759,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))"
wq101_alpha73,wq101,conditional,factor_registry,72h,-0.00596438,-0.00596438,-6.6212,17711,185.6,3301833,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#73: -max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(open/low blend,2)/blend,3),17))"
wq101_alpha81,wq101,conditional,factor_registry,1h,0.00783354,0.00783354,10.1511,17726,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation
wq101_alpha81,wq101,conditional,factor_registry,4h,0.01092935,0.01092935,14.1582,17724,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation
wq101_alpha81,wq101,conditional,factor_registry,24h,0.0148676,0.0148676,19.2752,17704,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation
wq101_alpha81,wq101,conditional,factor_registry,72h,0.0143561,0.0143561,18.7845,17656,143.8,2548445,0.228173,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#81: -1 boolean gate comparing ranked product of VWAP/adv10 correlation with VWAP-volume rank correlation
wq101_alpha84,wq101,conditional,factor_registry,1h,0.01474601,0.01474601,16.8157,17771,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))"
wq101_alpha84,wq101,conditional,factor_registry,4h,0.01695108,0.01695108,18.9978,17769,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))"
wq101_alpha84,wq101,conditional,factor_registry,24h,0.0108942,0.0108942,11.7839,17749,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))"
wq101_alpha84,wq101,conditional,factor_registry,72h,0.00561473,0.00561473,6.3113,17701,185.6,3298067,0.001141,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#84: signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta(close,5))"
wq101_alpha98,wq101,conditional,factor_registry,1h,-0.00062895,-0.00062895,-0.5885,17747,100.6,1786138,0.459047,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#98: decayed rank of VWAP/sum(adv5) correlation minus decayed rank of argmin open/adv15 correlation
wq101_alpha98,wq101,conditional,factor_registry,4h,-7.406e-05,-7.406e-05,-0.0688,17745,100.6,1786138,0.459047,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#98: decayed rank of VWAP/sum(adv5) correlation minus decayed rank of argmin open/adv15 correlation
wq101_alpha98,wq101,conditional,factor_registry,24h,-0.00122853,-0.00122853,-1.1606,17725,100.6,1786138,0.459047,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#98: decayed rank of VWAP/sum(adv5) correlation minus decayed rank of argmin open/adv15 correlation
wq101_alpha98,wq101,conditional,factor_registry,72h,-0.00253088,-0.00253088,-2.331,17677,100.6,1786138,0.459047,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#98: decayed rank of VWAP/sum(adv5) correlation minus decayed rank of argmin open/adv15 correlation
