factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
q158_max_10h,alpha158_rolling_price,conditional,1h,3,Q4,1.139e-05,0.00020886,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,1h,4,Q5,4.187e-05,0.00023212,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,0,Q1,-5.171e-05,0.00055949,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,1,Q2,-0.00014811,0.0005434,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,2,Q3,-0.00010839,0.0005197,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,3,Q4,-7.052e-05,0.00052054,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,4,Q5,0.00014246,0.00065465,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,24h,0,Q1,-0.00021916,0.00160532,3307446,17775,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,24h,1,Q2,-0.00078976,0.00095119,3307446,17775,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,24h,2,Q3,-0.00071487,0.00097243,3307446,17775,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,24h,3,Q4,-0.00037798,0.0011621,3307446,17775,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,24h,4,Q5,0.00085936,0.00050549,3307446,17775,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,72h,0,Q1,7e-06,0.00160441,3294678,17727,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,72h,1,Q2,-0.00225815,-0.00084506,3294678,17727,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,72h,2,Q3,-0.00247073,-0.00210523,3294678,17727,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,72h,3,Q4,-0.00174209,-0.00146556,3294678,17727,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,72h,4,Q5,0.00232819,0.00067787,3294678,17727,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,1h,0,Q1,4.975e-05,0.00024365,3313596,17798,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,1h,1,Q2,-5.712e-05,0.00018147,3313596,17798,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,1h,2,Q3,-6.708e-05,0.00017378,3313596,17798,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,1h,3,Q4,-2.205e-05,0.00016023,3313596,17798,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,1h,4,Q5,4.071e-05,0.00018902,3313596,17798,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,4h,0,Q1,0.00027778,0.00093103,3312789,17795,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,4h,1,Q2,-0.00018015,0.00051049,3312789,17795,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,4h,2,Q3,-0.00016805,0.00051993,3312789,17795,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,4h,3,Q4,-0.00018109,0.00041657,3312789,17795,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,4h,4,Q5,1.531e-05,0.00046816,3312789,17795,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,24h,0,Q1,0.00150084,0.00114279,3307446,17775,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,24h,1,Q2,-0.00073655,0.00109919,3307446,17775,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,24h,2,Q3,-0.00079974,0.00093681,3307446,17775,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,24h,3,Q4,-0.00086283,0.0008281,3307446,17775,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,24h,4,Q5,-0.00034774,0.0012412,3307446,17775,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,72h,0,Q1,0.00432245,0.00354515,3294678,17727,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,72h,1,Q2,-0.0021126,-0.00111293,3294678,17727,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,72h,2,Q3,-0.00264443,-0.00123642,3294678,17727,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,72h,3,Q4,-0.00274934,-0.00203006,3294678,17727,DIRECTION_UNKNOWN
q158_min_10h,alpha158_rolling_price,conditional,72h,4,Q5,-0.00096663,0.00018587,3294678,17727,DIRECTION_UNKNOWN
