factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
wq101_alpha1,wq101,conditional,4h,2024-11,LONG_SHORT,Long-Short,-0.00011556,,720,,DIRECTION_UNKNOWN,-0.00011556,0.00291913,0.00303469,False
wq101_alpha1,wq101,conditional,4h,2024-12,LONG_SHORT,Long-Short,0.00086765,,744,,DIRECTION_UNKNOWN,0.00086765,4.085e-05,-0.0008268,True
wq101_alpha1,wq101,conditional,4h,2025-01,LONG_SHORT,Long-Short,0.00024942,,744,,DIRECTION_UNKNOWN,0.00024942,-0.00084,-0.00108942,True
wq101_alpha1,wq101,conditional,4h,2025-02,LONG_SHORT,Long-Short,-0.00038589,,672,,DIRECTION_UNKNOWN,-0.00038589,-0.00186828,-0.00148239,False
wq101_alpha1,wq101,conditional,4h,2025-03,LONG_SHORT,Long-Short,0.00042596,,744,,DIRECTION_UNKNOWN,0.00042596,-0.00098173,-0.00140769,True
wq101_alpha1,wq101,conditional,4h,2025-04,LONG_SHORT,Long-Short,-7.658e-05,,720,,DIRECTION_UNKNOWN,-7.658e-05,0.00116864,0.00124521,False
wq101_alpha1,wq101,conditional,4h,2025-05,LONG_SHORT,Long-Short,-0.00065952,,744,,DIRECTION_UNKNOWN,-0.00065952,7.825e-05,0.00073778,False
wq101_alpha1,wq101,conditional,4h,2025-06,LONG_SHORT,Long-Short,0.00024539,,720,,DIRECTION_UNKNOWN,0.00024539,-0.00048078,-0.00072617,True
wq101_alpha1,wq101,conditional,4h,2025-07,LONG_SHORT,Long-Short,0.00069525,,744,,DIRECTION_UNKNOWN,0.00069525,0.00116836,0.0004731,True
wq101_alpha1,wq101,conditional,4h,2025-08,LONG_SHORT,Long-Short,0.00019274,,744,,DIRECTION_UNKNOWN,0.00019274,0.00047382,0.00028109,True
wq101_alpha1,wq101,conditional,4h,2025-09,LONG_SHORT,Long-Short,7.899e-05,,720,,DIRECTION_UNKNOWN,7.899e-05,0.0004865,0.00040751,True
wq101_alpha1,wq101,conditional,4h,2025-10,LONG_SHORT,Long-Short,-0.00020039,,744,,DIRECTION_UNKNOWN,-0.00020039,-0.00061367,-0.00041329,False
wq101_alpha1,wq101,conditional,4h,2025-11,LONG_SHORT,Long-Short,-0.00034031,,720,,DIRECTION_UNKNOWN,-0.00034031,-0.00111505,-0.00077475,False
wq101_alpha1,wq101,conditional,4h,2025-12,LONG_SHORT,Long-Short,-7.622e-05,,744,,DIRECTION_UNKNOWN,-7.622e-05,0.00016683,0.00024305,False
wq101_alpha1,wq101,conditional,4h,2026-01,LONG_SHORT,Long-Short,-0.00027375,,744,,DIRECTION_UNKNOWN,-0.00027375,-0.00043918,-0.00016543,False
wq101_alpha1,wq101,conditional,4h,2026-02,LONG_SHORT,Long-Short,-0.00085639,,672,,DIRECTION_UNKNOWN,-0.00085639,-0.00080199,5.44e-05,False
wq101_alpha1,wq101,conditional,4h,2026-03,LONG_SHORT,Long-Short,0.00023674,,744,,DIRECTION_UNKNOWN,0.00023674,0.00029108,5.434e-05,True
wq101_alpha1,wq101,conditional,4h,2026-04,LONG_SHORT,Long-Short,-0.00047837,,720,,DIRECTION_UNKNOWN,-0.00047837,0.00123987,0.00171824,False
wq101_alpha1,wq101,conditional,4h,2026-05,LONG_SHORT,Long-Short,0.00028365,,744,,DIRECTION_UNKNOWN,0.00028365,0.00041605,0.0001324,True
wq101_alpha1,wq101,conditional,4h,2026-06,LONG_SHORT,Long-Short,0.00010317,,285,,DIRECTION_UNKNOWN,0.00010317,-0.0014547,-0.00155787,True
wq101_alpha1,wq101,conditional,24h,2024-06,LONG_SHORT,Long-Short,-0.0001457,,701,,DIRECTION_UNKNOWN,-0.0001457,-0.00896684,-0.00914046,False
wq101_alpha1,wq101,conditional,24h,2024-07,LONG_SHORT,Long-Short,0.00051584,,744,,DIRECTION_UNKNOWN,0.00051584,-0.00108286,-0.0015987,True
wq101_alpha1,wq101,conditional,24h,2024-08,LONG_SHORT,Long-Short,-0.00041219,,744,,DIRECTION_UNKNOWN,-0.00041219,-0.0042937,-0.00388151,False
wq101_alpha1,wq101,conditional,24h,2024-09,LONG_SHORT,Long-Short,-0.00013697,,720,,DIRECTION_UNKNOWN,-0.00013697,0.00705652,0.00719349,False
wq101_alpha1,wq101,conditional,24h,2024-10,LONG_SHORT,Long-Short,-0.00082141,,744,,DIRECTION_UNKNOWN,-0.00082141,-0.00119339,-0.00037198,False
wq101_alpha1,wq101,conditional,24h,2024-11,LONG_SHORT,Long-Short,-0.00080146,,720,,DIRECTION_UNKNOWN,-0.00080146,0.01811332,0.01891478,False
