factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
vwap_dev_20h,alpha158_ohlcv,conditional,1h,LONG_SHORT,Long-Short,5.434e-05,,,17788,DIRECTION_UNKNOWN,6.446e-05,1.011e-05,5.434e-05,1.3084,0.4975
vwap_dev_20h,alpha158_ohlcv,conditional,4h,LONG_SHORT,Long-Short,0.00037713,,,17785,DIRECTION_UNKNOWN,0.00029817,-7.896e-05,0.00037713,4.5833,0.5107
vwap_dev_20h,alpha158_ohlcv,conditional,24h,LONG_SHORT,Long-Short,0.00130743,,,17765,DIRECTION_UNKNOWN,0.00109982,-0.00020761,0.00130743,6.3933,0.5106
vwap_dev_20h,alpha158_ohlcv,conditional,72h,LONG_SHORT,Long-Short,0.00425839,,,17717,DIRECTION_UNKNOWN,0.00331609,-0.00094231,0.00425839,11.2876,0.5268
wvma_20h,alpha158_ohlcv,negative,1h,LONG_SHORT,Long-Short,-5.184e-05,,,17787,COMPUTED,-1.914e-05,3.27e-05,-5.184e-05,-1.2266,0.5023
wvma_20h,alpha158_ohlcv,negative,4h,LONG_SHORT,Long-Short,-0.00025243,,,17784,COMPUTED,-7.648e-05,0.00017595,-0.00025243,-2.9942,0.5026
wvma_20h,alpha158_ohlcv,negative,24h,LONG_SHORT,Long-Short,-0.00181588,,,17764,COMPUTED,-0.00045685,0.00135903,-0.00181588,-8.6429,0.5088
wvma_20h,alpha158_ohlcv,negative,72h,LONG_SHORT,Long-Short,-0.00518251,,,17716,COMPUTED,-0.00143779,0.00374472,-0.00518251,-13.3039,0.5037
vol_ret_corr_20h,alpha158_ohlcv,conditional,1h,LONG_SHORT,Long-Short,4.25e-05,,,17787,DIRECTION_UNKNOWN,1.223e-05,-3.028e-05,4.25e-05,1.324,0.4984
vol_ret_corr_20h,alpha158_ohlcv,conditional,4h,LONG_SHORT,Long-Short,0.0001636,,,17784,DIRECTION_UNKNOWN,2.339e-05,-0.00014021,0.0001636,2.568,0.4962
vol_ret_corr_20h,alpha158_ohlcv,conditional,24h,LONG_SHORT,Long-Short,0.00101126,,,17764,DIRECTION_UNKNOWN,0.00049784,-0.00051342,0.00101126,6.383,0.501
vol_ret_corr_20h,alpha158_ohlcv,conditional,72h,LONG_SHORT,Long-Short,0.00215926,,,17716,DIRECTION_UNKNOWN,0.00094551,-0.00121374,0.00215926,7.1073,0.4959
intraday_ret,alpha158_ohlcv,conditional,1h,LONG_SHORT,Long-Short,-0.00011276,,,17807,DIRECTION_UNKNOWN,-2.076e-05,9.2e-05,-0.00011276,-2.7645,0.4722
intraday_ret,alpha158_ohlcv,conditional,4h,LONG_SHORT,Long-Short,-4.656e-05,,,17804,DIRECTION_UNKNOWN,0.00010448,0.00015104,-4.656e-05,-0.5935,0.486
intraday_ret,alpha158_ohlcv,conditional,24h,LONG_SHORT,Long-Short,0.00030496,,,17784,DIRECTION_UNKNOWN,0.00072056,0.0004156,0.00030496,1.5978,0.4949
intraday_ret,alpha158_ohlcv,conditional,72h,LONG_SHORT,Long-Short,0.00139889,,,17736,DIRECTION_UNKNOWN,0.00222851,0.00082961,0.00139889,3.8874,0.5022
klow_close,alpha158_ohlcv,positive,1h,LONG_SHORT,Long-Short,-4.346e-05,,,17807,COMPUTED,-1.213e-05,3.133e-05,-4.346e-05,-1.1346,0.484
klow_close,alpha158_ohlcv,positive,4h,LONG_SHORT,Long-Short,9.779e-05,,,17804,COMPUTED,0.00011011,1.232e-05,9.779e-05,1.2928,0.4892
klow_close,alpha158_ohlcv,positive,24h,LONG_SHORT,Long-Short,0.00111458,,,17784,COMPUTED,0.00100094,-0.00011364,0.00111458,5.7006,0.4831
klow_close,alpha158_ohlcv,positive,72h,LONG_SHORT,Long-Short,0.00290741,,,17736,COMPUTED,0.00268851,-0.0002189,0.00290741,7.7675,0.4843
ksft_5h,alpha158_ohlcv,conditional,1h,LONG_SHORT,Long-Short,3.118e-05,,,17802,DIRECTION_UNKNOWN,1.627e-05,-1.491e-05,3.118e-05,1.0998,0.501
ksft_5h,alpha158_ohlcv,conditional,4h,LONG_SHORT,Long-Short,0.00013524,,,17799,DIRECTION_UNKNOWN,4.349e-05,-9.174e-05,0.00013524,2.4171,0.5022
ksft_5h,alpha158_ohlcv,conditional,24h,LONG_SHORT,Long-Short,0.00022146,,,17779,DIRECTION_UNKNOWN,4.301e-05,-0.00017845,0.00022146,1.5592,0.5005
ksft_5h,alpha158_ohlcv,conditional,72h,LONG_SHORT,Long-Short,0.00029119,,,17731,DIRECTION_UNKNOWN,-7.868e-05,-0.00036987,0.00029119,1.0517,0.4991
