factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha25,wq101,conditional,1h,LONG_SHORT,Long-Short,6.433e-05,,,17787,DIRECTION_UNKNOWN,3.41e-05,-3.024e-05,6.433e-05,2.0205,0.5134,0.00022441,0.60746397,0.00077737,-0.00124644,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha25,wq101,conditional,4h,LONG_SHORT,Long-Short,2.628e-05,,,17784,DIRECTION_UNKNOWN,9e-07,-2.538e-05,2.628e-05,0.412,0.5084,0.00045431,0.05560116,0.00157376,-0.00308084,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha25,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00026846,,,17764,DIRECTION_UNKNOWN,-9.468e-05,0.00017377,-0.00026846,-1.6743,0.4996,0.00131062,-0.13271559,0.00454012,-0.01284667,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha25,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00128114,,,17716,DIRECTION_UNKNOWN,-0.00060107,0.00068007,-0.00128114,-4.1583,0.4943,0.00305853,-0.16564305,0.01059505,-0.03622194,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha28,wq101,conditional,1h,LONG_SHORT,Long-Short,3.796e-05,,,17784,DIRECTION_UNKNOWN,2.216e-05,-1.58e-05,3.796e-05,1.2929,0.4971,0.00019176,0.40924598,0.00066427,-0.00077402,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha28,wq101,conditional,4h,LONG_SHORT,Long-Short,8.601e-05,,,17781,DIRECTION_UNKNOWN,4.377e-05,-4.224e-05,8.601e-05,1.492,0.4993,0.00058733,0.23390572,0.00203456,-0.00263246,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha28,wq101,conditional,24h,LONG_SHORT,Long-Short,0.00032964,,,17761,DIRECTION_UNKNOWN,0.0002748,-5.484e-05,0.00032964,2.2315,0.4883,0.00154315,0.155341,0.00534564,-0.00444074,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha28,wq101,conditional,72h,LONG_SHORT,Long-Short,0.00103006,,,17713,DIRECTION_UNKNOWN,0.00072291,-0.00030715,0.00103006,3.5532,0.4962,0.002958,0.12422154,0.01024682,-0.0069529,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha30,wq101,conditional,1h,LONG_SHORT,Long-Short,6.185e-05,,,17788,DIRECTION_UNKNOWN,3.595e-05,-2.59e-05,6.185e-05,2.0851,0.5093,0.00019065,0.53448052,0.00066042,-0.00069915,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha30,wq101,conditional,4h,LONG_SHORT,Long-Short,-3.279e-05,,,17785,DIRECTION_UNKNOWN,-1.571e-05,1.709e-05,-3.279e-05,-0.5491,0.5061,0.00061697,-0.06986919,0.00213725,-0.00407831,0.56,25,per_bar_mean_x_bars_per_year
