factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,-0.01550435,-0.01550435,0.11198749,0.11198749,-0.138447,-0.138447,-0.138447,-18.4644,0.4419,0.4419,17787,185.6,3302338,0.004198,False,COMPUTED,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",close|volume,20,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",5.198e-05,-2.52e-05,7.718e-05,2.4433,0.5053,0.00018685,0.00105056,0.00064728,-0.00037999,0.6,25,monthly_x12
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,-0.01977073,-0.01977073,0.11437884,0.11437884,-0.172853,-0.172853,-0.172853,-23.0518,0.4264,0.4264,17785,185.6,3302338,0.004198,False,COMPUTED,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",close|volume,20,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",0.00019441,-0.00012158,0.00031599,5.0274,0.5085,0.00068071,0.00423942,0.00235805,-0.0010328,0.6,25,monthly_x12
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,-0.0178573,-0.0178573,0.11569513,0.11569513,-0.154348,-0.154348,-0.154348,-20.5723,0.4364,0.4364,17765,185.6,3302338,0.004198,False,COMPUTED,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",close|volume,20,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",0.00070909,-0.00066621,0.0013753,8.5367,0.5115,0.00383912,0.0192351,0.0132991,-0.00694842,0.56,25,monthly_x12
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,-0.01397212,-0.01397212,0.11094591,0.11094591,-0.125936,-0.125936,-0.125936,-16.7628,0.4426,0.4426,17717,185.6,3302338,0.004198,False,COMPUTED,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",close|volume,20,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",0.00254089,-0.00156841,0.0041093,13.2256,0.5244,0.00812924,0.04860162,0.02816052,-0.01882919,0.6,25,monthly_x12
