factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
wq101_alpha6,wq101,conditional,4h,2024-11,LONG_SHORT,Long-Short,-0.00120342,,720,,DIRECTION_UNKNOWN,-0.00120342,0.00287301,0.00407643,False
wq101_alpha6,wq101,conditional,4h,2024-12,LONG_SHORT,Long-Short,2.867e-05,,744,,DIRECTION_UNKNOWN,2.867e-05,-0.00054257,-0.00057124,True
wq101_alpha6,wq101,conditional,4h,2025-01,LONG_SHORT,Long-Short,-0.0001357,,744,,DIRECTION_UNKNOWN,-0.0001357,-0.00112834,-0.00099263,False
wq101_alpha6,wq101,conditional,4h,2025-02,LONG_SHORT,Long-Short,-0.0001614,,672,,DIRECTION_UNKNOWN,-0.0001614,-0.00149583,-0.00133443,False
wq101_alpha6,wq101,conditional,4h,2025-03,LONG_SHORT,Long-Short,0.00041689,,744,,DIRECTION_UNKNOWN,0.00041689,-0.00113717,-0.00155405,True
wq101_alpha6,wq101,conditional,4h,2025-04,LONG_SHORT,Long-Short,0.00019393,,720,,DIRECTION_UNKNOWN,0.00019393,0.00109807,0.00090415,True
wq101_alpha6,wq101,conditional,4h,2025-05,LONG_SHORT,Long-Short,0.00037729,,744,,DIRECTION_UNKNOWN,0.00037729,0.00038911,1.182e-05,True
wq101_alpha6,wq101,conditional,4h,2025-06,LONG_SHORT,Long-Short,0.00056475,,720,,DIRECTION_UNKNOWN,0.00056475,-0.00020323,-0.00076798,True
wq101_alpha6,wq101,conditional,4h,2025-07,LONG_SHORT,Long-Short,-0.00042007,,744,,DIRECTION_UNKNOWN,-0.00042007,0.0008838,0.00130386,False
wq101_alpha6,wq101,conditional,4h,2025-08,LONG_SHORT,Long-Short,0.00036326,,744,,DIRECTION_UNKNOWN,0.00036326,0.00082268,0.00045942,True
wq101_alpha6,wq101,conditional,4h,2025-09,LONG_SHORT,Long-Short,-0.00041832,,720,,DIRECTION_UNKNOWN,-0.00041832,0.0001754,0.00059372,False
wq101_alpha6,wq101,conditional,4h,2025-10,LONG_SHORT,Long-Short,-0.00094041,,744,,DIRECTION_UNKNOWN,-0.00094041,-0.00037941,0.000561,False
wq101_alpha6,wq101,conditional,4h,2025-11,LONG_SHORT,Long-Short,0.00058046,,720,,DIRECTION_UNKNOWN,0.00058046,-0.00087665,-0.00145711,True
wq101_alpha6,wq101,conditional,4h,2025-12,LONG_SHORT,Long-Short,0.00094143,,744,,DIRECTION_UNKNOWN,0.00094143,0.00023399,-0.00070745,True
wq101_alpha6,wq101,conditional,4h,2026-01,LONG_SHORT,Long-Short,-3.59e-06,,744,,DIRECTION_UNKNOWN,-3.59e-06,-0.00038175,-0.00037816,False
wq101_alpha6,wq101,conditional,4h,2026-02,LONG_SHORT,Long-Short,-0.00015199,,672,,DIRECTION_UNKNOWN,-0.00015199,-0.00053332,-0.00038134,False
wq101_alpha6,wq101,conditional,4h,2026-03,LONG_SHORT,Long-Short,5.501e-05,,744,,DIRECTION_UNKNOWN,5.501e-05,-5.215e-05,-0.00010716,True
wq101_alpha6,wq101,conditional,4h,2026-04,LONG_SHORT,Long-Short,-0.00031747,,720,,DIRECTION_UNKNOWN,-0.00031747,0.00119488,0.00151235,False
wq101_alpha6,wq101,conditional,4h,2026-05,LONG_SHORT,Long-Short,-0.00026482,,744,,DIRECTION_UNKNOWN,-0.00026482,0.00050207,0.00076689,False
wq101_alpha6,wq101,conditional,4h,2026-06,LONG_SHORT,Long-Short,-0.00272947,,285,,DIRECTION_UNKNOWN,-0.00272947,-0.00263809,9.138e-05,False
wq101_alpha6,wq101,conditional,24h,2024-06,LONG_SHORT,Long-Short,-0.00044677,,710,,DIRECTION_UNKNOWN,-0.00044677,-0.00819287,-0.0077461,False
wq101_alpha6,wq101,conditional,24h,2024-07,LONG_SHORT,Long-Short,0.00048584,,744,,DIRECTION_UNKNOWN,0.00048584,-0.00117524,-0.00166108,True
wq101_alpha6,wq101,conditional,24h,2024-08,LONG_SHORT,Long-Short,0.00097642,,744,,DIRECTION_UNKNOWN,0.00097642,-0.00349809,-0.00447451,True
wq101_alpha6,wq101,conditional,24h,2024-09,LONG_SHORT,Long-Short,-0.0003716,,720,,DIRECTION_UNKNOWN,-0.0003716,0.00735307,0.00772467,False
wq101_alpha6,wq101,conditional,24h,2024-10,LONG_SHORT,Long-Short,0.00041871,,744,,DIRECTION_UNKNOWN,0.00041871,-0.00156004,-0.00197875,True
wq101_alpha6,wq101,conditional,24h,2024-11,LONG_SHORT,Long-Short,-0.00325064,,720,,DIRECTION_UNKNOWN,-0.00325064,0.01945231,0.02270294,False
wq101_alpha6,wq101,conditional,24h,2024-12,LONG_SHORT,Long-Short,-0.0020609,,744,,DIRECTION_UNKNOWN,-0.0020609,-0.00419922,-0.00213832,False
wq101_alpha6,wq101,conditional,24h,2025-01,LONG_SHORT,Long-Short,-0.00092752,,744,,DIRECTION_UNKNOWN,-0.00092752,-0.00774678,-0.00681926,False
wq101_alpha6,wq101,conditional,24h,2025-02,LONG_SHORT,Long-Short,-0.00304455,,672,,DIRECTION_UNKNOWN,-0.00304455,-0.00978803,-0.00674348,False
wq101_alpha6,wq101,conditional,24h,2025-03,LONG_SHORT,Long-Short,4.335e-05,,744,,DIRECTION_UNKNOWN,4.335e-05,-0.00666034,-0.00670369,True
wq101_alpha6,wq101,conditional,24h,2025-04,LONG_SHORT,Long-Short,-0.00203278,,720,,DIRECTION_UNKNOWN,-0.00203278,0.00524718,0.00727996,False
wq101_alpha6,wq101,conditional,24h,2025-05,LONG_SHORT,Long-Short,0.00229605,,744,,DIRECTION_UNKNOWN,0.00229605,0.00192199,-0.00037406,True
