factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
wq101_alpha1,wq101,conditional,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved","WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha2,wq101,conditional,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved","WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha3,wq101,conditional,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved","WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha4,wq101,conditional,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol","WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol",False,DIAGNOSTIC_ONLY
wq101_alpha5,wq101,conditional,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume","WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume",False,DIAGNOSTIC_ONLY
wq101_alpha7,wq101,conditional,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1","WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1",False,DIAGNOSTIC_ONLY
wq101_alpha8,wq101,conditional,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved","WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha10,wq101,conditional,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema),WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema),False,DIAGNOSTIC_ONLY
wq101_alpha11,wq101,conditional,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))","WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))",False,DIAGNOSTIC_ONLY
wq101_alpha13,wq101,conditional,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved","WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
