factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
vwap_dev_20h,alpha158_ohlcv,conditional,False,DIRECTION_UNKNOWN,0,4,4h,-0.00385486
wvma_20h,alpha158_ohlcv,negative,False,COMPUTED,4,4,72h,0.07627881
vol_ret_corr_20h,alpha158_ohlcv,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.02108158
intraday_ret,alpha158_ohlcv,conditional,False,DIRECTION_UNKNOWN,0,4,1h,-0.00454884
klow_close,alpha158_ohlcv,positive,False,COMPUTED,4,4,72h,-0.02724868
ksft_5h,alpha158_ohlcv,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.00472078
