factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-06,LONG_SHORT,Long-Short,-5.341e-05,,718,,DIRECTION_UNKNOWN,-5.341e-05,-0.00035698,-0.00030357,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-07,LONG_SHORT,Long-Short,-0.00014516,,744,,DIRECTION_UNKNOWN,-0.00014516,-0.00013968,5.47e-06,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-08,LONG_SHORT,Long-Short,-0.00023543,,744,,DIRECTION_UNKNOWN,-0.00023543,-0.00028194,-4.651e-05,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-09,LONG_SHORT,Long-Short,2.45e-05,,720,,DIRECTION_UNKNOWN,2.45e-05,0.00029744,0.00027294,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-10,LONG_SHORT,Long-Short,0.00015429,,744,,DIRECTION_UNKNOWN,0.00015429,8.248e-05,-7.181e-05,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-11,LONG_SHORT,Long-Short,6.498e-05,,720,,DIRECTION_UNKNOWN,6.498e-05,0.00076101,0.00069603,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2024-12,LONG_SHORT,Long-Short,-0.00020517,,744,,DIRECTION_UNKNOWN,-0.00020517,-0.00015526,4.991e-05,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-01,LONG_SHORT,Long-Short,8.43e-05,,744,,DIRECTION_UNKNOWN,8.43e-05,-0.00030368,-0.00038797,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-02,LONG_SHORT,Long-Short,0.00011142,,672,,DIRECTION_UNKNOWN,0.00011142,-0.0002915,-0.00040292,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-03,LONG_SHORT,Long-Short,3.052e-05,,744,,DIRECTION_UNKNOWN,3.052e-05,-0.00025185,-0.00028237,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-04,LONG_SHORT,Long-Short,0.00011231,,720,,DIRECTION_UNKNOWN,0.00011231,0.00022069,0.00010839,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-05,LONG_SHORT,Long-Short,0.000187,,744,,DIRECTION_UNKNOWN,0.000187,0.00016659,-2.041e-05,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-06,LONG_SHORT,Long-Short,2.107e-05,,720,,DIRECTION_UNKNOWN,2.107e-05,-8.94e-05,-0.00011047,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-07,LONG_SHORT,Long-Short,2.04e-06,,744,,DIRECTION_UNKNOWN,2.04e-06,0.00031571,0.00031367,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-08,LONG_SHORT,Long-Short,-0.00010757,,744,,DIRECTION_UNKNOWN,-0.00010757,0.0001154,0.00022297,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-09,LONG_SHORT,Long-Short,-0.00023202,,720,,DIRECTION_UNKNOWN,-0.00023202,-4.26e-06,0.00022776,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-10,LONG_SHORT,Long-Short,0.00016517,,744,,DIRECTION_UNKNOWN,0.00016517,7.835e-05,-8.682e-05,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-11,LONG_SHORT,Long-Short,-0.00022261,,720,,DIRECTION_UNKNOWN,-0.00022261,-0.00023681,-1.42e-05,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2025-12,LONG_SHORT,Long-Short,0.00010396,,744,,DIRECTION_UNKNOWN,0.00010396,4.337e-05,-6.058e-05,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2026-01,LONG_SHORT,Long-Short,6.283e-05,,744,,DIRECTION_UNKNOWN,6.283e-05,-2.76e-05,-9.042e-05,True
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2026-02,LONG_SHORT,Long-Short,-6.205e-05,,672,,DIRECTION_UNKNOWN,-6.205e-05,-0.00016969,-0.00010764,False
q158_volume_ratio_1h,alpha158_volume,conditional,1h,2026-03,LONG_SHORT,Long-Short,-8.686e-05,,744,,DIRECTION_UNKNOWN,-8.686e-05,1.741e-05,0.00010427,False
