factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha47,wq101,conditional,factor_registry,1h,0.00477706,0.00477706,5.4554,17786,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,4h,0.00417459,0.00417459,4.6661,17784,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,24h,-0.00717495,-0.00717495,-7.7916,17764,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,72h,-0.01268019,-0.01268019,-14.1052,17716,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha61,wq101,conditional,factor_registry,1h,-0.00114311,-0.00114311,-1.4109,17609,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,4h,-0.0023779,-0.0023779,-2.8714,17607,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,24h,-0.01262803,-0.01262803,-15.2084,17587,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,72h,-0.01904629,-0.01904629,-22.3377,17539,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,1h,-0.00028475,-0.00028475,-0.3606,17728,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,4h,0.00053701,0.00053701,0.6574,17726,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
