factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_after_funding_long_short_horizon,best_after_funding_long_short_spread,best_after_funding_coverage_rate,best_bucket_tail_diagnosis,best_after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_reasons,review_notes
wq101_alpha37,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,201,1h,0.01413215,1h,0.121759,72h,-0.00211411,-7.2833,72h,-0.00225002,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5506,3254133,0.018734,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha38,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,10,1h,0.03540221,1h,0.23904,72h,-0.00148547,-4.3186,72h,-0.00142144,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6063,3313838,0.00073,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha44,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,5,24h,0.02838311,24h,0.297972,72h,-0.00190403,-7.2547,72h,-0.00241494,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6181,3279211,0.011172,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha45,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,25,4h,0.00681721,4h,0.074123,72h,-0.00089636,-3.5094,72h,-0.00099129,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5347,3293400,0.006893,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha34,wq101,conditional,DIRECTION_UNKNOWN,False,close,6,1h,0.01523353,1h,0.137424,72h,-0.0008369,-3.0784,72h,-0.00085812,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5608,3305949,0.000429,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha40,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,10,24h,0.02541966,24h,0.220233,72h,-0.00254804,-8.3436,72h,-0.00347433,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5923,3304930,0.000737,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha42,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume|quote_volume,1,72h,-0.02672465,72h,-0.189318,72h,-0.00036244,-1.2242,72h,-0.00114598,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.5319,3307213,4.7e-05,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,funding-adjusted edge flips,Conditional direction but shows IC signal strength.
wq101_alpha50,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,9,72h,0.03399477,72h,0.254047,72h,-0.00211746,-6.9121,72h,-0.00266435,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.6108,1668242,0.495598,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha55,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,17,24h,0.01849712,24h,0.22336,72h,-0.00035708,-1.4587,72h,-0.00060637,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,0.5966,3290061,0.005233,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha60,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,10,1h,0.02758128,1h,0.202746,72h,-0.00194954,-6.1115,72h,-0.00201355,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5914,3304792,0.000779,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha25,wq101,conditional,DIRECTION_UNKNOWN,False,high|close|volume|quote_volume,20,1h,0.01962723,1h,0.165619,72h,-0.00128114,-4.1583,72h,-0.00134299,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5716,3302102,0.002732,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha28,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,24,24h,-0.01555089,24h,-0.14005,72h,0.00103006,3.5532,72h,0.00126229,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.4716,3300772,0.003134,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha30,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,20,1h,0.01516341,1h,0.136673,72h,-0.00160875,-5.4654,72h,-0.00168163,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5582,3302281,0.002678,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha35,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,33,1h,0.02608825,1h,0.214928,72h,-0.00203841,-6.5553,72h,-0.00217892,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6014,3307651,0.001056,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha43,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,39,1h,0.009322,1h,0.085674,72h,-0.00033549,-1.1633,72h,-0.00047149,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5335,3297170,0.004221,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha52,wq101,conditional,DIRECTION_UNKNOWN,False,low|close|volume,241,4h,0.00911774,4h,0.072604,72h,-0.00182253,-6.0196,72h,-0.00207981,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5315,3251699,0.017954,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha47,wq101,conditional,DIRECTION_UNKNOWN,False,high|close|volume|quote_volume,20,72h,-0.01268019,72h,-0.105973,72h,-0.00071426,-2.3925,72h,-0.00044619,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5214,3302102,1.7e-05,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha61,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,197,72h,-0.01904629,72h,-0.16867,72h,0.00073326,2.9185,72h,0.00089109,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.4942,3254491,0.014435,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha65,wq101,conditional,DIRECTION_UNKNOWN,False,open|volume|quote_volume,73,72h,-0.01342693,72h,-0.122762,24h,0.00015654,1.2868,24h,0.00014027,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.4995,3287235,0.004519,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|cost too thin,Conditional direction; weak or no clear IC signal.
wq101_alpha68,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,37,1h,0.0113255,1h,0.065268,72h,0.00240065,3.3905,72h,0.00277324,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.5237,967060,0.707143,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha74,wq101,conditional,DIRECTION_UNKNOWN,False,high|close|volume|quote_volume,80,24h,0.01045119,24h,0.100504,72h,0.002291,7.534,72h,0.0025189,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5414,2587031,0.216563,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha75,wq101,conditional,DIRECTION_UNKNOWN,False,low|volume|quote_volume,61,24h,0.0112691,24h,0.104995,72h,-0.00091678,-2.9408,72h,-0.00123771,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.5465,2363750,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha77,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|volume|quote_volume,47,72h,-0.01273317,72h,-0.118252,72h,-0.00089482,-3.1337,72h,-0.00108523,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.4925,3285947,0.006011,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha78,wq101,conditional,DIRECTION_UNKNOWN,False,low|volume|quote_volume,65,72h,-0.00772576,72h,-0.067607,72h,0.00269781,8.0444,72h,0.00312966,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.4974,2409238,0.271213,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha83,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume|quote_volume,7,1h,0.02314648,1h,0.201777,72h,-0.00014254,-0.4843,72h,-0.00021071,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.5883,3305599,6.7e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|cost too thin|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
wq101_alpha85,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|close|volume,39,72h,-0.00576867,72h,-0.056543,72h,0.0009695,3.4155,72h,0.00118404,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5058,3289574,0.004914,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha86,wq101,conditional,DIRECTION_UNKNOWN,False,open|close|volume|quote_volume,58,1h,0.01161036,1h,0.114576,24h,-0.00010331,-0.8285,72h,-0.00018682,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,True,0.551,3291192,0.004425,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|cost too thin|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha88,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|close|volume,95,72h,0.03298187,72h,0.266971,72h,-0.0027824,-7.6301,72h,-0.00331358,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6117,2161019,0.346298,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
wq101_alpha92,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|close|volume,49,4h,0.00658558,4h,0.034897,72h,-0.00335232,-2.8229,72h,-0.00356931,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5169,682006,0.793695,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha94,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,82,72h,-0.01445007,72h,-0.11126,72h,-0.0020492,-7.0989,72h,-0.00257985,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5157,3042114,0.07977,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha95,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|volume,81,72h,-0.0107254,72h,-0.107893,72h,-0.00148825,-6.1221,72h,-0.00179483,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5018,3285911,0.006022,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha99,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|volume,87,24h,0.0074119,24h,0.075687,72h,-0.00053481,-2.286,72h,-0.00069304,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5336,3284213,0.006536,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
q158_high_low_range,alpha158,conditional,DIRECTION_UNKNOWN,False,high|low|close,1,72h,-0.09089448,72h,-0.467416,72h,0.00524308,11.7554,72h,0.00669228,1.0,MIXED_OR_WEAK,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.4192,3316259,0.666667,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_klen_open,alpha158_kbar,conditional,DIRECTION_UNKNOWN,False,open|high|low,1,72h,-0.09091469,72h,-0.467667,72h,0.00524831,11.77,72h,0.00669785,1.0,MIXED_OR_WEAK,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.419,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_kmid_open,alpha158_kbar,positive,COMPUTED,False,open|close,1,1h,-0.03655527,1h,-0.230325,72h,0.00139889,3.8874,72h,0.00149312,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.4865,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_kmid_range,alpha158_kbar,positive,COMPUTED,False,open|high|low|close,1,1h,-0.03113159,1h,-0.245005,72h,0.00105337,3.3931,72h,0.00112017,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.4837,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_kup_open,alpha158_kbar,negative,COMPUTED,False,open|high|close,1,72h,0.05649645,72h,0.383076,72h,-0.00431654,-11.2563,72h,-0.00525771,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,0.665,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict|mean_spread_outlier_dominated,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_kup_range,alpha158_kbar,negative,COMPUTED,False,open|high|low|close,1,1h,-0.01002701,1h,-0.089693,72h,-0.0004182,-1.4007,72h,-0.0004388,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5272,3316259,0.0,KNOWN,CONSISTENT,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Bucket tail diagnostics show mean/median split or tail-concentrated negative mean.
q158_klow_open,alpha158_kbar,positive,COMPUTED,False,open|low|close,1,72h,-0.05492423,72h,-0.372867,72h,0.00289624,7.7311,72h,0.00394001,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.422,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_klow_range,alpha158_kbar,positive,COMPUTED,False,open|high|low|close,1,1h,-0.00612053,1h,-0.054859,72h,-0.00125349,-4.2535,72h,-0.00124238,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5105,3316259,0.0,KNOWN,CONSISTENT,LONGSHORT_STRONG_RANKIC_WEAK,,Long-short spread significant but RankIC weak.
q158_ksft_open,alpha158_kbar,positive,COMPUTED,False,open|high|low|close,1,1h,-0.03887002,1h,-0.246409,72h,0.00072864,2.0187,72h,0.00081767,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5008,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_ksft_range,alpha158_kbar,positive,COMPUTED,False,high|low|close,1,1h,-0.03340933,1h,-0.272846,72h,0.00025599,0.8361,72h,0.00031721,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5014,3316259,0.0,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,RankIC and long-short spread point in opposite directions. Direction semantics need review.
q158_rsv_20h,alpha158_rolling,conditional,DIRECTION_UNKNOWN,False,high|low|close,20,1h,-0.02172221,1h,-0.161736,72h,0.0035096,10.2881,72h,0.00355358,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5015,3311205,0.001524,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_rsv_30h,alpha158_rolling,conditional,DIRECTION_UNKNOWN,False,high|low|close,30,4h,-0.02070369,1h,-0.147428,72h,0.00405625,11.7299,72h,0.00414293,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5055,3308545,0.002326,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_open_close_0h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,1,1h,0.03655526,1h,0.230325,72h,-0.00132303,-3.6786,72h,-0.00139175,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6074,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_high_close_0h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,1,72h,-0.06067135,72h,-0.373884,72h,0.00403451,10.1727,72h,0.00513163,1.0,MIXED_OR_WEAK,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5059,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_low_close_0h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,1,72h,0.06283117,72h,0.402975,72h,-0.00395687,-10.1663,72h,-0.00502967,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,0.6739,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
q158_open_close_1h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,2,1h,0.03611963,1h,0.223778,72h,-0.00198281,-5.4823,72h,-0.00210157,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6019,3315993,8e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_high_close_1h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,2,72h,-0.02993574,72h,-0.191914,72h,0.00086956,2.3071,72h,0.00138059,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.5541,3315993,8e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_low_close_1h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,2,1h,0.04776262,1h,0.298978,72h,-0.00334292,-8.8711,72h,-0.00399455,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,0.6366,3315993,8e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
q158_open_close_2h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,3,1h,0.03437562,1h,0.21211,72h,-0.00219152,-5.9988,72h,-0.00232476,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5964,3315727,0.00016,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_high_close_2h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,3,1h,0.02251194,72h,-0.133275,72h,0.00012408,0.3308,72h,0.00047179,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.5593,3315727,0.00016,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,cost too thin,Conditional direction but shows IC signal strength.
q158_low_close_2h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,3,4h,0.04533069,4h,0.287286,72h,-0.00347827,-9.2759,72h,-0.00403912,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6242,3315727,0.00016,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_open_close_3h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,4,1h,0.03238841,4h,0.201751,72h,-0.00254,-6.9384,72h,-0.00270314,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.5883,3315461,0.000241,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
q158_high_close_3h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,4,1h,0.02306541,1h,0.136192,72h,-0.00060323,-1.6207,72h,-0.00036544,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5594,3315461,0.000241,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_low_close_3h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,4,4h,0.04349998,4h,0.275524,72h,-0.00355236,-9.4711,72h,-0.00406127,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6202,3315461,0.000241,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_open_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,5,1h,0.03234357,1h,0.2007,72h,-0.00286027,-7.7335,72h,-0.00305308,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5879,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_high_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,5,1h,0.02341446,1h,0.139331,72h,-0.0010956,-2.9133,72h,-0.00093427,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5621,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
q158_low_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,5,4h,0.04222499,4h,0.267156,72h,-0.0037911,-10.0868,72h,-0.00427993,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.6152,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
q158_close_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,close,5,1h,0.03239467,4h,0.20158,72h,-0.00248796,-6.7828,72h,-0.00265315,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.5889,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
q158_volume_ratio_1h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,2,1h,0.00339198,1h,0.03385,72h,-0.00093285,-3.3058,72h,-0.00095485,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5165,3315993,8e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
q158_volume_ratio_2h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,3,4h,0.00492837,4h,0.047536,72h,-0.00099567,-3.3828,72h,-0.00102746,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5228,3315727,0.00016,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
